Date,Open,High,Low,Close,Volume
2016-01-04,72.21,72.63,70.76,71.37,107833422
2016-01-05,72.27,72.45,71.17,71.57,108716355
2016-01-06,71.5,71.53,70.51,71.0,100062422
2016-01-07,69.7,71.41,68.88,69.49,134323511
2016-01-08,69.83,70.68,68.87,68.87,105145839
2016-01-11,69.0,70.21,68.86,68.93,110746945
2016-01-12,68.77,70.11,68.65,69.3,104342006
2016-01-13,69.31,69.53,67.47,67.8,130387681
2016-01-14,67.11,67.33,65.61,66.53,192627711
2016-01-15,66.5,67.05,64.62,64.71,194310846
2016-01-18,64.59,65.65,62.33,64.12,116192880
2016-01-19,64.68,66.49,63.95,65.78,144481320
2016-01-20,64.46,64.46,61.0,64.05,121479705
2016-01-21,63.6,65.03,62.78,64.7,130284340
2016-01-22,66.01,67.32,65.82,66.86,105304655
2016-01-25,66.68,66.73,63.14,63.14,156054097
2016-01-26,62.3,65.22,61.86,64.73,131741991
2016-01-27,64.73,64.93,63.05,64.92,143132934
2016-01-28,65.26,65.66,63.25,64.07,88577983
2016-01-29,64.83,65.66,64.22,65.46,150818435
2016-02-01,65.76,66.03,63.59,64.19,115996519
2016-02-02,63.84,64.2,61.57,61.94,140263334
2016-02-03,61.6,62.43,60.25,60.69,126853264
2016-02-04,62.0,63.3,60.75,62.77,103768415
2016-02-05,63.13,63.46,61.5,61.8,108025938
2016-02-08,63.0,63.19,59.01,59.36,126776670
2016-02-09,59.07,60.22,57.0,58.13,193945414
2016-02-10,58.56,59.32,57.62,58.4,157828371
2016-02-11,57.78,57.78,55.84,56.0,125254862
2016-02-12,57.09,58.48,56.58,58.48,117243204
2016-02-15,59.71,60.4,56.69,59.84,85573410
2016-02-16,60.23,60.9,59.36,60.55,86034868
2016-02-17,60.89,63.07,60.51,62.79,99838499
2016-02-18,63.38,63.54,62.07,62.44,88008762
2016-02-19,62.44,63.16,61.12,61.8,86814715
2016-02-22,62.45,63.66,62.03,63.18,81552591
2016-02-23,62.56,63.98,62.38,62.93,91070927
2016-02-24,63.0,63.59,61.9,62.2,97980692
2016-02-25,68.5,70.75,66.27,70.64,266434294
2016-02-26,71.77,72.61,71.7,72.13,133655861
2016-02-29,71.2,72.48,70.5,72.4,119428330
2016-03-01,72.4,73.29,71.68,73.07,104665703
2016-03-02,73.8,73.91,72.57,73.27,90868420
2016-03-03,73.48,73.58,72.19,72.58,92353883
2016-03-04,73.27,73.41,72.62,73.24,76014915
2016-03-07,73.36,73.38,71.96,72.75,72334078
2016-03-08,72.01,72.13,70.28,70.63,102305493
2016-03-09,70.88,71.4,69.71,69.77,104981204
2016-03-10,70.0,71.0,68.95,68.95,142476245
2016-03-11,70.24,71.01,68.96,70.15,95648643
2016-03-14,70.5,70.99,69.84,70.31,91580328
2016-03-15,69.88,70.23,69.04,69.27,83087154
2016-03-16,69.22,69.63,68.17,68.79,96144178
2016-03-17,69.4,69.43,67.69,69.3,93727452
2016-03-18,70.06,71.02,69.65,69.9,165317903
2016-03-21,69.56,70.4,69.42,69.79,62154946
2016-03-22,69.57,69.63,68.48,69.36,89703736
2016-03-23,69.39,69.68,68.45,68.9,57110378
2016-03-24,68.52,68.88,67.94,68.05,71902362
