Date,Open,High,Low,Close,Volume
2016-01-04,77.77,78.21,76.83,77.73,2598102
2016-01-05,78.16,78.55,77.05,78.15,1911840
2016-01-06,76.5,77.1,72.52,73.56,4604655
2016-01-07,72.1,73.52,71.46,71.71,3449871
2016-01-08,72.38,72.56,69.43,70.48,4736046
2016-01-11,71.13,71.37,69.67,70.95,2984350
2016-01-12,72.52,72.95,70.32,71.44,2509484
2016-01-13,71.61,72.3,68.8,69.08,3098844
2016-01-14,69.78,72.84,68.88,71.95,4602513
2016-01-15,69.25,69.25,66.14,67.96,6084621
2016-01-19,69.07,69.7,66.96,67.46,2909699
2016-01-20,67.41,70.36,67.02,69.57,4285844
2016-01-21,69.95,70.04,67.58,68.12,3935713
2016-01-22,69.55,70.46,68.17,68.72,2285978
2016-01-25,69.17,69.17,67.83,68.0,2581882
2016-01-26,68.06,68.92,67.45,68.74,1793814
2016-01-27,68.8,69.19,67.24,67.5,2344903
2016-01-28,68.51,71.0,68.14,69.45,4235156
2016-01-29,70.03,72.45,70.03,71.79,3869458
2016-02-01,71.2,73.31,71.06,72.62,2715748
2016-02-02,71.6,72.24,70.12,70.55,3442889
2016-02-03,71.33,71.8,69.33,71.41,3320076
2016-02-04,71.36,72.06,70.56,71.47,2199718
2016-02-05,70.86,71.18,68.04,68.97,2949720
2016-02-08,67.99,68.36,65.0,66.08,2492719
2016-02-09,65.08,66.4,64.19,65.58,2947791
2016-02-10,66.0,66.68,65.1,65.48,3306910
2016-02-11,64.42,65.35,63.1,64.21,3967551
2016-02-12,64.91,66.62,64.25,66.05,2044753
2016-02-16,66.81,68.47,66.66,67.58,2787926
2016-02-17,68.12,69.32,67.79,69.25,2755780
2016-02-18,69.56,69.56,67.73,67.77,2597923
2016-02-19,69.52,71.43,69.38,69.77,4110948
2016-02-22,70.19,71.46,69.49,70.34,3644374
2016-02-23,69.72,70.35,68.95,69.23,1944268
2016-02-24,68.76,70.53,68.19,70.48,1987005
2016-02-25,70.52,72.46,70.14,72.43,2933705
2016-02-26,72.86,74.16,72.49,73.81,2989916
2016-02-29,73.39,74.62,73.09,73.3,2550057
2016-03-01,73.5,75.94,73.08,75.57,2934004
2016-03-02,75.34,75.9,73.83,74.55,2421009
2016-03-03,74.55,75.0,73.9,74.87,1401533
2016-03-04,75.22,75.25,73.82,74.33,1620333
2016-03-07,73.77,75.08,73.59,75.04,2236180
2016-03-08,74.74,75.09,73.27,73.34,2558252
2016-03-09,73.55,74.4,73.06,73.81,1640720
2016-03-10,74.13,75.96,73.83,75.23,2965172
2016-03-11,75.69,76.5,75.22,76.17,2137877
2016-03-14,75.66,77.0,75.56,76.92,1562349
2016-03-15,77.06,77.48,76.53,77.16,2347545
2016-03-16,77.1,77.86,76.5,77.81,2343583
2016-03-17,78.57,79.5,77.48,79.26,2659992
2016-03-18,79.57,80.01,78.84,79.42,2668540
2016-03-21,79.19,79.8,78.95,79.76,1551987
2016-03-22,80.05,80.43,79.11,80.18,1493630
2016-03-23,79.85,80.01,79.32,79.36,2002286
2016-03-24,78.74,78.9,77.49,78.88,2154640
2016-03-28,79.47,79.59,78.89,79.13,1390007
2016-03-29,79.13,82.05,78.75,81.94,3298230
2016-03-30,82.56,83.51,81.86,82.19,2653743
2016-03-31,81.81,83.06,80.94,82.6,3852998
2016-04-01,82.28,83.14,81.69,82.93,2906943
2016-04-04,82.98,82.98,81.82,82.76,2047095
2016-04-05,81.82,82.73,81.56,81.69,1880585
2016-04-06,81.54,82.7,81.26,82.62,2183368
2016-04-07,82.07,82.5,80.45,81.22,2455348
2016-04-08,82.04,82.45,80.69,81.12,1711705
2016-04-11,82.29,82.3,81.29,81.38,1628815
2016-04-12,81.7,82.0,80.29,81.4,2399002
2016-04-13,82.18,82.82,81.64,82.81,2561499
2016-04-14,81.65,82.3,80.72,81.61,2762760
2016-04-15,81.02,81.89,80.35,81.64,2877755
2016-04-18,81.67,82.42,81.11,82.06,2706958
2016-04-19,82.5,83.06,81.79,82.77,2893080
2016-04-20,82.36,83.0,80.79,82.67,4076557
2016-04-21,82.71,83.83,80.21,80.82,3995292
2016-04-22,80.76,81.81,80.09,80.65,2219965
2016-04-25,80.72,80.92,79.53,80.22,2225495
2016-04-26,80.58,81.4,79.75,80.25,2708023
2016-04-27,80.35,81.16,79.7,80.97,3758962
2016-04-28,79.94,80.38,77.96,78.16,3234217
2016-04-29,77.83,77.95,75.68,76.4,4540008
2016-05-02,76.4,77.18,75.78,76.59,3716822
2016-05-03,75.73,76.28,75.36,75.73,3321890
2016-05-04,75.42,76.24,74.62,74.9,3397454
2016-05-05,75.04,75.83,74.8,75.05,2870264
2016-05-06,74.84,75.3,74.23,74.94,2351606
2016-05-09,75.0,75.4,74.32,74.64,2438288
2016-05-10,74.94,75.98,74.55,75.95,2751038
2016-05-11,75.42,76.09,75.31,75.61,1908231
2016-05-12,75.83,76.03,74.09,74.9,2328315
2016-05-13,74.73,74.98,74.2,74.34,2147560
2016-05-16,72.19,73.91,72.0,73.46,4111603
2016-05-17,73.65,73.91,72.92,73.14,3354638
2016-05-18,73.25,74.76,72.96,73.97,2333537
2016-05-19,73.66,74.05,72.99,73.32,1817331
2016-05-20,75.27,77.0,75.02,76.68,3495142
2016-05-23,76.65,77.35,76.15,76.82,3228546
2016-05-24,77.61,79.58,77.52,79.27,3579379
2016-05-25,79.6,80.81,79.2,80.62,2949551
2016-05-26,80.44,81.19,80.28,81.02,1853542
2016-05-27,81.2,83.39,81.18,82.97,3736138
2016-05-31,82.63,83.04,82.02,82.81,2574288
2016-06-01,82.54,83.23,82.02,83.13,2197594
2016-06-02,83.04,84.31,82.75,83.63,2828865
2016-06-03,83.28,83.38,82.52,83.1,1646908
2016-06-06,83.23,83.43,82.15,82.32,1516725
2016-06-07,82.85,83.26,82.3,82.97,1694957
2016-06-08,82.89,83.54,82.68,83.39,1260032
2016-06-09,82.67,83.69,82.13,83.63,1574409
2016-06-10,82.29,82.62,81.79,82.37,1647229
2016-06-13,81.55,82.85,81.2,81.98,1418960
2016-06-14,81.68,82.25,81.21,81.97,1477711
2016-06-15,82.59,83.21,81.92,82.48,1632417
2016-06-16,81.75,82.81,81.36,82.67,1314708
2016-06-17,82.51,82.9,81.74,82.89,2362474
2016-06-20,83.97,84.75,83.57,84.28,2642728
2016-06-21,84.68,85.0,84.07,84.66,1330147
2016-06-22,84.46,85.88,84.36,85.65,2475665
2016-06-23,86.28,87.19,86.15,87.18,2606873
2016-06-24,82.99,85.8,82.28,82.28,5740655
2016-06-27,81.35,81.83,79.15,79.96,3007797
2016-06-28,81.0,81.69,80.51,81.67,2390714
2016-06-29,82.53,83.69,81.27,82.2,4104594
2016-06-30,82.81,84.06,82.18,84.06,2845627
2016-07-01,83.95,83.95,82.79,82.98,1731675
2016-07-05,82.71,82.72,80.98,81.89,1834390
2016-07-06,81.5,82.17,80.68,81.96,1981436
2016-07-07,82.17,83.21,81.53,82.04,1829745
2016-07-08,82.89,85.28,82.63,84.88,2667133
2016-07-11,85.47,86.68,85.0,86.33,1921913
2016-07-12,87.26,88.31,87.0,88.24,2359359
2016-07-13,88.49,89.37,88.22,88.62,2075193
2016-07-14,89.51,89.75,87.82,87.88,2462797
2016-07-15,88.19,88.84,87.63,88.55,1834054
2016-07-18,89.62,89.69,88.42,89.33,1809032
2016-07-19,88.78,90.0,88.16,89.5,1698055
2016-07-20,90.0,91.5,89.46,91.21,2536375
2016-07-21,91.13,91.34,89.0,89.32,2162461
2016-07-22,89.69,90.34,88.99,90.05,1280295
2016-07-25,90.06,90.7,89.64,90.64,1295937
2016-07-26,91.2,92.18,90.36,91.6,2570406
2016-07-27,92.2,92.29,90.97,91.96,2671747
2016-07-28,92.94,93.8,91.6,93.08,2824505
2016-07-29,93.05,93.05,89.67,89.77,3259482
2016-08-01,90.17,90.96,89.79,90.79,1660504
2016-08-02,90.61,91.09,88.96,89.73,2235326
2016-08-03,89.34,90.8,89.19,90.79,2202836
2016-08-04,90.83,92.0,90.36,91.93,2135884
2016-08-05,92.0,93.3,91.75,93.25,1507613
2016-08-08,93.16,93.3,92.49,92.72,1565363
2016-08-09,92.97,93.45,92.63,93.29,1333431
2016-08-10,93.06,93.19,88.13,89.11,7045686
2016-08-11,89.15,89.87,88.58,88.89,4719746
2016-08-12,89.06,90.19,88.51,89.18,2088692
2016-08-15,89.17,91.37,89.1,90.74,2124021
2016-08-16,90.43,90.94,89.84,89.86,2037024
2016-08-17,89.57,90.68,89.5,90.21,1961560
2016-08-18,90.5,91.1,90.0,90.93,1654295
2016-08-19,92.25,93.6,91.46,93.19,2756802
2016-08-22,92.81,93.7,92.4,93.2,1540137
2016-08-23,94.35,94.88,93.47,93.88,2530878
2016-08-24,93.9,94.17,92.34,92.69,1611649
2016-08-25,92.79,93.95,92.6,93.44,1690498
2016-08-26,93.41,94.15,92.76,93.81,1689478
2016-08-29,93.86,95.77,93.01,94.34,1703060
2016-08-30,94.55,94.75,92.74,92.98,2224468
2016-08-31,93.0,93.48,92.31,93.32,1734666
2016-09-01,93.6,94.77,92.79,94.63,1899987
2016-09-02,95.24,95.41,93.69,94.36,1619379
2016-09-06,93.88,94.85,93.12,93.7,1975636
2016-09-07,93.45,94.48,93.39,94.04,2465113
2016-09-08,93.5,94.24,93.16,93.57,1196575
