Date,Open,High,Low,Close,Volume
2016-11-07,38.4,39.24,36.54,38.95,1801236
2016-11-08,39.82,40.4,37.24,39.44,1515397
2016-11-09,38.09,40.85,38.09,40.71,3169520
2016-11-10,41.12,41.74,39.43,39.65,1761303
2016-11-11,39.56,39.75,38.96,39.47,1509480
2016-11-14,39.65,39.77,38.93,39.0,1061378
2016-11-15,39.23,39.74,39.02,39.2,847908
2016-11-16,39.19,39.48,38.77,39.14,614536
2016-11-17,39.23,39.88,39.12,39.72,454200
2016-11-18,39.79,40.2,39.38,39.76,557569
2016-11-21,39.82,40.08,39.59,39.87,364080
2016-11-22,39.87,40.11,39.31,39.79,1884823
2016-11-23,39.7,39.97,39.29,39.42,1272950
2016-11-25,39.62,40.07,39.32,40.01,320066
2016-11-28,39.9,40.0,38.98,39.01,629903
2016-11-29,39.01,39.76,38.69,39.57,882211
2016-11-30,39.76,39.76,38.6,39.02,785941
2016-12-01,39.0,39.02,37.78,37.93,983176
2016-12-02,37.99,38.31,37.26,37.51,797631
2016-12-05,37.76,38.29,37.36,37.99,528754
2016-12-06,38.24,38.69,37.89,38.59,1012298
2016-12-07,38.52,39.39,38.46,39.17,1118333
2016-12-08,39.24,39.52,39.07,39.4,804173
2016-12-09,39.44,39.58,39.12,39.24,596721
2016-12-12,39.2,39.78,38.9,39.62,1089930
2016-12-13,39.85,40.64,39.82,40.29,632755
2016-12-14,39.82,40.93,39.29,40.35,1518434
2016-12-15,40.28,40.61,39.83,40.27,1057355
2016-12-16,40.27,40.37,38.51,38.7,2356060
2016-12-19,38.68,38.76,37.16,37.25,1396258
2016-12-20,37.32,37.67,37.1,37.55,1326352
2016-12-21,37.61,38.45,37.11,38.1,657066
2016-12-22,38.16,38.16,37.67,37.87,599610
2016-12-23,37.76,38.12,37.63,37.73,585904
2016-12-27,37.71,38.01,37.63,37.78,250048
2016-12-28,38.0,38.03,37.25,37.34,325517
2016-12-29,37.32,37.99,37.15,37.47,299692
2016-12-30,37.42,37.42,36.58,36.87,727867
2017-01-03,37.04,37.23,36.69,37.1,614514
2017-01-04,37.06,37.79,36.98,37.63,570508
2017-01-05,37.54,38.26,37.48,38.18,372834
2017-01-06,38.24,38.74,37.92,38.52,490810
2017-01-09,38.55,39.31,38.32,39.15,520233
2017-01-10,39.21,39.93,38.83,39.83,759135
2017-01-11,39.84,40.15,39.32,39.83,368310
2017-01-12,39.68,39.86,39.28,39.63,257744
2017-01-13,39.74,40.08,39.64,39.79,298971
2017-01-17,39.68,40.57,39.62,40.56,375118
2017-01-18,40.56,41.0,40.32,40.77,431694
2017-01-19,40.85,41.05,40.48,40.97,507141
2017-01-20,41.17,41.26,40.86,41.24,498534
2017-01-23,41.33,41.54,40.88,41.47,566036
2017-01-24,41.48,41.76,41.28,41.61,242899
2017-01-25,41.75,42.09,41.34,42.03,277643
2017-01-26,43.69,45.17,43.69,44.29,1813818
2017-01-27,44.41,44.45,43.11,43.45,604597
2017-01-30,43.36,43.42,42.5,43.39,604800
2017-01-31,43.22,43.72,42.63,43.65,523710
2017-02-01,43.71,44.08,43.27,43.45,583268
2017-02-02,43.24,43.66,43.17,43.36,273840
2017-02-03,43.52,43.73,43.25,43.65,352224
2017-02-06,43.58,43.62,42.97,43.26,449881
2017-02-07,43.21,43.59,43.08,43.56,308563
2017-02-08,43.37,43.68,43.1,43.55,270917
2017-02-09,43.54,44.13,43.31,44.07,372428
2017-02-10,44.27,44.57,43.77,44.51,337373
2017-02-13,44.65,44.78,43.81,43.82,292097
2017-02-14,43.75,43.91,42.63,43.86,293848
2017-02-15,43.9,44.09,43.73,43.94,638499
2017-02-16,43.92,44.13,43.45,43.93,452924
2017-02-17,44.07,44.18,43.54,43.87,316863
2017-02-21,43.99,44.24,43.68,44.13,361976
2017-02-22,44.2,44.27,43.99,44.13,243126
2017-02-23,44.38,44.44,43.63,43.69,314831
2017-02-24,43.73,43.84,43.23,43.84,523199
2017-02-27,43.86,44.17,43.61,44.09,350713
2017-02-28,43.96,43.98,43.59,43.86,707536
2017-03-01,44.17,44.5,43.81,44.25,621036
2017-03-02,44.12,44.47,43.86,44.03,293456
2017-03-03,44.17,44.3,43.03,44.12,333832
2017-03-06,44.07,44.34,43.69,44.12,459526
2017-03-07,44.04,44.28,43.78,43.92,192666
2017-03-08,44.01,44.24,43.64,43.74,217413
2017-03-09,43.77,44.2,43.58,43.82,238630
2017-03-10,44.08,44.3,43.67,43.82,275730
2017-03-13,43.73,44.23,43.73,44.1,205109
2017-03-14,43.94,44.43,43.67,44.26,228324
2017-03-15,44.41,44.55,44.08,44.29,325590
2017-03-16,44.43,44.92,43.92,44.19,289231
2017-03-17,44.42,44.55,44.03,44.45,521861
2017-03-20,44.31,44.68,43.81,43.94,288083
2017-03-21,44.05,44.08,42.44,42.6,522925
2017-03-22,42.65,43.04,42.39,42.66,352304
2017-03-23,42.59,43.36,42.3,43.29,253604
2017-03-24,43.54,43.88,43.22,43.42,274513
2017-03-27,43.16,43.76,42.66,43.66,359680
2017-03-28,43.64,44.0,43.46,43.81,386374
2017-03-29,43.74,44.23,43.69,44.16,254786
2017-03-30,44.26,44.56,44.03,44.5,272500
2017-03-31,44.41,44.98,44.24,44.48,846705
2017-04-03,44.52,44.9,44.13,44.51,611005
2017-04-04,47.4,50.82,47.01,50.43,7105499
2017-04-05,51.08,52.17,50.47,51.4,3167905
2017-04-06,51.54,52.0,51.25,51.97,1033181
2017-04-07,51.99,52.29,51.49,51.68,1164857
2017-04-10,51.74,52.81,51.57,52.51,1285723
2017-04-11,52.44,52.92,52.01,52.42,1180311
2017-04-12,52.39,52.66,51.59,51.97,1449500
2017-04-13,52.01,52.01,50.85,50.87,724012
