Date,Open,High,Low,Close,Volume
2016-01-04,26.71,27.44,26.43,27.43,5840009
2016-01-05,27.62,27.73,26.97,27.26,4045335
2016-01-06,26.82,27.09,26.48,26.92,6939834
2016-01-07,26.5,27.2,26.18,27.06,6746150
2016-01-08,27.19,27.54,26.93,26.93,6302124
2016-01-11,27.1,27.14,26.38,26.7,4779453
2016-01-12,26.86,27.17,26.57,27.11,3920315
2016-01-13,27.13,27.65,26.24,26.26,4147272
2016-01-14,26.35,26.57,25.9,26.3,4120071
2016-01-15,25.7,26.12,25.16,25.69,6674155
2016-01-19,25.84,25.88,24.45,24.87,7706277
2016-01-20,24.57,25.14,23.85,24.98,5615943
2016-01-21,25.13,25.92,24.81,25.82,6136633
2016-01-22,26.11,26.45,25.95,26.24,3678862
2016-01-25,27.15,27.6,26.72,26.74,7959783
2016-01-26,26.74,27.29,26.69,27.11,4678302
2016-01-27,27.1,27.25,26.16,26.97,6257090
2016-01-28,27.19,27.32,26.64,27.18,5292984
2016-01-29,27.33,27.66,26.78,27.59,8674991
2016-02-01,27.7,27.73,26.11,26.76,9667912
2016-02-02,28.5,30.7,28.36,30.46,28643656
2016-02-03,30.6,32.2,29.88,31.76,17137658
2016-02-04,31.79,34.36,31.08,32.29,24962589
2016-02-05,32.21,32.8,30.92,31.81,9251783
2016-02-08,31.56,32.1,31.21,31.96,8486779
2016-02-09,31.66,31.86,30.74,31.17,6717484
2016-02-10,31.42,31.5,30.22,30.25,5421764
2016-02-11,30.0,30.25,29.48,29.96,6225270
2016-02-12,29.77,30.82,29.24,30.76,4544450
2016-02-16,30.78,30.94,29.63,30.35,5229148
2016-02-17,31.0,31.93,30.66,31.91,6190875
2016-02-18,32.08,32.1,31.4,31.47,5101377
2016-02-19,31.39,31.8,31.04,31.79,4216919
2016-02-22,31.8,32.52,31.68,32.4,3813056
2016-02-23,32.37,32.4,31.81,31.97,3480741
2016-02-24,31.7,32.38,31.46,32.32,3249640
2016-02-25,32.17,33.15,32.11,33.14,4076765
2016-02-26,33.18,33.33,32.4,32.47,3560063
2016-02-29,32.53,33.0,32.11,32.52,3594521
2016-03-01,32.83,32.93,32.08,32.27,4325156
2016-03-02,32.27,32.81,32.0,32.64,4382442
2016-03-03,32.75,33.2,32.62,32.98,5203589
2016-03-04,32.84,33.2,32.18,32.22,4297808
2016-03-07,32.1,32.85,32.06,32.64,3162339
2016-03-08,32.64,33.24,32.3,33.08,3623282
2016-03-09,33.1,33.62,33.0,33.28,4265751
2016-03-10,33.5,33.91,33.19,33.62,5273584
2016-03-11,33.84,33.92,32.98,33.04,4528322
2016-03-14,32.85,33.0,32.56,32.82,3339978
2016-03-15,32.45,32.54,31.96,32.24,3088072
2016-03-16,31.72,32.4,31.72,32.17,4347893
2016-03-17,32.33,32.89,32.15,32.81,4685529
2016-03-18,32.93,33.25,32.7,32.78,10248409
2016-03-21,32.58,32.88,32.24,32.6,3407212
2016-03-22,32.39,32.59,32.2,32.22,2728205
2016-03-23,32.28,32.69,32.06,32.47,3381068
2016-03-24,32.37,32.62,32.09,32.35,3497914
2016-03-28,32.42,32.85,32.33,32.38,2743302
2016-03-29,32.38,32.8,32.21,32.78,3697250
2016-03-30,32.88,33.68,32.83,33.59,4052081
2016-03-31,33.51,33.84,33.5,33.62,4080162
2016-04-01,33.55,34.41,33.4,34.26,4530737
2016-04-04,34.49,34.75,33.73,33.81,3564276
2016-04-05,33.51,33.7,33.04,33.08,3274884
2016-04-06,32.37,33.17,32.34,32.91,4205223
2016-04-07,32.92,33.26,32.13,32.44,3746438
2016-04-08,32.63,32.91,32.29,32.3,3952221
2016-04-11,32.33,33.03,32.32,32.59,3935653
2016-04-12,32.78,33.4,32.72,33.06,3944071
2016-04-13,33.32,33.6,33.17,33.42,2554916
2016-04-14,33.53,33.81,33.1,33.28,2512483
2016-04-15,33.35,33.81,33.19,33.75,3159117
2016-04-18,34.76,34.76,33.76,33.93,3089970
2016-04-19,33.89,34.23,33.34,33.91,4103922
2016-04-20,33.79,34.04,32.97,33.04,6253679
2016-04-21,30.77,31.75,29.95,31.13,19589489
2016-04-22,31.02,32.08,30.87,32.02,7297152
2016-04-25,31.89,32.18,31.62,32.07,5242043
2016-04-26,32.35,32.44,31.7,32.28,3969023
2016-04-27,32.17,32.65,32.02,32.25,2853928
2016-04-28,32.11,32.2,31.24,31.32,3360896
2016-04-29,31.11,31.39,30.92,31.09,3730913
2016-05-02,31.12,31.49,30.96,31.33,2012939
2016-05-03,31.2,31.2,30.61,30.82,4583158
2016-05-04,30.73,30.87,30.34,30.6,2431765
2016-05-05,30.61,30.7,30.21,30.47,2337628
2016-05-06,30.4,30.9,30.35,30.77,2175792
2016-05-09,30.63,31.16,30.58,31.02,2650004
2016-05-10,31.16,31.39,31.01,31.29,2474509
2016-05-11,31.08,31.21,30.72,30.92,3156045
2016-05-12,31.02,31.33,30.96,31.22,2198716
2016-05-13,31.05,31.33,30.77,31.07,3179925
2016-05-16,30.94,31.14,30.58,30.94,3314867
2016-05-17,30.45,30.94,30.35,30.59,3279758
2016-05-18,30.29,30.5,29.69,29.81,4157748
2016-05-19,29.81,30.33,29.7,30.31,3824236
2016-05-20,30.36,30.7,30.2,30.55,3535811
2016-05-23,30.4,31.25,30.27,31.01,4193376
2016-05-24,31.16,31.53,31.03,31.37,2632778
2016-05-25,31.49,31.87,31.38,31.6,2275569
2016-05-26,31.65,31.9,31.42,31.63,1951536
2016-05-27,31.7,31.79,31.42,31.78,2070832
2016-05-31,31.69,31.91,31.41,31.88,3203502
2016-06-01,31.72,31.83,31.43,31.83,2381563
2016-06-02,31.83,31.9,31.27,31.67,2557741
2016-06-03,31.65,31.82,31.38,31.63,1847195
2016-06-06,31.67,31.76,31.34,31.57,1857177
2016-06-07,31.71,32.26,31.61,32.16,2872222
