Date,Open,High,Low,Close,Volume
2016-01-04,450.2,451.8,441.8,443.7,977298
2016-01-05,443.7,450.9,442.23,447.12,930342
2016-01-06,447.6,448.5,440.2,442.95,846482
2016-01-07,437.7,437.7,425.0,433.25,1386965
2016-01-08,437.0,446.4,435.4,440.4,925415
2016-01-11,439.5,442.2,437.7,437.7,923400
2016-01-12,439.6,447.9,438.5,441.7,1258548
2016-01-13,445.7,446.8,429.2,434.91,1678441
2016-01-14,421.1,421.1,402.7,406.7,2993159
2016-01-15,406.3,412.1,400.1,406.8,2236572
2016-01-18,405.9,413.5,404.0,407.02,944252
2016-01-19,411.5,411.8,402.3,410.0,1634596
2016-01-20,402.0,406.7,397.8,402.8,1477114
2016-01-21,405.7,408.27,395.9,401.6,1428386
2016-01-22,406.8,411.0,406.2,409.0,1122537
2016-01-25,413.2,413.8,409.0,413.0,880877
2016-01-26,406.5,410.3,405.7,407.8,866893
2016-01-27,405.7,410.3,405.0,409.8,1442526
2016-01-28,407.9,411.6,395.8,407.9,950070
2016-01-29,411.4,413.7,408.1,413.7,2156421
2016-02-01,413.1,415.0,411.2,413.7,1319675
2016-02-02,413.7,418.5,409.66,413.5,1114327
2016-02-03,411.5,413.0,400.8,405.3,1076345
2016-02-04,410.1,410.68,402.4,408.8,1091197
2016-02-05,410.9,414.3,400.9,402.2,1079421
2016-02-08,404.1,404.4,377.4,385.57,1474618
2016-02-09,382.1,388.0,377.9,386.5,1790875
2016-02-10,391.2,396.0,386.3,391.95,1259954
2016-02-11,391.7,391.7,383.9,385.1,1160544
2016-02-12,386.2,394.5,385.8,394.4,1510987
2016-02-15,398.0,405.3,396.81,403.26,849561
2016-02-16,403.0,417.8,400.8,415.0,1824907
2016-02-17,414.3,429.5,414.3,429.5,1504797
2016-02-18,430.4,432.1,425.0,431.1,1061915
2016-02-19,431.5,435.8,428.3,435.8,718562
2016-02-22,436.1,442.6,436.1,439.6,539819
2016-02-23,444.2,447.5,436.4,439.0,1795511
2016-02-24,435.6,438.4,429.5,434.7,1506045
2016-02-25,427.1,456.8,427.1,453.3,2039496
2016-02-26,457.0,457.6,445.6,448.9,1665139
2016-02-29,446.9,459.9,446.1,458.8,2043148
2016-03-01,457.3,471.2,457.3,466.8,1760524
2016-03-02,466.8,471.3,461.7,463.7,1428485
2016-03-03,463.1,464.8,450.4,456.22,1753152
2016-03-04,451.7,457.0,451.4,456.1,1319568
2016-03-07,453.7,454.1,443.4,448.0,1544670
2016-03-08,444.0,447.6,442.8,445.0,906541
2016-03-09,447.0,448.2,442.0,442.4,967801
2016-03-10,442.3,449.5,438.6,438.6,1060609
2016-03-11,443.5,453.0,442.3,451.9,1146107
2016-03-14,451.9,462.3,448.3,458.1,1085493
2016-03-15,457.5,458.6,453.2,454.9,1000873
2016-03-16,455.2,462.2,454.4,462.2,1141001
2016-03-17,463.2,463.5,454.28,462.9,1174682
2016-03-18,463.0,467.0,459.9,462.1,1938770
2016-03-21,460.6,462.2,456.5,458.6,827603
2016-03-22,456.6,459.47,445.69,451.2,1286499
2016-03-23,449.4,458.6,448.7,458.2,933190
2016-03-24,454.8,458.2,452.8,454.4,791667
2016-03-29,456.2,457.9,453.2,456.5,1156517
2016-03-30,460.5,462.7,455.9,459.2,1005401
2016-03-31,459.4,465.3,458.8,463.5,1161475
2016-04-01,460.7,466.1,458.2,465.4,1170925
2016-04-04,464.2,467.5,459.4,460.7,990736
2016-04-05,457.9,459.76,454.1,455.0,1407433
2016-04-06,455.4,461.5,453.67,461.2,1059766
2016-04-07,462.4,467.0,455.7,456.9,1074162
2016-04-08,456.7,467.0,456.7,462.7,1098987
2016-04-11,461.1,462.9,458.8,461.1,731892
2016-04-12,461.1,463.6,456.4,458.4,789928
2016-04-13,462.5,462.5,457.6,460.0,943323
2016-04-14,461.7,466.1,459.9,464.7,760764
2016-04-15,464.4,466.9,458.3,458.3,1616886
2016-04-18,454.4,463.9,454.4,459.5,1328930
2016-04-19,460.0,465.4,460.0,460.9,1287608
2016-04-20,459.6,461.3,448.6,451.4,1339413
2016-04-21,450.2,452.0,444.5,446.9,906526
2016-04-22,445.1,446.35,435.0,435.0,1229521
2016-04-25,435.0,441.2,434.75,440.0,1198091
2016-04-26,440.0,442.11,434.5,435.7,1001523
2016-04-27,437.0,446.0,433.35,446.0,1478205
2016-04-28,437.7,439.1,429.31,435.3,1187967
2016-04-29,431.4,434.1,428.8,431.5,1333975
2016-05-03,430.5,433.0,425.4,430.4,1395694
2016-05-04,429.5,432.1,425.0,428.4,1020603
2016-05-05,430.3,431.7,426.9,427.4,557454
2016-05-06,426.6,433.6,424.8,431.4,1033746
2016-05-09,432.8,439.3,431.5,434.8,777501
2016-05-10,436.8,439.1,431.4,434.3,1169646
2016-05-11,432.1,435.8,431.8,431.8,854113
2016-05-12,430.3,435.6,428.0,431.4,1101585
2016-05-13,431.2,432.4,426.1,430.8,1152861
2016-05-16,429.0,430.3,426.2,429.2,600806
2016-05-17,430.0,432.5,428.4,428.4,887900
2016-05-18,426.1,432.1,426.1,431.4,977164
2016-05-19,428.1,429.69,408.7,411.0,2669309
2016-05-20,412.0,416.7,410.2,415.9,1321579
2016-05-23,417.8,420.1,413.1,418.5,1251369
2016-05-24,415.3,421.5,412.1,420.2,1319953
2016-05-25,424.5,424.5,419.1,422.9,1036272
2016-05-26,421.5,424.79,420.9,422.3,735600
2016-05-27,420.6,426.0,420.6,423.0,966664
2016-05-31,420.6,427.1,420.6,422.6,2925615
2016-06-01,421.3,422.6,415.2,416.1,992184
2016-06-02,415.6,419.6,414.5,419.3,1464375
2016-06-03,419.0,434.5,419.0,434.5,1994082
2016-06-09,427.6,429.4,426.3,427.3,748878
2016-06-10,425.0,426.0,418.7,420.8,951219
2016-06-13,418.9,419.3,413.5,414.8,1465717
2016-06-14,412.0,414.2,405.4,406.5,1407919
2016-06-15,407.5,411.9,407.4,410.8,1722727
2016-06-16,406.9,409.1,400.8,405.0,1238722
2016-06-17,408.8,411.7,405.7,410.28,1981938
2016-06-20,419.5,435.4,419.4,427.3,3310097
2016-06-21,430.8,430.8,424.0,424.6,1623343
2016-06-22,427.2,433.3,421.0,429.8,1353886
2016-06-23,436.9,441.0,430.1,435.4,1575504
2016-06-24,435.0,471.1,316.79,430.8,4238601
2016-06-27,411.2,422.9,407.2,409.9,3420399
2016-06-28,416.3,419.0,408.33,415.0,2225686
2016-06-29,424.0,444.5,424.0,431.8,3442298
2016-06-30,430.9,445.9,428.5,440.3,3111960
2016-07-01,445.1,455.9,443.41,454.1,2203198
2016-07-04,456.7,458.98,448.7,451.8,1041087
2016-07-05,451.9,458.7,450.2,456.7,2073051
2016-07-06,459.0,459.7,445.7,448.3,1688122
2016-07-07,450.8,460.6,448.58,455.1,1321158
2016-07-08,453.7,461.1,453.7,459.5,859504
2016-07-11,463.9,472.4,458.7,470.4,1144565
2016-07-12,471.5,476.8,467.9,474.5,1047976
2016-07-13,473.9,477.11,472.5,472.5,1848997
2016-07-14,472.8,475.3,465.1,466.0,1471821
2016-07-15,467.3,467.3,460.16,466.0,1489103
2016-07-18,463.6,472.0,463.6,470.8,1605640
2016-07-19,470.8,477.96,470.55,474.7,1142024
2016-07-20,474.3,476.0,471.8,473.6,1454269
2016-07-21,471.6,476.6,470.3,475.3,1207442
2016-07-22,473.1,476.2,471.8,476.1,867173
2016-07-25,476.0,480.0,473.3,477.0,1228340
2016-07-26,479.2,483.8,477.2,477.5,927059
2016-07-27,477.6,482.8,474.0,474.0,1255161
2016-07-28,470.9,477.4,455.9,467.0,2046737
2016-07-29,470.7,475.7,468.3,473.2,1992477
2016-08-01,471.9,474.9,469.2,471.7,1175038
2016-08-02,469.4,470.6,465.3,466.3,1433876
2016-08-03,468.8,470.9,464.89,465.8,1234269
2016-08-04,465.8,476.1,461.1,469.3,1067937
2016-08-05,467.9,476.9,466.3,475.0,918044
2016-08-08,472.7,479.2,468.38,468.6,1057353
2016-08-09,470.2,475.7,467.6,475.5,980303
2016-08-10,472.5,475.1,469.7,474.8,895884
2016-08-11,478.8,480.3,472.3,480.3,907581
2016-08-12,478.7,480.08,469.3,477.7,1638284
2016-08-15,480.0,482.4,474.6,480.5,821417
2016-08-16,481.0,481.9,477.6,479.0,1545038
2016-08-17,480.2,482.4,477.3,479.9,1278449
2016-08-18,482.4,487.61,481.0,481.85,1573883
2016-08-19,484.2,486.6,482.6,486.0,1010893
2016-08-22,485.0,489.1,484.5,485.7,781732
2016-08-23,488.5,489.6,486.4,488.6,847637
2016-08-24,486.5,491.1,483.6,484.0,796311
2016-08-25,484.2,484.2,477.4,477.4,1004176
2016-08-26,477.0,483.0,473.12,481.7,492464
2016-08-30,479.7,483.2,478.5,480.2,1101428
2016-08-31,480.3,483.62,479.4,480.1,1220523
2016-09-01,480.1,486.1,478.8,482.1,1449558
2016-09-02,484.6,492.1,480.1,487.5,1811003
2016-09-05,491.9,491.9,485.9,487.7,555912
2016-09-06,485.9,488.9,482.75,486.2,1006563
2016-09-07,486.9,488.6,485.06,488.3,1256577
2016-09-08,487.5,494.9,487.5,489.7,1010070
2016-09-09,488.0,491.1,477.5,477.5,1153856
2016-09-12,474.7,474.7,466.3,469.6,1400589
2016-09-13,472.9,475.1,469.0,469.8,901498
2016-09-14,471.1,473.8,467.8,470.2,993525
2016-09-15,471.3,474.2,466.2,473.5,1199348
2016-09-16,474.6,476.3,470.0,473.4,2094058
2016-09-19,476.6,481.3,472.72,477.4,776844
2016-09-20,475.5,482.9,475.5,480.0,1089696
2016-09-21,481.1,483.84,471.9,473.0,1521489
2016-09-22,476.0,478.0,473.1,473.8,994189
2016-09-23,475.7,475.7,469.1,470.0,1302060
2016-09-26,470.0,470.5,462.4,463.1,1503654
2016-09-27,466.0,469.4,461.4,469.4,1522817
2016-09-28,467.6,475.3,467.6,469.6,1049930
2016-09-29,450.0,454.2,438.2,442.1,4117077
