Date,Open,High,Low,Close,Volume
2016-01-04,1312.0,1315.0,1288.0,1294.0,971454
2016-01-05,1309.0,1309.0,1272.25,1290.0,999456
2016-01-06,1282.0,1289.0,1262.0,1283.0,1000350
2016-01-07,1249.0,1255.0,1218.0,1246.0,1514335
2016-01-08,1246.0,1263.0,1223.0,1223.0,1482137
2016-01-11,1199.0,1235.0,1185.0,1217.0,1462637
2016-01-12,1212.0,1268.0,1198.0,1256.0,1458657
2016-01-13,1255.0,1283.0,1250.0,1271.0,1393161
2016-01-14,1250.0,1258.0,1224.0,1231.0,1541971
2016-01-15,1223.0,1229.0,1180.0,1186.0,1979850
2016-01-18,1186.0,1210.0,1181.0,1197.0,1094738
2016-01-19,1224.0,1235.0,1207.0,1213.0,1463129
2016-01-20,1192.0,1196.0,1161.0,1169.0,1482792
2016-01-21,1175.0,1205.0,1172.0,1199.0,1180918
2016-01-22,1226.0,1238.0,1219.0,1222.0,1276505
2016-01-25,1236.0,1236.0,1187.0,1192.0,1279702
2016-01-26,1170.0,1170.0,1139.0,1160.0,2086669
2016-01-27,1166.0,1169.0,1145.0,1169.0,1337862
2016-01-28,1157.0,1173.0,1117.0,1124.0,1572607
2016-01-29,1136.0,1138.0,1112.0,1135.0,1841171
2016-02-01,1151.0,1161.0,1137.0,1155.0,1987045
2016-02-02,1150.0,1156.0,1125.0,1130.0,1639309
2016-02-03,1123.0,1143.0,1108.0,1128.0,1964548
2016-02-04,1156.0,1167.0,1138.0,1150.0,2144286
2016-02-05,1146.0,1187.0,1146.0,1166.0,2141369
2016-02-08,1166.0,1174.0,1132.0,1137.0,2032593
2016-02-09,1147.0,1160.0,1122.0,1143.0,1789254
2016-02-10,1165.0,1199.0,1157.0,1197.0,2204333
2016-02-11,1182.0,1192.0,1158.0,1170.0,1822419
2016-02-12,1173.0,1222.0,1173.0,1221.0,1427986
2016-02-15,1240.0,1257.0,1236.0,1255.0,808744
2016-02-16,1274.0,1298.0,1246.0,1267.0,1539774
2016-02-17,1267.0,1315.0,1267.0,1315.0,953496
2016-02-18,1319.0,1320.0,1296.0,1314.0,994766
2016-02-19,1298.0,1321.0,1293.0,1321.0,1025024
2016-02-22,1325.0,1345.0,1314.0,1325.0,840954
2016-02-23,1311.0,1323.0,1281.0,1287.0,1425144
2016-02-24,1279.0,1284.18,1253.0,1266.0,1306412
2016-02-25,1288.0,1312.0,1257.0,1289.0,1408779
2016-02-26,1299.0,1300.0,1273.0,1282.0,1039960
2016-02-29,1264.0,1295.0,1251.0,1292.0,1125496
2016-03-01,1292.0,1322.0,1288.0,1322.0,1313750
2016-03-02,1324.0,1333.0,1302.0,1312.0,1552792
2016-03-03,1308.0,1314.0,1298.0,1306.0,948222
2016-03-04,1308.0,1354.0,1305.0,1354.0,1315094
