Date,Open,High,Low,Close,Volume
2016-01-04,48.84,49.21,47.36,48.11,3984069
2016-01-05,48.11,48.79,48.09,48.69,2766636
2016-01-06,47.98,48.9,47.53,48.77,4456923
2016-01-07,47.89,48.79,47.72,48.4,3708729
2016-01-08,48.45,48.69,47.99,48.08,2514198
2016-01-11,48.6,49.25,48.08,48.68,3203811
2016-01-12,48.93,49.77,48.74,49.1,3784815
2016-01-13,48.7,49.79,47.81,47.89,3859149
2016-01-14,48.08,48.28,46.86,47.47,3430962
2016-01-15,46.3,47.37,46.14,47.04,4431450
2016-01-19,47.7,48.67,47.53,48.25,3631152
2016-01-20,47.77,47.82,45.15,46.67,5581431
2016-01-21,47.19,47.33,45.61,46.01,5157984
2016-01-22,46.53,48.14,45.93,48.05,4963170
2016-01-25,47.75,47.95,46.63,46.7,2973546
2016-01-26,46.75,47.13,46.1,46.35,2394915
2016-01-27,46.48,46.49,45.7,45.99,2555628
2016-01-28,46.27,46.36,45.35,45.73,3684369
2016-01-29,45.68,45.68,42.84,45.01,22897917
2016-02-01,45.75,46.16,45.08,45.81,5836104
2016-02-02,45.5,46.17,44.93,45.37,3905577
2016-02-03,45.62,46.09,44.4,44.97,4345458
2016-02-04,44.87,44.92,42.56,42.82,6780630
2016-02-05,42.42,42.72,41.06,41.24,9225504
2016-02-08,40.55,40.68,38.58,39.24,8561313
2016-02-09,38.86,40.25,38.68,39.64,5037552
2016-02-10,40.22,40.45,38.57,38.94,3781266
2016-02-11,38.29,39.95,37.69,39.63,6033036
2016-02-12,40.62,41.21,39.72,40.79,4438353
2016-02-16,41.12,41.82,40.72,41.44,5151288
2016-02-17,41.44,42.31,41.25,41.81,4470588
2016-02-18,41.86,42.46,41.69,42.02,3542706
2016-02-19,41.94,43.13,41.54,42.53,4941267
2016-02-22,42.86,43.44,42.68,43.27,3884469
2016-02-23,43.02,43.6,42.68,42.93,3710004
2016-02-24,42.68,44.39,42.06,44.13,5391282
2016-02-25,44.0,44.47,43.53,44.37,5998617
2016-02-26,42.58,44.56,42.21,43.6,15007392
2016-02-29,43.49,43.49,41.83,41.83,6707772
2016-03-01,42.03,43.29,41.75,43.24,6653274
2016-03-02,43.04,43.16,42.33,42.58,3522342
2016-03-03,42.48,42.86,42.07,42.82,2882706
2016-03-04,42.94,43.11,42.49,42.96,2743458
2016-03-07,42.63,42.93,42.17,42.66,4814667
2016-03-08,42.48,43.72,42.29,43.11,3816135
2016-03-09,42.99,43.55,42.91,43.36,1973844
2016-03-10,43.66,44.17,43.28,43.88,3762549
2016-03-11,44.23,44.83,43.9,44.62,3185103
2016-03-14,44.42,44.62,43.67,43.99,2881920
2016-03-15,43.79,44.25,43.43,43.99,2780946
2016-03-16,44.44,45.48,44.33,45.39,3884508
2016-03-17,45.28,45.55,44.94,45.39,3099576
2016-03-18,45.49,45.88,45.2,45.51,5253363
2016-03-21,45.24,45.32,44.75,44.84,3537126
2016-03-22,44.64,45.14,44.34,44.87,3199956
2016-03-23,44.57,45.16,44.26,44.28,2647518
2016-03-24,44.18,44.18,43.08,43.75,3325851
2016-03-28,43.98,44.83,43.93,44.41,2333661
2016-03-29,44.2,44.74,44.2,44.54,2032332
2016-03-30,44.91,45.23,44.44,44.97,2140572
2016-03-31,44.88,44.97,44.37,44.46,2371923
2016-04-01,44.45,45.2,44.03,44.93,2976099
2016-04-04,44.95,45.14,44.4,44.92,2380254
2016-04-05,44.72,45.27,44.44,44.87,4981470
2016-04-06,44.87,44.93,44.23,44.72,2645163
2016-04-07,44.5,44.69,43.55,43.99,3322281
2016-04-08,44.3,44.49,43.96,44.19,2416014
2016-04-11,44.12,44.38,43.46,43.55,2205189
2016-04-12,43.54,43.72,42.96,43.4,2836089
2016-04-13,43.56,43.6,42.59,42.96,3057132
2016-04-14,42.91,43.44,42.1,42.81,10251816
2016-04-15,42.91,43.21,41.93,42.78,5519910
2016-04-18,42.8,42.96,42.48,42.55,2455842
2016-04-19,42.61,43.41,42.0,43.1,9348453
2016-04-20,43.05,43.23,42.17,42.23,3069273
2016-04-21,42.01,42.22,41.43,41.51,4942179
2016-04-22,41.31,41.48,40.52,41.0,7571421
2016-04-25,40.77,41.89,40.51,41.64,3765594
2016-04-26,41.6,41.76,41.19,41.26,3260406
2016-04-27,41.22,41.36,40.3,41.14,5696931
2016-04-28,41.26,42.75,41.19,42.61,9749049
2016-04-29,47.89,48.63,46.67,48.07,15051465
2016-05-02,48.14,50.23,48.12,49.31,10994532
2016-05-03,49.03,49.25,48.5,48.77,3709596
2016-05-04,48.36,49.1,48.09,48.78,3281601
2016-05-05,49.07,49.29,48.39,48.65,2524134
2016-05-06,48.57,49.55,48.37,49.38,4220913
2016-05-09,49.49,49.87,49.21,49.6,3139695
2016-05-10,50.33,51.32,50.33,51.03,11233629
2016-05-11,50.76,51.12,49.85,50.14,4989615
2016-05-12,50.28,50.47,49.69,50.06,4349934
2016-05-13,49.83,50.06,49.26,49.54,2744679
2016-05-16,49.5,50.33,49.5,50.24,2550177
2016-05-17,50.0,50.22,49.58,49.77,4086240
2016-05-18,49.64,50.24,49.45,49.61,5499273
2016-05-19,49.24,49.77,49.16,49.49,2385672
2016-05-20,49.51,49.79,49.19,49.3,2803191
2016-05-23,49.38,49.69,49.24,49.44,2975916
2016-05-24,49.75,50.19,49.56,50.04,3555120
2016-05-25,49.92,50.35,49.67,49.84,3925131
2016-05-26,49.91,50.27,49.91,50.0,2386485
2016-05-27,50.1,50.33,49.95,50.17,1983261
2016-05-31,50.16,50.43,49.71,50.0,4302822
2016-06-01,50.03,50.7,49.83,50.47,4274766
2016-06-02,50.34,50.83,50.24,50.82,2324187
2016-06-03,50.78,51.16,50.53,50.95,3068931
2016-06-06,50.88,51.72,50.83,51.45,10640019
2016-06-07,51.7,51.78,51.05,51.27,6762558
2016-06-08,51.17,52.31,51.0,51.73,11031882
2016-06-09,51.87,52.9,51.01,51.67,13290630
2016-06-10,51.32,51.66,50.96,51.18,3498789
2016-06-13,51.18,51.2,50.24,50.26,4841841
2016-06-14,50.25,51.17,49.79,50.99,6625095
2016-06-15,51.27,51.83,51.19,51.21,5116035
2016-06-16,50.96,52.15,50.7,51.94,5028561
2016-06-17,51.84,52.22,51.37,51.99,7526001
2016-06-20,52.2,52.42,51.99,52.06,5919900
2016-06-21,52.17,52.78,51.99,52.61,3693828
2016-06-22,52.47,52.56,52.18,52.31,3123192
2016-06-23,52.83,52.87,51.99,52.47,2950269
2016-06-24,50.72,51.84,50.72,51.15,11712861
2016-06-27,51.01,51.76,50.45,51.6,5043300
2016-06-28,51.54,51.82,51.0,51.49,3012942
2016-06-29,51.63,52.62,51.56,52.62,2942745
2016-06-30,52.73,53.62,52.25,53.57,4458546
2016-07-01,53.64,53.97,53.16,53.24,2036175
2016-07-05,53.15,53.99,53.0,53.64,2076933
2016-07-06,53.56,53.91,53.35,53.75,3680766
2016-07-07,53.93,54.11,53.37,53.71,2330457
2016-07-08,53.97,54.06,53.66,53.83,2407740
2016-07-11,53.83,54.19,53.45,53.67,2116500
2016-07-12,53.7,53.88,53.33,53.6,2520258
2016-07-13,53.8,54.26,53.44,53.93,2076990
2016-07-14,54.03,54.07,53.56,54.04,1535238
2016-07-15,54.18,54.22,53.31,53.87,1943742
2016-07-18,52.97,53.16,50.92,51.85,6067956
2016-07-19,51.65,52.62,51.55,52.46,2556123
2016-07-20,52.54,52.79,52.29,52.7,1759476
2016-07-21,52.7,53.07,52.5,52.69,1527996
2016-07-22,53.1,53.64,52.91,53.53,1546932
2016-07-25,53.45,53.52,53.08,53.36,1217778
2016-07-26,53.3,53.36,52.61,52.87,1707036
2016-07-27,52.71,52.96,51.95,52.5,1988271
2016-07-28,52.51,53.39,52.27,53.15,1528296
2016-07-29,53.25,53.66,53.04,53.54,1727814
2016-08-01,53.45,54.06,53.4,53.69,1878081
2016-08-02,53.55,53.64,52.54,53.1,2426943
2016-08-03,53.18,53.18,52.39,52.59,2555553
2016-08-04,52.68,53.15,52.16,52.86,3896463
2016-08-05,54.17,55.5,53.93,54.17,7400193
2016-08-08,54.03,54.14,52.76,52.99,2707308
2016-08-09,52.93,53.76,52.87,53.04,3815826
2016-08-10,53.07,53.81,53.0,53.63,2471895
2016-08-11,53.92,54.19,53.63,53.9,2098911
2016-08-12,53.71,53.96,53.49,53.73,1322619
2016-08-15,53.71,53.91,53.53,53.81,1240986
2016-08-16,53.8,53.87,53.19,53.21,1360572
2016-08-17,53.12,53.61,52.62,53.24,1464984
2016-08-18,53.4,53.65,53.3,53.48,1827504
2016-08-19,53.58,53.87,53.07,53.15,2266167
2016-08-22,53.22,53.3,52.87,53.06,1329192
2016-08-23,52.89,53.07,52.44,52.46,1707000
2016-08-24,52.36,52.72,52.14,52.31,1801086
2016-08-25,52.22,52.89,52.22,52.49,2058174
2016-08-26,52.59,52.82,52.2,52.35,1607136
2016-08-29,52.18,52.35,51.73,51.98,2134371
2016-08-30,51.95,52.04,51.04,51.27,2624895
2016-08-31,51.32,51.5,50.98,51.3,3012279
2016-09-01,51.44,51.73,50.97,51.44,2041314
