Date,Open,High,Low,Close,Volume
2016-01-04,930.4,932.5,920.9,925.9,5742539
2016-01-05,928.9,935.1,921.9,933.3,5433851
2016-01-06,935.0,950.0,929.9,950.0,8113489
2016-01-07,939.0,950.8,934.2,949.8,8541855
2016-01-08,950.2,952.3,940.1,940.1,6406131
2016-01-11,940.9,947.6,932.5,941.08,4439296
2016-01-12,943.3,950.9,938.5,949.0,4702032
2016-01-13,947.8,948.49,939.7,941.94,5287774
2016-01-14,935.0,940.8,925.4,937.2,8059799
2016-01-15,940.9,945.6,929.5,934.6,8177562
2016-01-18,936.9,940.2,923.1,926.0,4905194
2016-01-19,939.3,946.2,931.8,944.9,6950248
2016-01-20,936.7,943.3,913.9,917.8,9141613
2016-01-21,922.2,925.49,906.1,925.4,8593376
2016-01-22,935.0,943.3,923.5,941.9,8185880
2016-01-25,950.5,951.0,939.0,946.3,7486655
2016-01-26,939.6,953.2,931.7,948.0,6316916
2016-01-27,951.7,965.7,946.4,965.7,7406711
2016-01-28,964.0,967.7,954.6,960.3,6390634
2016-01-29,968.7,985.8,960.3,985.8,11805593
2016-02-01,990.9,992.5,976.4,989.7,7143967
2016-02-02,989.5,991.5,979.6,985.3,6996718
2016-02-03,984.1,992.4,971.9,983.7,8426035
2016-02-04,985.0,987.0,970.6,976.6,7439914
2016-02-05,974.9,978.6,955.6,959.0,8021394
2016-02-08,962.6,966.5,946.6,949.6,9737969
2016-02-09,953.0,959.2,937.4,943.7,9341087
2016-02-10,946.5,950.1,934.94,941.8,9596102
2016-02-11,944.0,946.5,925.55,931.9,11057173
2016-02-12,936.7,939.9,927.7,937.4,8669872
2016-02-15,949.9,958.6,944.3,952.6,4512073
2016-02-16,955.4,955.5,946.4,955.5,5986928
2016-02-17,959.3,962.05,942.33,955.3,7695103
2016-02-18,956.5,965.9,955.2,964.1,5601566
2016-02-19,963.0,964.5,958.9,964.5,4739790
2016-02-22,973.2,978.1,966.6,973.4,3174684
2016-02-23,974.0,977.0,962.1,964.0,6214712
2016-02-24,966.6,966.6,952.9,955.3,5710343
2016-02-25,966.3,978.8,966.3,975.5,5937097
2016-02-26,983.0,987.4,970.0,970.0,5397964
2016-02-29,963.5,964.4,958.4,963.5,6460721
2016-03-01,963.4,968.3,959.0,965.0,5470712
2016-03-02,965.0,967.4,948.7,952.3,6002054
2016-03-03,953.5,956.0,933.3,938.5,7876473
2016-03-04,941.8,948.5,936.4,944.5,8218645
2016-03-07,946.4,953.2,936.2,940.5,6117682
2016-03-08,935.1,951.3,932.0,948.8,6093535
2016-03-09,950.0,963.9,946.7,960.4,6186100
2016-03-10,960.0,981.2,959.0,959.0,8770515
2016-03-11,963.5,968.8,959.1,965.5,4644876
2016-03-14,967.0,969.7,962.6,967.5,4260131
2016-03-15,966.0,974.6,961.7,972.6,4684600
2016-03-16,976.4,976.9,968.8,970.2,4739092
2016-03-17,976.9,984.3,971.2,983.6,6056348
2016-03-18,983.6,985.5,973.6,974.2,8163282
2016-03-21,970.7,979.6,968.6,979.6,4337221
2016-03-22,976.4,980.8,970.8,973.9,5062745
2016-03-23,981.1,983.8,973.6,983.5,4429077
2016-03-24,977.2,989.9,977.01,980.8,5923961
2016-03-29,985.5,989.8,982.4,986.6,4574279
2016-03-30,992.8,998.2,988.0,993.5,5858707
2016-03-31,990.8,991.3,984.51,987.2,6385357
2016-04-01,976.3,982.5,970.5,979.3,6595161
2016-04-04,980.5,994.8,977.36,985.8,4838597
2016-04-05,984.4,992.3,980.26,985.5,6621738
2016-04-06,987.9,994.0,984.5,994.0,6206346
2016-04-07,996.9,1003.5,990.5,998.2,5248331
2016-04-08,1003.0,1003.0,991.5,1000.5,3962411
2016-04-11,1000.5,1000.5,990.2,991.4,3805832
2016-04-12,991.0,996.4,979.7,993.9,5567380
2016-04-13,999.3,999.9,988.6,998.5,5724011
2016-04-14,1000.0,1002.5,988.1,1002.0,4887493
2016-04-15,1003.0,1005.0,998.1,1000.5,4267940
2016-04-18,995.6,1007.5,993.1,1005.5,3816079
2016-04-19,1003.0,1011.5,998.2,1007.0,5378745
2016-04-20,1007.5,1008.5,998.2,1001.0,4794512
2016-04-21,987.5,992.64,958.3,966.1,8842277
2016-04-22,957.5,966.5,950.2,952.8,5953660
2016-04-25,955.2,969.6,952.6,965.7,5785140
2016-04-26,970.5,986.68,964.2,974.9,6330259
2016-04-27,973.5,980.4,968.2,980.4,4320457
2016-04-28,979.7,980.8,965.73,975.0,4928933
2016-04-29,967.6,978.4,963.3,974.8,4980343
2016-05-03,981.0,989.5,974.2,987.8,6224979
2016-05-04,990.0,990.0,975.2,982.2,4649852
2016-05-05,987.2,997.7,984.1,987.5,4899383
2016-05-06,988.0,995.7,984.1,991.8,3952132
2016-05-09,997.0,1002.9,991.8,1001.5,4175087
2016-05-10,1007.5,1009.0,999.8,1005.0,3683433
2016-05-11,1004.0,1006.5,994.4,996.9,3866150
2016-05-12,992.5,1010.16,992.5,1002.5,4695200
2016-05-13,1003.5,1010.5,999.5,1000.12,3791900
2016-05-16,1006.5,1008.0,1001.0,1006.49,2275332
2016-05-17,1010.0,1015.5,1003.5,1004.5,3932910
2016-05-18,1001.0,1003.5,992.2,999.2,4473176
2016-05-19,988.0,992.9,969.3,970.6,7318743
2016-05-20,980.5,989.3,976.3,986.6,6505458
2016-05-23,988.8,990.6,983.6,986.2,4148848
2016-05-24,981.1,992.87,953.01,991.6,5155583
