Date,Open,High,Low,Close,Volume
2016-01-04,172.15,173.46,165.06,172.12,1119235
2016-01-05,173.04,175.0,171.5,173.86,731520
2016-01-06,172.0,175.72,170.49,173.67,958135
2016-01-07,165.3,167.48,162.78,165.37,1316827
2016-01-08,167.11,170.0,162.89,163.46,965926
2016-01-11,160.0,163.48,155.24,158.79,1210553
2016-01-12,160.31,161.39,158.47,160.86,774540
2016-01-13,162.0,162.0,157.36,157.81,664011
2016-01-14,157.0,164.38,155.58,163.52,879563
2016-01-15,158.04,160.98,152.48,154.99,1001334
2016-01-19,158.3,164.88,158.3,161.65,1384583
2016-01-20,156.87,161.41,154.51,160.32,1017562
2016-01-21,160.56,161.45,157.02,159.16,1117746
2016-01-22,162.22,162.99,151.15,153.5,1670395
2016-01-25,154.0,160.89,153.1,158.48,834370
2016-01-26,155.76,155.97,150.5,152.4,1231500
2016-01-27,152.73,155.5,151.12,154.04,1005403
2016-01-28,155.32,156.66,152.01,153.75,1036934
2016-01-29,155.58,157.56,154.21,156.14,1187435
2016-02-01,155.85,157.38,153.53,156.51,820278
2016-02-02,155.0,156.85,154.12,154.73,914242
2016-02-03,154.94,155.49,146.16,149.52,1209776
2016-02-04,149.47,152.78,148.6,150.69,713512
2016-02-05,151.4,151.4,138.88,139.47,1172452
2016-02-08,136.71,138.0,130.1,133.13,1260752
2016-02-09,131.69,139.0,129.6,136.4,1152841
2016-02-10,137.93,140.39,137.5,138.19,619990
2016-02-11,134.04,139.57,132.5,136.85,616622
2016-02-12,140.45,145.29,137.29,138.43,1229137
2016-02-16,143.42,153.0,143.42,150.64,1797837
2016-02-17,152.0,156.69,148.04,155.96,1121974
2016-02-18,157.0,157.65,150.49,152.27,758459
2016-02-19,151.06,155.27,150.59,153.94,799559
2016-02-22,156.91,162.54,155.0,160.08,945721
2016-02-23,160.33,160.6,154.8,157.37,802371
2016-02-24,155.8,160.43,152.0,159.9,829605
2016-02-25,146.89,146.89,132.0,136.23,3676597
2016-02-26,137.75,142.6,135.32,135.38,1638666
2016-02-29,135.15,136.67,134.14,134.61,1315892
2016-03-01,136.09,140.14,135.01,138.77,1341503
2016-03-02,140.68,141.69,132.6,135.92,1475993
2016-03-03,134.92,141.22,134.86,140.06,1025636
2016-03-04,141.25,144.89,140.3,141.73,1336253
2016-03-07,141.64,143.22,139.63,141.62,992397
2016-03-08,140.68,142.97,137.24,137.68,1178072
2016-03-09,139.36,140.6,136.29,140.47,978941
2016-03-10,140.13,142.0,137.28,139.4,1087192
2016-03-11,142.0,144.8,140.98,144.12,1229962
2016-03-14,143.19,149.79,143.19,146.58,1143810
2016-03-15,144.89,147.64,144.31,146.28,2547472
2016-03-16,145.92,150.78,144.54,150.75,985296
2016-03-17,151.0,155.45,150.93,151.91,1374145
2016-03-18,151.28,151.28,145.5,147.84,1917368
2016-03-21,147.68,149.99,147.0,148.69,784741
2016-03-22,148.47,150.94,148.04,149.48,837464
2016-03-23,148.65,149.37,144.14,145.76,981223
2016-03-24,145.0,145.0,141.73,144.48,756094
2016-03-28,144.38,144.55,139.65,140.0,892474
2016-03-29,139.88,140.03,136.37,138.86,1882610
