Date,Open,High,Low,Close,Volume
2016-01-04,32.29,32.58,32.04,32.37,8908292
2016-01-05,32.98,33.44,32.5,32.89,12256814
2016-01-06,32.35,32.5,31.16,31.53,11233604
2016-01-07,30.74,30.95,29.88,30.28,16132575
2016-01-08,30.67,30.7,29.56,29.63,9961782
2016-01-11,29.66,29.89,29.15,29.68,10235095
2016-01-12,30.21,30.62,29.97,30.18,11733893
2016-01-13,30.41,30.61,29.23,29.26,11955635
2016-01-14,28.66,29.0,27.82,28.67,14981799
2016-01-15,27.52,27.85,26.64,27.11,20981136
2016-01-19,27.67,28.45,27.22,27.33,11265058
2016-01-20,26.81,27.83,26.45,27.48,12002091
2016-01-21,27.78,28.23,27.21,27.8,12033833
2016-01-22,28.33,28.64,28.27,28.45,6449854
2016-01-25,28.44,28.76,28.36,28.42,6745174
2016-01-26,28.48,28.82,28.18,28.7,5698599
2016-01-27,28.66,28.74,27.82,28.36,5759612
2016-01-28,28.59,28.69,27.5,28.05,6919436
2016-01-29,28.29,29.34,28.18,29.29,7727534
2016-02-01,29.26,29.45,29.01,29.3,7226290
2016-02-02,29.0,29.15,27.86,28.06,8498235
2016-02-03,28.28,28.45,27.55,28.2,8169251
2016-02-04,28.24,28.85,27.93,28.21,8684591
2016-02-05,28.02,28.33,26.35,26.43,14921402
2016-02-08,26.03,26.16,24.85,25.22,15184526
2016-02-09,24.92,26.55,24.8,25.49,10572721
2016-02-10,25.65,26.39,25.29,25.43,8385313
2016-02-11,24.78,25.56,24.78,25.3,8479059
2016-02-12,25.7,25.78,24.75,25.73,8624136
2016-02-16,26.1,27.03,26.02,26.99,11359221
2016-02-17,27.33,27.92,27.22,27.66,17886519
2016-02-18,29.93,30.98,29.9,30.04,26680920
2016-02-19,29.88,30.71,29.65,30.44,13130969
2016-02-22,30.88,31.87,30.82,31.52,11230687
2016-02-23,31.27,31.9,31.12,31.6,9215096
2016-02-24,31.47,31.87,30.6,31.82,8416834
2016-02-25,31.94,32.05,31.32,31.89,8727851
2016-02-26,32.04,32.12,31.36,31.68,8991138
2016-02-29,31.61,32.02,31.34,31.36,8069592
2016-03-01,31.44,32.75,31.39,32.75,8704970
2016-03-02,32.57,33.06,32.51,32.94,5845254
2016-03-03,32.9,33.04,32.21,32.65,7544389
2016-03-04,32.9,32.93,32.3,32.55,4371182
2016-03-07,32.37,32.59,31.92,32.34,5999169
2016-03-08,32.01,32.2,31.64,31.75,6710807
2016-03-09,32.03,32.08,31.32,31.73,5562261
2016-03-10,31.92,32.1,31.04,31.68,7135555
2016-03-11,32.15,32.23,31.77,32.22,6932335
2016-03-14,32.07,32.43,31.92,32.3,4757764
2016-03-15,32.13,32.34,31.57,32.14,5655420
2016-03-16,31.9,33.21,31.75,33.1,9061899
2016-03-17,32.98,33.14,32.37,32.82,8836179
2016-03-18,33.21,34.25,33.0,33.81,13615437
