Date,Open,High,Low,Close,Volume
2016-01-04,3321.0,3321.0,3197.0,3211.0,401647
2016-01-05,3242.0,3276.0,3223.4,3265.0,313965
2016-01-06,3272.0,3272.0,3232.6,3257.0,276770
2016-01-07,3193.0,3212.0,3152.0,3184.0,344029
2016-01-08,3191.0,3214.0,3178.0,3178.0,308753
2016-01-11,3164.0,3228.0,3136.0,3200.0,354120
2016-01-12,3205.0,3258.0,3180.0,3229.0,378072
2016-01-13,3268.0,3287.0,3153.0,3160.0,451224
2016-01-14,3145.0,3236.0,3045.0,3052.0,366566
2016-01-15,3053.0,3072.0,2948.0,2971.0,506745
2016-01-18,2963.0,3010.0,2895.0,2903.0,370237
2016-01-19,2939.0,2958.0,2923.0,2932.0,323154
2016-01-20,2890.0,2907.0,2841.0,2856.0,360549
2016-01-21,2865.0,2891.0,2826.0,2851.0,437351
2016-01-22,2888.0,2900.0,2872.0,2894.0,248981
2016-01-25,2900.0,2922.0,2887.0,2917.0,236483
2016-01-26,2883.0,2904.0,2839.0,2851.0,317671
2016-01-27,2846.0,2872.0,2838.0,2872.0,355718
2016-01-28,2854.0,2883.0,2808.0,2826.0,277912
2016-01-29,2853.0,2938.0,2843.0,2938.0,480464
2016-02-01,2925.0,2967.0,2908.0,2966.0,330022
2016-02-02,2950.0,2970.0,2924.0,2927.0,262507
2016-02-03,2914.0,2936.0,2840.0,2856.0,294264
2016-02-04,2895.0,2936.0,2865.0,2936.0,305327
2016-02-05,2929.0,2971.0,2861.0,2861.0,334178
2016-02-08,2883.0,2883.0,2733.55,2754.0,417851
2016-02-09,2766.0,2810.0,2743.0,2793.0,373163
2016-02-10,2797.0,2905.0,2797.0,2855.0,311644
2016-02-11,2853.0,2853.0,2771.0,2809.0,321402
2016-02-12,2890.0,3019.0,2866.0,3019.0,588144
2016-02-15,3073.0,3130.0,3071.0,3107.0,301682
2016-02-16,3118.0,3137.0,3078.0,3092.0,386410
2016-02-17,3098.0,3184.0,3098.0,3184.0,280339
2016-02-18,3188.0,3210.0,3140.0,3174.0,297285
2016-02-19,3162.0,3268.0,3151.0,3220.0,308858
2016-02-22,3259.0,3287.0,3183.0,3188.0,151333
2016-02-23,3267.0,3357.0,3225.0,3267.0,345124
2016-02-24,3268.0,3275.0,3222.0,3225.0,526809
2016-02-26,3262.0,3272.0,3217.0,3228.0,269151
2016-02-29,3203.0,3262.08,3190.5,3249.0,418710
2016-03-01,3239.0,3356.0,3239.0,3328.0,316923
2016-03-02,3340.0,3371.0,3248.0,3285.0,245522
2016-03-03,3277.0,3294.0,3243.0,3263.0,201231
2016-03-04,3268.0,3282.0,3234.94,3260.0,286265
2016-03-07,3247.0,3270.0,3188.0,3198.0,216988
2016-03-08,3180.0,3185.0,3076.0,3102.0,354256
2016-03-09,3120.0,3120.0,3074.0,3083.0,262124
2016-03-10,3092.0,3133.13,3050.0,3052.0,323937
2016-03-11,3085.0,3106.0,3075.0,3094.0,150911
2016-03-14,3100.0,3108.0,2983.0,3000.0,373263
2016-03-15,2992.0,3013.0,2991.0,2991.0,322316
2016-03-16,2997.0,2997.0,2936.0,2946.0,287812
2016-03-17,2952.0,2981.0,2890.0,2904.0,424122
2016-03-18,2914.0,3015.0,2904.0,2974.0,2913696
2016-03-21,2950.0,2972.0,2917.0,2961.0,341819
2016-03-22,2956.0,3035.0,2917.0,3026.0,357498
2016-03-23,3017.0,3040.0,2996.0,3012.0,208669
2016-03-24,2990.0,2993.0,2956.0,2958.0,205196
2016-03-29,2969.0,2977.0,2927.0,2950.0,218703
2016-03-30,2981.0,2996.0,2949.0,2959.0,182264
2016-03-31,2955.0,2974.0,2939.0,2965.0,235317
2016-04-01,2955.0,2967.0,2925.0,2966.0,184332
2016-04-04,2956.0,3005.0,2950.0,2968.0,197267
2016-04-05,2955.0,2991.0,2929.0,2939.0,263832
2016-04-06,2947.0,2993.0,2946.0,2986.0,198557
2016-04-07,2990.0,3015.0,2913.0,2916.0,219229
2016-04-08,2922.0,2955.0,2913.0,2946.0,232867
2016-04-11,2934.0,2967.0,2925.0,2935.0,195420
2016-04-12,2951.0,2995.0,2910.0,2988.0,227627
2016-04-13,3008.0,3088.0,3003.0,3076.0,291329
2016-04-14,3087.0,3097.0,3057.0,3060.0,219392
2016-04-15,3060.0,3086.0,3051.0,3086.0,260438
2016-04-18,3063.0,3080.0,3029.0,3050.0,209454
2016-04-19,3049.0,3079.0,3014.0,3019.0,207260
2016-04-20,3009.0,3016.0,2928.0,2986.0,282113
2016-04-21,2983.0,3012.0,2960.0,3004.0,188360
2016-04-22,2990.0,3009.0,2952.0,2953.0,163874
2016-04-25,2958.0,2965.0,2937.0,2946.0,148940
2016-04-26,2947.0,2960.0,2933.0,2952.0,127572
2016-04-27,2950.0,2965.0,2905.0,2965.0,252190
2016-04-28,2941.0,2951.0,2868.0,2918.0,215388
2016-04-29,2893.0,2938.0,2889.0,2914.0,240803
2016-05-03,2941.0,2955.0,2879.0,2924.0,249914
2016-05-04,2908.0,2953.0,2908.0,2942.0,201762
2016-05-05,2920.0,2940.0,2841.0,2874.0,506145
2016-05-06,2863.0,2884.0,2832.0,2838.0,288276
2016-05-09,2859.0,2868.0,2820.0,2839.0,319037
2016-05-10,2850.0,2866.0,2828.0,2830.0,253002
2016-05-11,2822.0,2827.0,2769.0,2782.0,306298
2016-05-12,2765.0,2803.76,2729.5,2784.0,454923
2016-05-13,2779.0,2837.0,2757.0,2837.0,332500
2016-05-16,2813.0,2826.0,2780.0,2784.0,169703
2016-05-17,2789.0,2845.0,2782.59,2845.0,285432
2016-05-18,2821.0,2870.0,2802.0,2870.0,290291
2016-05-19,2793.0,2856.51,2759.0,2787.0,332843
2016-05-20,2806.0,2851.0,2789.0,2851.0,263940
2016-05-23,2857.0,2883.0,2840.0,2859.0,247709
2016-05-24,2850.0,2951.0,2822.0,2921.0,212382
2016-05-25,2951.0,2957.0,2906.0,2922.0,174304
2016-05-26,2913.0,2921.0,2886.0,2897.0,186011
2016-05-27,2887.0,2916.0,2884.0,2914.0,193538
2016-05-31,2845.0,2912.0,2845.0,2912.0,524572
2016-06-01,2912.0,2924.0,2859.0,2873.0,239574
2016-06-02,2864.0,2877.0,2839.0,2849.0,234405
2016-06-03,2860.0,2870.0,2822.0,2851.0,176937
2016-06-09,2834.0,2842.0,2811.0,2812.0,137868
2016-06-10,2817.0,2817.0,2719.0,2731.0,194160
2016-06-13,2715.0,2723.19,2667.0,2667.0,217181
2016-06-14,2648.0,2665.0,2588.0,2590.0,468723
2016-06-15,2595.0,2627.0,2583.0,2619.0,455059
2016-06-16,2594.0,2640.0,2560.0,2585.0,263495
2016-06-17,2611.0,2647.0,2597.0,2647.0,393182
2016-06-20,2700.0,2769.0,2695.0,2766.0,262163
2016-06-21,2746.0,2799.0,2742.0,2765.0,261342
2016-06-22,2796.0,2870.0,2767.0,2846.0,229008
2016-06-23,2863.0,2923.0,2835.0,2920.0,235983
2016-06-24,2628.0,2628.0,2350.0,2451.0,1048992
2016-06-27,2398.0,2422.0,2125.0,2164.0,694843
2016-06-28,2206.0,2300.0,2164.0,2287.0,552135
2016-06-29,2314.0,2357.0,2296.93,2310.0,823422
2016-06-30,2304.0,2307.0,2239.54,2300.0,445361
2016-07-01,2320.0,2402.0,2257.0,2401.0,499038
2016-07-04,2411.0,2414.2,2337.0,2338.0,341041
2016-07-05,2366.0,2386.0,2289.0,2306.0,461563
2016-07-06,2279.0,2318.0,2187.0,2230.0,647570
2016-07-07,2273.0,2459.0,2270.0,2409.0,602055
2016-07-08,2436.0,2522.0,2402.0,2493.0,482893
2016-07-11,2542.0,2559.0,2465.0,2551.0,336546
2016-07-12,2564.0,2610.0,2546.0,2596.0,301052
2016-07-13,2581.0,2619.0,2564.0,2581.0,296464
2016-07-14,2610.0,2613.0,2537.0,2585.0,263810
2016-07-15,2590.0,2594.0,2547.0,2568.0,254684
2016-07-18,2558.0,2598.0,2558.0,2582.0,175628
2016-07-19,2589.0,2626.0,2575.0,2604.0,268685
2016-07-20,2616.0,2621.0,2590.0,2607.0,200344
