Date,Open,High,Low,Close,Volume
2016-01-04,26.83,26.95,26.24,26.81,2396644
2016-01-05,26.8,26.97,26.33,26.62,2810263
2016-01-06,26.19,26.59,25.71,26.12,2215253
2016-01-07,25.54,25.98,25.29,25.39,2443823
2016-01-08,25.47,25.77,24.99,25.02,3538849
2016-01-11,25.03,25.62,24.75,25.5,2475198
2016-01-12,25.67,25.96,25.4,25.88,1961881
2016-01-13,25.88,26.06,25.2,25.31,3072218
2016-01-14,25.3,25.84,25.04,25.61,2152911
2016-01-15,24.9,25.35,24.69,24.99,2332208
2016-01-19,25.16,25.37,24.86,25.18,1974769
2016-01-20,24.85,25.1,24.14,24.8,2552084
2016-01-21,24.76,24.97,24.36,24.48,2774900
2016-01-22,25.04,25.35,24.87,25.27,3020340
2016-01-25,25.23,25.23,24.65,24.71,2921528
2016-01-26,24.71,25.45,24.43,25.28,1773179
2016-01-27,25.13,25.42,24.46,24.85,1536831
2016-01-28,25.14,25.2,24.68,25.17,1649685
2016-01-29,25.35,26.06,25.16,26.06,2877638
2016-02-01,25.8,26.04,25.47,25.89,2176108
2016-02-02,25.59,25.9,25.26,25.42,1845426
2016-02-03,25.5,25.53,24.82,25.26,1976520
2016-02-04,25.0,25.42,24.77,25.22,1815862
2016-02-05,25.02,25.08,23.95,23.99,2418777
2016-02-08,23.59,23.59,22.81,23.11,2666110
2016-02-09,22.87,23.26,22.61,22.68,2460531
2016-02-10,22.8,23.28,22.51,22.75,3353726
2016-02-11,22.68,23.33,22.54,23.26,3076590
2016-02-12,23.36,23.72,22.75,23.17,3157558
2016-02-16,23.59,24.26,23.42,24.24,2834548
2016-02-17,24.55,25.15,24.49,24.9,2220265
2016-02-18,24.94,25.23,24.55,24.69,1783754
2016-02-19,24.49,24.74,23.17,24.45,1992872
2016-02-22,24.84,25.06,24.65,25.01,1794456
2016-02-23,24.99,25.19,24.63,25.1,2222332
2016-02-24,24.9,26.11,24.87,25.95,2908256
2016-02-25,26.16,26.38,25.69,26.24,2646668
2016-02-26,26.43,26.44,25.42,25.7,3022687
2016-02-29,25.64,25.73,25.32,25.38,3181994
2016-03-01,25.59,26.1,25.38,26.08,2188320
2016-03-02,25.93,26.02,25.25,25.83,2121209
2016-03-03,25.65,26.64,25.56,26.45,2694281
2016-03-04,26.61,26.61,26.2,26.27,2083444
2016-03-07,25.99,26.18,25.62,25.94,2805343
2016-03-08,25.85,25.94,25.36,25.39,3407586
2016-03-09,25.43,25.56,24.92,25.1,2142149
2016-03-10,25.28,25.44,24.76,25.09,1138495
2016-03-11,25.26,25.55,25.09,25.35,1873436
2016-03-14,25.0,25.44,24.86,25.23,1147630
2016-03-15,25.08,25.27,24.84,24.88,1598861
2016-03-16,24.88,25.17,24.86,25.12,1266299
2016-03-17,24.95,25.28,24.78,24.99,1423866
2016-03-18,25.04,25.37,24.85,25.07,1811099
2016-03-21,24.95,25.08,24.66,24.81,1421847
2016-03-22,24.55,24.9,24.41,24.75,1992779
2016-03-23,24.72,24.74,24.36,24.41,1502275
2016-03-24,24.44,24.86,24.38,24.74,1474747
2016-03-28,24.74,24.9,24.39,24.77,1162121
2016-03-29,24.73,24.93,24.63,24.92,1178521
2016-03-30,25.0,25.3,24.38,25.21,2162905
2016-03-31,25.2,25.28,24.93,25.25,2729902
2016-04-01,25.25,25.58,25.12,25.58,2152387
2016-04-04,25.69,25.99,25.2,25.26,1423802
2016-04-05,25.02,25.22,24.65,25.16,3057807
2016-04-06,25.14,25.9,24.98,25.84,3605395
