Date,Open,High,Low,Close,Volume
2016-01-04,531.76,532.91,507.1,516.55,1023769
2016-01-05,519.38,521.78,504.06,508.98,889433
2016-01-06,499.0,524.67,496.0,519.48,887604
2016-01-07,510.5,515.35,501.91,501.96,930973
2016-01-08,505.02,511.31,490.99,491.68,793073
2016-01-11,495.05,498.7,469.8,480.82,863041
2016-01-12,486.0,486.99,452.67,474.98,1717670
2016-01-13,474.85,474.85,451.39,459.57,1383050
2016-01-14,461.85,486.52,453.16,479.08,1189068
2016-01-15,464.59,476.24,456.0,462.95,1345062
2016-01-19,470.2,474.44,441.88,447.02,1217429
2016-01-20,438.53,468.82,432.05,461.95,1229401
2016-01-21,462.16,469.98,452.01,461.57,889888
2016-01-22,469.43,484.57,464.23,482.99,820500
2016-01-25,468.53,482.27,465.11,473.12,912008
2016-01-26,474.4,474.4,456.25,463.56,608238
2016-01-27,460.63,463.24,431.51,434.16,1220307
2016-01-28,436.0,436.7,400.0,415.11,2295650
2016-01-29,415.22,428.91,405.06,420.09,1145304
2016-02-01,417.19,420.77,408.42,418.27,997696
2016-02-02,412.68,415.63,402.23,409.89,885023
2016-02-03,413.05,422.49,392.35,421.01,1248376
2016-02-04,417.17,437.52,408.12,412.59,1281998
2016-02-05,416.1,420.53,393.07,396.61,1424010
2016-02-08,380.7,393.64,376.61,390.53,1215443
2016-02-09,357.0,388.0,350.26,365.97,2097784
2016-02-10,370.02,378.19,363.0,367.48,1208416
2016-02-11,358.3,375.98,357.01,367.24,938844
2016-02-12,371.36,379.04,365.13,379.01,724701
2016-02-16,386.4,393.95,382.22,391.76,1088497
2016-02-17,393.73,398.75,385.0,397.26,836151
2016-02-18,395.65,405.0,386.01,387.3,721598
2016-02-19,386.45,396.24,380.02,394.98,604776
2016-02-22,399.05,405.71,394.39,395.79,697345
2016-02-23,392.0,399.68,386.08,386.83,614395
2016-02-24,383.69,394.75,377.3,393.63,713716
2016-02-25,396.36,402.81,390.49,393.99,670154
2016-02-26,396.92,398.6,387.64,394.23,593284
2016-02-29,396.24,397.12,383.06,384.02,794037
2016-03-01,387.86,410.21,384.02,410.21,921005
2016-03-02,410.0,419.0,405.26,407.81,781855
2016-03-03,406.23,409.44,395.21,401.94,780392
2016-03-04,404.55,413.85,395.95,403.82,790614
2016-03-07,401.79,411.24,399.61,408.28,629191
2016-03-08,405.4,408.29,392.66,394.81,706059
2016-03-09,388.53,389.61,373.8,374.75,1591005
2016-03-10,376.88,380.59,373.63,377.56,1172875
2016-03-11,382.67,383.58,375.53,377.12,826589
2016-03-14,378.55,379.1,370.65,373.27,1077687
2016-03-15,369.96,372.28,359.17,367.22,1037511
2016-03-16,367.0,381.0,360.0,368.46,1093564
2016-03-17,366.31,369.5,348.96,365.47,1496723
2016-03-18,367.64,370.4,356.75,364.51,1581029
2016-03-21,363.86,375.92,360.53,371.04,771778
2016-03-22,367.91,380.82,367.25,378.31,723097
2016-03-23,378.85,384.31,365.14,365.38,690200
2016-03-24,363.46,375.38,360.38,370.8,1045983
2016-03-28,372.98,374.92,363.32,363.85,474815
2016-03-29,363.89,369.64,357.34,367.37,591579
2016-03-30,369.72,373.99,359.15,359.68,699275
2016-03-31,361.02,364.84,358.63,360.44,929007
2016-04-01,373.99,411.98,360.81,405.25,3182288
2016-04-04,403.69,411.33,399.06,405.3,1204137
2016-04-05,401.85,411.85,399.29,403.65,1025772
2016-04-06,404.21,428.05,404.21,427.2,1474473
2016-04-07,425.0,433.93,417.02,418.48,1231380
2016-04-08,420.9,424.0,401.7,404.94,1220190
2016-04-11,407.37,407.37,392.92,396.14,1083734
2016-04-12,396.33,410.49,394.2,408.07,1047276
2016-04-13,411.24,415.0,406.0,410.52,606129
2016-04-14,412.16,414.58,401.81,406.83,452221
2016-04-15,408.86,409.77,400.89,406.73,469529
