Date,Open,High,Low,Close,Volume
2016-01-04,602.0,602.5,591.5,598.0,1433803
2016-01-05,600.0,603.5,596.5,600.0,1253198
2016-01-06,594.5,604.0,594.0,603.5,1176031
2016-01-07,596.0,600.5,593.09,598.0,1044592
2016-01-08,602.0,602.15,596.0,598.5,1045578
2016-01-11,600.5,604.0,597.5,599.0,1404840
2016-01-12,600.0,613.0,594.5,610.5,2580706
2016-01-13,612.0,614.0,599.68,610.0,1375913
2016-01-14,602.0,608.0,600.5,602.0,1815703
2016-01-15,603.5,610.5,597.5,610.5,2412490
2016-01-18,611.5,612.0,604.5,605.0,633588
2016-01-19,615.0,615.0,606.65,611.0,1484558
2016-01-20,599.0,606.0,599.0,601.5,2165074
2016-01-21,602.5,607.0,596.32,605.0,1441527
2016-01-22,610.0,613.56,600.0,603.5,1830120
2016-01-25,607.0,608.0,600.0,608.0,996480
2016-01-26,596.0,607.0,596.0,606.0,1307381
2016-01-27,600.0,604.0,600.0,601.5,1344854
2016-01-28,603.0,603.0,590.5,597.0,1176604
2016-01-29,600.0,604.5,595.0,600.0,3399496
2016-02-01,602.5,609.0,596.0,599.5,1013746
2016-02-02,601.0,601.0,596.0,599.5,1620561
2016-02-03,593.0,600.5,593.0,594.0,1284836
2016-02-04,599.5,604.5,590.5,601.0,1223932
2016-02-05,603.5,604.5,599.66,600.0,1295583
2016-02-08,594.5,601.5,587.0,587.0,1223102
2016-02-09,608.5,608.5,589.0,589.0,2148262
2016-02-10,585.0,596.5,585.0,592.0,1959933
2016-02-11,590.0,594.0,586.0,586.5,1833772
2016-02-12,584.5,594.0,583.0,594.0,13324139
2016-02-15,602.5,602.5,592.0,596.0,1142238
2016-02-16,600.0,600.0,595.0,597.5,1717429
2016-02-17,579.0,606.0,579.0,602.0,2295877
2016-02-18,607.5,608.0,598.5,605.5,2370604
2016-02-19,607.5,607.5,599.5,605.5,1135801
2016-02-22,610.5,613.5,606.0,607.0,773537
2016-02-23,602.0,607.0,599.5,604.0,1091857
2016-02-24,601.5,609.5,598.5,607.0,1538646
2016-02-25,609.0,613.5,605.5,607.0,1658312
2016-02-26,610.5,612.0,606.5,609.0,2275742
2016-02-29,604.0,612.5,604.0,611.0,1795573
2016-03-01,610.5,612.5,609.5,610.5,1507960
2016-03-02,612.5,617.5,612.5,617.5,2645230
2016-03-03,615.0,616.5,613.0,616.0,2246270
2016-03-04,614.5,618.5,613.5,616.5,2667858
2016-03-07,615.0,616.05,611.0,616.0,1529926
2016-03-08,608.5,614.74,608.5,614.5,1386802
2016-03-09,612.5,617.0,610.16,616.0,1870318
2016-03-10,613.5,616.5,609.5,609.5,3663525
2016-03-11,614.5,614.5,607.5,612.0,3099793
2016-03-14,612.0,618.0,612.0,618.0,1212648
2016-03-15,613.5,622.21,612.35,621.0,968108
2016-03-16,618.5,623.5,618.0,622.06,1248986
2016-03-17,622.5,629.0,620.5,629.0,1696361
2016-03-18,627.5,631.0,622.0,623.5,3102317
2016-03-21,619.5,625.0,619.5,624.0,990830
2016-03-22,620.5,630.0,616.19,629.0,1387571
2016-03-23,627.0,635.0,627.0,632.0,1628663
2016-03-24,629.0,633.0,626.5,627.5,1227334
2016-03-29,632.5,633.5,626.1,633.5,874509
2016-03-30,635.5,638.0,631.0,632.5,1414177
2016-03-31,630.5,635.0,626.5,634.0,1849731
2016-04-01,626.5,635.5,626.5,634.5,1944107
2016-04-04,633.0,637.0,630.0,632.0,1471109
