Date,Open,High,Low,Close,Volume
2016-01-04,1960.0,1960.0,1892.5,1902.5,5256146
2016-01-05,1926.0,1970.5,1897.5,1939.5,3628517
2016-01-06,1926.0,1927.0,1820.0,1846.5,5733458
2016-01-07,1780.0,1801.5,1740.0,1784.5,6852017
2016-01-08,1815.0,1831.0,1739.0,1739.0,5462763
2016-01-11,1723.5,1758.0,1693.0,1697.0,5896438
2016-01-12,1682.5,1730.5,1637.5,1652.0,5943289
2016-01-13,1671.5,1738.5,1665.68,1683.5,5919338
2016-01-14,1672.0,1755.5,1652.5,1735.0,6176906
2016-01-15,1714.0,1724.0,1636.0,1643.5,7382701
2016-01-18,1629.5,1670.0,1611.5,1632.5,4544071
2016-01-19,1677.0,1726.0,1647.5,1657.0,5164815
2016-01-20,1610.5,1617.0,1557.0,1577.5,5626392
2016-01-21,1593.5,1680.5,1576.5,1672.0,6238454
2016-01-22,1711.5,1742.0,1637.5,1653.5,6870159
2016-01-25,1667.0,1669.5,1594.5,1609.0,5043729
2016-01-26,1584.0,1693.5,1570.5,1688.5,5587067
2016-01-27,1670.5,1717.0,1646.5,1717.0,5747935
2016-01-28,1704.5,1765.0,1684.5,1700.0,6448553
2016-01-29,1731.0,1742.5,1651.5,1714.0,5587901
2016-02-01,1720.0,1724.5,1646.5,1696.0,3754893
2016-02-02,1668.5,1677.0,1589.0,1617.5,6008166
2016-02-03,1616.5,1706.03,1607.0,1685.0,5654082
2016-02-04,1780.0,1891.5,1747.5,1858.0,8412035
2016-02-05,1851.0,1886.0,1766.0,1818.0,8423108
2016-02-08,1850.0,1893.0,1793.0,1840.5,6707352
2016-02-09,1822.5,1830.5,1705.0,1751.0,5558361
2016-02-10,1771.0,1788.5,1732.5,1765.0,4711989
2016-02-11,1715.0,1732.5,1604.5,1705.0,7268221
2016-02-12,1705.5,1851.0,1701.5,1847.5,6720279
2016-02-15,1872.0,1898.0,1800.5,1851.0,4765755
2016-02-16,1888.5,1926.5,1813.5,1852.0,4819307
2016-02-17,1869.5,1953.5,1853.5,1951.0,5844657
2016-02-18,1940.0,1943.0,1868.5,1888.5,5406429
2016-02-19,1868.5,1911.5,1848.5,1891.5,5304854
2016-02-22,1965.0,2065.5,1936.0,2051.0,6361007
2016-02-23,2029.5,2045.5,1979.0,1988.0,6200292
2016-02-24,1972.5,1976.98,1869.0,1874.0,7110293
2016-02-25,1850.0,1866.0,1795.0,1806.5,4912959
2016-02-26,1836.0,1919.59,1835.5,1860.5,4961648
2016-02-29,1834.5,1914.0,1816.0,1904.0,5250324
2016-03-01,1891.5,1988.5,1884.0,1940.0,4683902
2016-03-02,1960.0,2015.16,1953.5,2007.5,6558659
2016-03-03,2032.5,2107.5,1985.5,2012.0,7699621
2016-03-04,2050.0,2134.5,2037.5,2130.0,6713324
2016-03-07,2156.0,2262.0,2085.0,2237.0,11095833
2016-03-08,2158.0,2158.0,2015.0,2026.0,9372935
2016-03-09,2016.0,2048.0,1979.5,2030.5,6217897
2016-03-10,2035.5,2072.5,1955.5,1957.0,5962508
2016-03-11,2000.0,2027.0,1959.5,2000.0,5041657
2016-03-14,2018.0,2081.0,1966.0,2001.5,4588592
2016-03-15,1933.0,1941.5,1898.5,1921.5,4563615
2016-03-16,1927.5,1959.0,1911.0,1929.5,3982601
2016-03-17,1998.0,2048.0,1992.0,2034.0,6811045
2016-03-18,2040.5,2067.0,2004.12,2015.0,7516001
2016-03-21,1999.0,2036.0,1980.0,2014.0,3197010
2016-03-22,2006.5,2010.5,1952.0,1993.0,3943147
2016-03-23,1999.0,2009.0,1946.0,1969.0,3803296
2016-03-24,1927.0,1945.0,1877.0,1937.5,3956465
2016-03-29,1945.0,1951.0,1845.0,1863.0,5346649
2016-03-30,1900.0,2001.5,1900.0,1973.0,5866854
2016-03-31,1952.0,1984.0,1915.0,1966.46,4569264
2016-04-01,1943.0,1988.0,1909.0,1943.0,4043646
2016-04-04,1950.5,2008.0,1939.22,1975.5,4320447
2016-04-05,1934.0,1939.22,1891.0,1927.5,5103444
2016-04-06,1940.0,1967.0,1892.0,1934.5,3588779
2016-04-07,1956.0,1976.5,1910.0,1917.5,5523234
