Date,Open,High,Low,Close,Volume
2016-01-04,442.1,442.1,434.6,437.0,2274460
2016-01-05,441.2,450.0,437.14,437.14,3601794
2016-01-06,445.0,450.56,441.0,443.07,5450158
2016-01-07,435.0,440.2,430.7,438.6,3550576
2016-01-08,440.0,445.0,437.5,439.4,2255669
2016-01-11,437.9,440.9,431.8,435.16,2612410
2016-01-12,436.8,442.8,436.0,440.02,2997284
2016-01-13,443.4,449.5,442.1,443.23,3067248
2016-01-14,439.0,440.0,430.5,437.66,3824155
2016-01-15,437.8,439.7,427.2,435.81,4393258
2016-01-18,428.5,435.06,428.04,429.56,3337161
2016-01-19,435.1,439.2,429.56,436.67,2420217
2016-01-20,430.7,433.8,419.9,427.76,4213858
2016-01-21,427.0,443.3,427.0,438.64,5123300
2016-01-22,444.8,450.1,439.9,448.62,4414851
2016-01-25,451.4,454.6,446.2,451.71,2930166
2016-01-26,443.8,455.7,442.0,453.23,2921736
2016-01-27,453.9,457.5,448.4,457.43,3267314
2016-01-28,455.2,457.6,447.2,453.68,2540722
2016-01-29,454.5,459.2,449.9,456.48,3061633
2016-02-01,459.9,462.0,455.3,460.5,2734496
2016-02-02,461.0,463.5,452.8,454.9,2510918
2016-02-03,452.8,457.14,445.0,448.17,2424719
2016-02-04,452.8,454.1,445.9,449.47,2261568
2016-02-05,450.1,452.1,433.8,435.3,4295302
2016-02-08,436.3,439.0,422.6,423.96,2861056
2016-02-09,424.7,426.7,415.1,422.4,3532474
2016-02-10,423.4,425.3,415.4,422.1,2640066
2016-02-11,417.6,420.1,413.0,416.79,2637786
2016-02-12,417.0,427.5,412.8,427.5,3454654
2016-02-15,431.6,434.7,430.15,432.24,2472934
2016-02-16,433.7,441.2,430.58,441.1,3120638
2016-02-17,441.0,450.3,439.7,449.7,2205102
2016-02-18,449.7,451.5,446.6,449.2,2043839
2016-02-19,448.8,452.8,439.7,441.3,3649046
2016-02-22,443.4,450.88,443.4,448.0,873498
2016-02-23,444.7,450.3,442.9,448.2,2472987
2016-02-24,448.0,449.3,440.1,442.6,2077690
2016-02-25,448.9,457.2,447.44,453.5,1946975
2016-02-26,457.8,461.4,455.0,457.5,1508913
2016-02-29,454.9,457.2,450.7,454.7,2670921
2016-03-01,455.1,461.9,451.3,460.6,1359051
2016-03-02,462.0,462.1,454.4,458.0,1245548
2016-03-03,457.7,462.5,455.78,459.4,1402257
2016-03-04,459.9,462.74,456.0,457.1,1893317
2016-03-07,456.8,459.1,451.4,454.1,2257926
2016-03-08,450.2,455.4,448.7,450.1,1644699
2016-03-09,452.1,455.6,448.2,451.9,1348080
2016-03-10,452.4,454.8,441.3,441.3,2754789
2016-03-11,446.6,452.5,444.9,451.8,2020037
2016-03-14,451.9,458.7,448.8,452.0,1342184
2016-03-15,451.6,454.83,449.4,454.4,1432485
2016-03-16,455.8,461.9,455.05,461.0,2032088
2016-03-17,463.5,474.7,462.18,473.0,3388345
2016-03-18,476.0,479.0,472.5,476.6,4012842
2016-03-21,475.0,478.36,472.1,474.0,1765530
2016-03-22,473.5,474.3,469.8,473.8,1909842
2016-03-23,472.6,478.6,472.6,478.0,1532134
2016-03-24,474.5,477.7,472.16,474.7,1403383
2016-03-29,478.3,479.6,468.1,475.5,1881315
2016-03-30,478.2,488.77,477.6,484.8,2750211
2016-03-31,484.9,485.0,477.2,480.7,2929932
2016-04-01,475.8,476.1,461.1,471.9,3244169
2016-04-04,472.1,476.6,469.7,472.2,1835655
2016-04-05,469.2,474.7,466.1,468.9,2050781
2016-04-06,470.7,477.61,468.8,477.0,2153364
2016-04-07,476.8,478.8,471.1,471.5,1392131
2016-04-08,472.9,479.6,471.0,477.6,1551449
2016-04-11,475.8,477.6,472.86,476.1,1197902
2016-04-12,475.2,479.1,473.1,479.0,1206818
2016-04-13,482.7,487.0,480.7,487.0,1694136
2016-04-14,488.4,491.6,485.9,490.0,1956290
2016-04-15,489.4,491.1,487.0,489.1,1672603
2016-04-18,485.0,489.9,485.0,488.9,1138719
2016-04-19,487.9,491.3,487.2,490.5,1952643
2016-04-20,490.0,490.7,486.8,490.2,1965056
2016-04-21,490.0,490.8,484.33,485.2,1842412
2016-04-22,483.7,485.0,480.0,482.5,2041457
2016-04-25,482.9,484.0,476.0,477.8,1430761
2016-04-26,480.4,486.0,477.7,484.6,2830235
2016-04-27,482.9,487.4,482.8,486.9,1832268
2016-04-28,483.9,490.3,480.0,489.5,1537200
2016-04-29,484.8,488.0,482.8,486.9,1626962
2016-05-03,489.4,491.9,483.1,486.4,1928224
2016-05-04,486.2,488.8,484.2,486.2,1664443
2016-05-05,487.2,489.8,485.42,488.3,979114
2016-05-06,488.7,494.8,485.6,494.8,2544360
2016-05-09,495.7,496.8,492.3,495.7,1625068
2016-05-10,497.4,505.5,496.5,505.0,2638031
2016-05-11,503.5,505.0,495.4,498.1,2106446
2016-05-12,496.1,502.5,494.2,499.1,1502519
2016-05-13,496.5,496.6,489.9,494.3,2057864
2016-05-16,490.5,496.5,489.8,495.3,841405
2016-05-17,496.4,505.0,494.1,502.5,2804029
2016-05-18,500.0,510.5,498.1,508.0,2337539
2016-05-19,501.0,504.5,478.4,488.4,5383421
2016-05-20,489.8,496.9,489.2,491.9,3130992
2016-05-23,500.0,516.0,499.0,513.0,3659559
2016-05-24,517.5,521.5,511.5,521.0,3054625
2016-05-25,530.0,535.0,524.0,526.5,3115778
2016-05-26,525.0,526.42,519.5,522.0,1462989
