Date,Open,High,Low,Close,Volume
2016-01-04,4168.0,4328.0,4168.0,4243.0,430448
2016-01-05,4253.0,4309.0,4233.0,4257.0,250400
2016-01-06,4257.0,4341.0,4232.59,4328.0,373484
2016-01-07,4260.0,4440.0,4260.0,4403.0,893725
2016-01-08,4452.0,4483.0,4385.0,4401.0,472884
2016-01-11,4405.0,4449.0,4350.0,4351.0,323640
2016-01-12,4344.0,4413.0,4176.0,4188.0,562097
2016-01-13,4204.0,4300.0,4185.0,4254.0,531189
2016-01-14,4250.0,4307.0,4203.0,4229.0,461959
2016-01-15,4240.0,4427.0,4194.0,4387.0,774271
2016-01-18,4382.0,4389.0,4324.0,4372.0,367039
2016-01-19,4414.0,4450.0,4266.0,4268.0,500729
2016-01-20,4261.0,4456.88,4261.0,4416.0,591060
2016-01-21,4433.0,4559.0,4426.0,4504.0,705506
2016-01-22,4600.0,4611.82,4493.0,4555.0,598907
2016-01-25,4592.0,4688.0,4573.0,4596.0,490332
2016-01-26,4605.0,4825.0,4605.0,4820.0,647234
2016-01-27,4800.0,4818.0,4739.0,4815.0,495426
2016-01-28,4827.0,4892.0,4777.0,4833.0,638729
2016-01-29,4836.0,4982.0,4806.0,4967.0,525251
2016-02-01,4958.0,5055.0,4956.0,5045.0,323322
2016-02-02,5010.0,5080.52,4997.24,5060.0,406759
2016-02-03,5050.0,5110.0,4988.0,5110.0,427114
2016-02-04,5200.0,5290.0,5095.0,5270.0,534833
2016-02-05,5285.0,5320.0,5130.0,5300.0,614846
2016-02-08,5425.0,6000.0,5410.0,6000.0,760569
2016-02-09,5800.0,6095.0,5780.0,5905.0,917368
2016-02-10,5825.0,5880.0,5635.0,5700.0,813850
2016-02-11,5870.0,6145.0,5835.0,6130.0,843667
2016-02-12,6050.0,6190.0,5990.0,6155.0,741903
2016-02-15,6135.0,6135.0,5870.5,6030.0,450632
2016-02-16,5995.0,6010.0,5741.8,6005.0,719998
2016-02-17,5960.0,6120.0,5935.0,6120.0,571487
2016-02-18,6100.0,6210.0,5995.0,6200.0,600151
2016-02-19,6230.0,6436.6,6180.0,6355.0,750051
2016-02-22,6310.0,6440.0,6230.0,6365.0,434625
2016-02-23,6440.0,6535.0,6350.0,6520.0,578269
2016-02-24,6490.0,6720.0,6480.0,6650.0,694892
2016-02-25,6650.0,6700.0,6400.13,6455.0,594043
2016-02-26,6475.0,6505.0,6380.0,6405.0,605362
2016-02-29,6430.0,6660.0,6430.0,6485.0,588076
2016-03-01,6410.0,6550.0,6270.0,6325.0,529252
2016-03-02,6380.0,6410.0,6150.7,6255.0,690394
2016-03-03,6300.0,6385.0,6290.0,6335.0,430478
2016-03-04,6395.0,6635.0,6370.0,6615.0,663393
2016-03-07,6470.0,6500.0,6275.0,6415.0,671895
2016-03-08,6485.0,6485.0,6265.0,6295.0,464903
2016-03-09,6280.0,6315.0,6120.0,6290.0,469520
2016-03-10,6290.0,6480.0,6185.0,6360.0,588941
2016-03-11,6445.0,6450.0,6270.0,6325.0,401198
2016-03-14,6310.0,6370.0,6175.0,6200.0,416221
