Date,Open,High,Low,Close,Volume
2016-01-04,4080.0,4080.0,4041.0,4055.0,1879720
2016-01-05,4065.5,4075.5,4049.0,4070.0,1084226
2016-01-06,4060.0,4067.0,4054.0,4067.0,1408052
2016-01-07,4030.0,4056.5,4028.0,4041.0,2131627
2016-01-08,4040.5,4063.0,4035.0,4035.0,2000604
2016-01-11,4030.0,4062.0,4020.0,4050.0,1374250
2016-01-12,4053.5,4062.0,4035.0,4058.5,1568234
2016-01-13,4067.0,4075.5,4042.5,4074.5,1946915
2016-01-14,4050.5,4079.08,4044.0,4064.5,2756949
2016-01-15,4060.0,4095.5,4060.0,4082.0,2340153
2016-01-18,4071.0,4132.0,4071.0,4123.0,1299106
2016-01-19,4150.0,4151.0,4129.0,4138.0,1462452
2016-01-20,4106.0,4143.5,4100.0,4123.5,3126339
2016-01-21,4123.0,4153.0,4108.83,4149.0,2197635
2016-01-22,4165.0,4189.5,4115.61,4189.5,2187509
2016-01-25,4199.0,4205.0,4169.5,4189.5,1940402
2016-01-26,4171.5,4202.5,4163.5,4192.0,1878187
2016-01-27,4195.0,4206.5,4177.0,4199.0,2414679
2016-01-28,4186.5,4201.0,4169.0,4170.0,2470677
2016-01-29,4165.0,4202.06,4141.68,4182.5,2900402
2016-02-01,4180.0,4194.5,4152.5,4194.5,2048362
2016-02-02,4195.0,4198.0,4173.5,4198.0,1265761
2016-02-03,4186.5,4198.0,4170.5,4172.0,1741941
2016-02-04,4188.0,4196.0,4167.0,4177.5,1529642
2016-02-05,4176.5,4178.5,4135.0,4135.0,2014949
2016-02-08,4145.5,4160.5,4121.0,4130.0,1781106
2016-02-09,4150.0,4150.0,4111.5,4122.0,2972826
2016-02-10,4126.5,4154.5,4120.0,4150.0,2469515
2016-02-11,4130.0,4146.5,4121.5,4133.0,2949528
2016-02-12,4130.0,4149.5,4120.0,4148.0,2537016
2016-02-15,4170.0,4172.0,4136.0,4138.0,1180680
2016-02-16,4147.0,4175.0,4105.84,4175.0,1264079
2016-02-17,4180.0,4190.0,4159.5,4175.0,1699597
2016-02-18,4175.0,4178.5,4160.5,4175.5,1200316
2016-02-19,4163.5,4180.0,4161.0,4175.5,1121096
2016-02-22,4190.0,4190.0,4164.5,4177.5,915432
2016-02-23,4175.0,4181.5,4167.0,4170.5,1552738
2016-02-24,4169.5,4173.0,4163.0,4166.5,2111713
2016-02-25,4170.0,4184.5,4153.5,4176.0,2415841
2016-02-26,4190.0,4190.0,4160.0,4170.0,1275799
2016-02-29,4160.0,4185.0,4156.0,4178.0,1930253
2016-03-01,4171.0,4212.5,4168.92,4208.0,2564740
2016-03-02,4215.0,4226.5,4208.5,4215.0,2663589
2016-03-03,4215.0,4223.5,4201.5,4211.5,2137705
2016-03-04,4211.0,4225.0,4205.0,4225.0,1715030
2016-03-07,4223.0,4225.0,4211.5,4215.5,1582406
2016-03-08,4212.0,4226.5,4212.0,4223.5,1716574
2016-03-09,4230.0,4230.0,4215.0,4220.5,1545240
2016-03-10,4220.0,4230.5,4218.0,4219.0,2459361
2016-03-11,4240.0,4240.0,4220.0,4220.0,1432366
2016-03-14,4217.0,4236.0,4217.0,4230.0,850198
2016-03-15,4222.0,4240.5,4222.0,4239.0,1112887
2016-03-16,4240.0,4240.24,4230.5,4240.0,1335882
2016-03-17,4249.0,4250.0,4229.5,4242.0,1800506
2016-03-18,4243.0,4245.5,4225.5,4232.5,2921747
2016-03-21,4237.0,4240.0,4228.5,4234.5,1119766
2016-03-22,4247.5,4264.0,4241.5,4253.0,2079580
2016-03-23,4260.5,4265.5,4251.5,4260.0,1247606
2016-03-24,4252.0,4260.0,4248.0,4251.0,1451251
2016-03-29,4258.5,4259.5,4245.0,4250.0,1422870
2016-03-30,4265.0,4265.0,4240.0,4259.0,2083800
2016-03-31,4259.0,4262.5,4251.0,4256.0,1701961
2016-04-01,4250.0,4256.0,4242.58,4243.0,2126727
2016-04-04,4235.0,4251.5,4225.0,4241.5,1537539
2016-04-05,4230.0,4234.0,4197.65,4220.0,2397142
2016-04-06,4223.5,4238.07,4210.0,4223.0,2225157
2016-04-07,4223.0,4230.5,4210.0,4226.5,2395767
2016-04-08,4234.5,4235.0,4211.0,4217.0,1539290
2016-04-11,4210.0,4217.5,4210.0,4215.0,1397624
2016-04-12,4213.0,4244.5,4205.5,4239.5,1382975
2016-04-13,4250.0,4250.5,4220.0,4225.5,2023182
2016-04-14,4230.0,4233.5,4215.0,4219.0,2089352
2016-04-15,4265.0,4286.0,4255.0,4286.0,2591717
2016-04-18,4272.0,4282.5,4270.0,4271.0,1302035
2016-04-19,4272.0,4278.41,4267.0,4275.0,1874112
2016-04-20,4256.5,4274.0,4251.0,4259.5,2644458
2016-04-21,4253.0,4260.88,4245.0,4259.0,1904108
2016-04-22,4245.5,4256.0,4230.0,4236.0,2332266
2016-04-25,4240.0,4240.75,4216.5,4217.0,1778173
2016-04-26,4205.0,4208.0,4195.5,4196.0,3090269
2016-04-27,4196.0,4203.08,4187.5,4192.5,1543196
2016-04-28,4196.0,4206.0,4182.0,4205.0,1681447
2016-04-29,4206.0,4219.0,4185.0,4185.0,1965978
2016-05-03,4190.0,4203.5,4161.0,4195.0,2881124
2016-05-04,4185.0,4191.0,4176.5,4187.5,1953291
2016-05-05,4200.0,4208.5,4187.5,4200.0,2030328
2016-05-06,4196.5,4210.5,4187.0,4204.0,1499424
2016-05-09,4224.5,4225.0,4200.0,4224.5,1093652
2016-05-10,4235.5,4590.8,4204.5,4217.5,1762883
2016-05-11,4210.0,4231.5,4210.0,4230.0,1252727
2016-05-12,4225.0,4240.0,4217.0,4228.5,1566450
2016-05-13,4222.0,4227.5,4212.5,4218.0,2276898
2016-05-16,4215.0,4223.5,4200.0,4217.0,1355106
2016-05-17,4219.5,4226.0,4207.5,4210.0,1602837
2016-05-18,4220.0,4230.08,4209.0,4213.5,1744870
2016-05-19,4200.0,4218.0,4200.0,4210.0,1580331
2016-05-20,4210.0,4250.0,4168.49,4250.0,1966321
2016-05-23,4250.0,4270.0,4240.0,4270.0,1360410
2016-05-24,4260.0,4276.5,4260.0,4262.5,1531594
2016-05-25,4279.0,4280.0,4260.5,4266.0,1485688
2016-05-26,4260.0,4281.0,4260.0,4277.0,1386759
2016-05-27,4277.0,4289.16,4270.5,4283.5,1033036
2016-05-31,4253.0,4295.5,4253.0,4294.5,2828458
2016-06-01,4297.0,4320.0,4286.0,4320.0,2092025
2016-06-02,4315.0,4330.0,4315.0,4320.0,1762613
2016-06-03,4330.0,4330.0,4309.5,4313.0,1580890
2016-06-06,4319.5,4326.0,4313.5,4315.0,1348351
2016-06-07,4316.5,4324.5,4303.0,4303.0,1697401
2016-06-08,4302.0,4310.0,4293.0,4306.0,1853204
2016-06-09,4300.0,4303.0,4294.5,4295.5,1374195
2016-06-10,4295.0,4296.0,4274.0,4289.5,1657419
2016-06-13,4282.0,4293.0,4269.62,4284.0,1812584
2016-06-14,4270.0,4279.0,4249.0,4259.0,2837308
2016-06-15,4264.0,4286.0,4258.0,4269.0,2008837
2016-06-16,4260.0,4279.5,4252.5,4273.5,1418067
2016-06-17,4281.5,4287.19,4255.0,4255.5,4131538
