Date,Open,High,Low,Close,Volume
2016-01-04,2953.0,2958.0,2851.0,2865.0,290944
2016-01-05,2903.0,2908.0,2860.0,2877.0,214290
2016-01-06,2859.0,2871.0,2790.0,2817.0,314699
2016-01-07,2762.0,2767.0,2689.0,2719.0,332175
2016-01-08,2720.0,2767.0,2681.0,2681.0,190728
2016-01-11,2674.0,2687.0,2647.0,2647.0,255495
2016-01-12,2663.0,2702.0,2639.0,2683.0,269032
2016-01-13,2718.0,2730.0,2678.0,2682.0,241649
2016-01-14,2646.0,2646.0,2561.0,2593.0,319386
2016-01-15,2582.0,2606.0,2512.0,2547.0,479634
2016-01-18,2545.0,2573.0,2495.0,2523.0,294213
2016-01-19,2576.0,2608.0,2560.0,2590.0,263345
2016-01-20,2538.0,2547.0,2490.0,2511.0,388026
2016-01-21,2539.0,2596.0,2525.0,2589.0,555222
2016-01-22,2642.0,2674.0,2608.0,2663.0,317578
2016-01-25,2674.0,2675.0,2631.0,2641.0,253625
2016-01-26,2598.0,2662.0,2579.0,2650.0,315150
2016-01-27,2661.0,2684.72,2644.0,2677.0,275086
2016-01-28,2658.0,2707.0,2640.0,2650.0,271251
2016-01-29,2689.0,2724.0,2668.0,2702.0,349289
2016-02-01,2729.0,2738.0,2677.0,2700.0,238156
2016-02-02,2685.0,2690.0,2610.0,2621.0,319738
2016-02-03,2615.0,2621.0,2506.0,2541.0,437247
2016-02-04,2577.0,2604.0,2536.0,2593.0,329842
2016-02-05,2593.0,2614.0,2544.0,2544.0,296188
2016-02-08,2567.0,2567.0,2394.0,2405.0,461900
2016-02-09,2403.0,2427.0,2320.0,2366.0,523669
2016-02-10,2380.0,2484.0,2368.0,2441.0,318105
2016-02-11,2403.0,2408.0,2322.0,2342.0,318123
2016-02-12,2368.0,2397.0,2354.0,2383.0,460579
2016-02-15,2424.0,2466.0,2423.0,2423.0,377689
2016-02-16,2436.0,2444.0,2380.0,2389.0,339709
2016-02-17,2393.0,2498.0,2374.0,2488.0,240381
2016-02-18,2496.0,2529.0,2473.0,2492.0,265857
2016-02-19,2487.0,2494.0,2421.0,2460.0,344400
2016-02-22,2465.0,2516.0,2459.0,2499.0,215250
2016-02-23,2525.0,2531.0,2483.0,2505.0,315814
2016-02-24,2492.0,2498.0,2463.0,2473.0,445094
2016-02-25,2517.0,2561.0,2497.0,2557.0,370054
2016-02-26,2581.0,2641.0,2581.0,2640.0,379170
2016-02-29,2597.0,2616.0,2568.0,2616.0,312848
2016-03-01,2603.0,2687.0,2600.0,2687.0,308764
2016-03-02,2685.0,2767.0,2685.0,2718.0,348695
2016-03-03,2781.0,2836.0,2700.0,2738.0,496121
2016-03-04,2712.0,2718.0,2620.0,2624.0,601778
2016-03-07,2626.0,2654.0,2551.0,2651.0,660523
2016-03-08,2635.0,2657.0,2611.0,2639.0,394912
2016-03-09,2642.0,2702.0,2624.0,2685.0,472174
2016-03-10,2692.0,2763.0,2674.0,2699.0,709722
2016-03-11,2745.0,2748.0,2680.0,2698.0,400488
2016-03-14,2702.0,2720.0,2669.0,2703.0,250140
2016-03-15,2688.0,2721.0,2679.0,2709.0,255784
2016-03-16,2712.0,2727.0,2685.0,2707.0,276757
2016-03-17,2719.0,2739.0,2679.0,2716.0,297606
2016-03-18,2728.0,2774.0,2711.0,2750.0,255400
2016-03-21,2736.0,2756.0,2709.0,2725.0,262407
2016-03-22,2716.0,2726.0,2678.0,2726.0,326056
2016-03-23,2720.0,2741.0,2702.0,2715.0,281353
