Date,Open,High,Low,Close,Volume
2016-01-04,4600.0,4600.0,4428.0,4453.0,1297760
2016-01-05,4499.0,4546.5,4497.0,4530.0,942982
2016-01-06,4528.0,4538.0,4415.0,4441.0,820316
2016-01-07,4350.0,4395.0,4287.94,4360.0,1274933
2016-01-08,4355.0,4400.0,4277.0,4277.0,1416140
2016-01-11,4265.0,4422.0,3922.15,3925.0,5029626
2016-01-12,3869.0,4162.0,3855.0,4114.0,5362499
2016-01-13,4121.0,4303.0,4065.2,4269.0,2762866
2016-01-14,4190.0,4275.76,4098.0,4130.0,1941658
2016-01-15,4233.0,4260.0,4104.0,4179.0,2446516
2016-01-18,4150.0,4293.0,4135.0,4250.0,1774802
2016-01-19,4307.0,4330.0,4196.22,4223.0,1585494
2016-01-20,4129.0,4171.0,4067.0,4120.0,1988560
2016-01-21,4170.0,5468.65,4043.23,4126.0,1543283
2016-01-22,4187.0,4271.0,4142.0,4228.0,1881198
2016-01-25,4266.0,4290.0,4215.0,4247.0,716032
2016-01-26,4180.0,4226.0,4113.0,4123.0,1853668
2016-01-27,4030.0,4104.0,3995.0,4050.0,2190516
2016-01-28,3975.0,4050.0,3786.0,3879.0,3403024
2016-01-29,3921.0,3974.0,3843.52,3910.0,2245237
2016-02-01,3956.0,3960.0,3880.0,3922.0,1549742
2016-02-02,3910.0,3930.0,3868.0,3885.0,1407074
2016-02-03,3860.0,3906.6,3678.0,3717.0,1875385
2016-02-04,3741.0,3796.0,3694.0,3733.0,2099025
2016-02-05,3745.0,3787.0,3659.0,3671.0,1643026
2016-02-08,3626.0,3658.0,3466.0,3498.0,2612293
2016-02-09,3480.0,3558.0,3440.79,3480.0,2052391
2016-02-10,3509.0,3633.0,3469.0,3568.0,1975917
2016-02-11,3529.0,3737.0,3423.0,3507.0,3064188
2016-02-12,3525.0,3639.0,3476.0,3639.0,2715250
2016-02-15,3725.0,3839.0,3635.5,3797.0,1303780
2016-02-16,3816.0,3837.0,3717.0,3740.0,1371127
2016-02-17,3784.0,3949.0,3758.0,3942.0,1921080
2016-02-18,3969.0,3980.0,3846.0,3853.0,1632811
2016-02-19,3813.0,3826.0,3757.0,3819.0,1479478
2016-02-22,3861.0,3926.0,3861.0,3886.0,699392
2016-02-23,3854.0,3874.0,3800.0,3810.0,958429
2016-02-24,3835.0,3891.0,3750.0,3789.0,1143102
2016-02-26,3912.0,3930.0,3864.28,3897.0,856770
2016-02-29,3881.0,3887.0,3768.0,3788.0,1307066
2016-03-01,3759.0,3800.0,3725.0,3778.0,1243240
2016-03-02,3846.0,3925.09,3831.0,3872.0,1755027
2016-03-03,3872.0,3872.0,3743.0,3755.0,1504789
2016-03-04,3769.0,3806.0,3739.0,3782.0,1394681
