Date,Open,High,Low,Close,Volume
2016-01-04,200.62,201.48,194.89,198.32,1402631
2016-01-05,199.83,200.48,197.77,199.35,1210131
2016-01-06,195.07,198.63,193.52,194.9,1210715
2016-01-07,189.96,192.21,186.5,186.73,1090363
2016-01-08,191.34,191.57,185.76,186.0,1266748
2016-01-11,180.43,181.28,166.66,169.37,7949642
2016-01-12,178.56,181.71,173.96,180.9,6801574
2016-01-13,184.34,185.71,178.9,179.81,4373530
2016-01-14,180.29,181.48,177.07,180.31,1956957
2016-01-15,179.04,180.47,175.41,177.58,2278399
2016-01-19,182.67,182.67,177.29,179.56,2722354
2016-01-20,176.38,178.61,171.41,177.12,2117446
2016-01-21,176.65,177.24,173.02,174.94,1835491
2016-01-22,180.48,183.5,179.83,182.27,1653817
2016-01-25,181.6,183.37,180.48,180.81,957646
2016-01-26,179.29,179.62,175.47,175.88,1569506
2016-01-27,173.8,175.13,169.3,170.2,3120431
2016-01-28,170.67,170.98,163.16,167.15,4427370
2016-01-29,168.28,169.44,164.85,168.3,1820518
2016-02-01,168.16,170.26,166.14,169.32,2076025
2016-02-02,169.01,169.19,165.24,167.7,1137064
2016-02-03,168.4,168.54,159.36,162.81,2627964
2016-02-04,163.5,166.27,162.13,163.34,3686242
2016-02-05,162.87,163.18,156.42,157.32,2236388
2016-02-08,155.1,155.74,148.49,150.4,2522362
2016-02-09,149.55,152.28,147.86,151.22,2236298
2016-02-10,153.84,157.67,152.73,153.93,2913902
2016-02-11,158.73,158.73,147.6,151.0,2537695
2016-02-12,154.12,160.09,153.66,159.9,3037314
2016-02-16,160.3,162.92,159.29,161.32,1798178
2016-02-17,165.0,171.36,164.74,169.35,2892006
2016-02-18,167.42,167.83,162.61,163.33,1423029
2016-02-19,161.03,165.31,160.84,164.22,1166683
2016-02-22,164.18,166.1,162.76,163.9,1437078
2016-02-23,162.52,163.52,160.12,162.0,2002248
2016-02-24,158.88,160.8,156.85,160.49,1193667
2016-02-25,161.87,163.03,160.04,162.77,782631
2016-02-26,162.98,163.34,160.35,161.0,1012564
2016-02-29,160.44,160.59,155.33,156.11,1449875
2016-03-01,157.92,160.99,155.63,160.53,1679633
2016-03-02,162.88,164.39,160.89,163.92,2227235
2016-03-03,162.03,162.41,158.1,160.19,1410640
2016-03-04,159.32,161.47,159.25,160.39,1574902
2016-03-07,159.68,163.2,158.52,162.84,2490550
2016-03-08,161.79,162.19,158.64,158.92,1615424
2016-03-09,160.16,160.35,157.78,159.08,1370032
2016-03-10,162.95,164.35,159.28,162.0,4120544
2016-03-11,163.99,164.07,159.46,161.88,2496566
2016-03-14,161.7,164.78,161.26,163.36,2729661
2016-03-15,162.11,162.32,154.64,155.28,2723153
2016-03-16,153.97,154.98,150.06,152.4,4496336
2016-03-17,154.58,155.07,152.2,153.92,4745323
2016-03-18,156.37,161.48,155.67,160.97,4585278
2016-03-21,163.85,167.37,163.81,166.28,3815927
2016-03-22,166.03,168.38,165.94,168.06,1864116
2016-03-23,166.7,167.02,164.7,165.35,1635617
2016-03-24,164.94,166.69,162.55,164.8,1812161
