Date,Open,High,Low,Close,Volume
2016-01-04,4.03,4.04,3.93,3.95,32750880
2016-01-05,3.97,3.99,3.9,3.9,35008346
2016-01-06,3.9,3.94,3.86,3.89,32568350
2016-01-07,3.83,3.88,3.82,3.84,33252278
2016-01-08,3.84,3.87,3.79,3.81,29613072
2016-01-11,3.83,3.84,3.76,3.82,34551969
2016-01-12,3.85,3.86,3.76,3.79,28951495
2016-01-13,3.8,3.82,3.67,3.71,33561430
2016-01-14,3.71,3.77,3.63,3.72,38223320
2016-01-15,3.62,3.67,3.58,3.63,51713607
2016-01-19,3.65,3.68,3.6,3.66,31669791
2016-01-20,3.6,3.63,3.45,3.6,54389666
2016-01-21,3.61,3.72,3.58,3.66,48617701
2016-01-22,3.72,3.76,3.71,3.73,23075902
2016-01-25,3.72,3.73,3.64,3.65,32358845
2016-01-26,3.68,3.73,3.65,3.73,24236288
2016-01-27,3.7,3.75,3.63,3.63,28454563
2016-01-28,3.66,3.69,3.59,3.64,31174980
2016-01-29,3.67,3.73,3.66,3.7,29102697
2016-02-01,3.69,3.74,3.64,3.72,35406114
2016-02-02,3.64,3.66,3.56,3.57,63145715
2016-02-03,3.59,3.6,3.47,3.5,56171933
2016-02-04,3.49,3.56,3.47,3.51,31772898
2016-02-05,3.51,3.52,3.4,3.42,51822562
2016-02-08,3.36,3.39,3.29,3.36,47574390
2016-02-09,3.34,3.4,3.31,3.35,36680571
2016-02-10,3.39,3.45,3.36,3.4,37083690
2016-02-11,3.34,3.42,3.32,3.38,35207564
2016-02-12,3.43,3.46,3.38,3.46,31242795
2016-02-16,3.49,3.5,3.42,3.49,35472211
2016-02-17,3.51,3.59,3.5,3.56,35871736
2016-02-18,3.57,3.59,3.54,3.58,31714092
2016-02-19,3.55,3.64,3.54,3.62,38437527
2016-02-22,3.66,3.72,3.65,3.7,38835677
2016-02-23,3.67,3.7,3.6,3.61,36093589
2016-02-24,3.57,3.64,3.54,3.6,41069505
2016-02-25,3.61,3.71,3.61,3.69,31077006
2016-02-26,3.71,3.74,3.67,3.69,41422384
2016-02-29,3.68,3.75,3.68,3.72,51660226
2016-03-01,3.74,3.78,3.72,3.76,47569107
2016-03-02,3.78,3.82,3.74,3.82,40087901
2016-03-03,3.83,3.9,3.82,3.87,27899965
2016-03-04,3.89,3.94,3.87,3.91,34816633
2016-03-07,3.88,3.97,3.86,3.9,50987859
2016-03-08,3.87,3.92,3.86,3.88,36426250
2016-03-09,3.9,3.97,3.89,3.95,29298442
2016-03-10,3.96,3.97,3.83,3.88,47147462
2016-03-11,3.9,3.93,3.88,3.91,53603579
2016-03-14,3.89,3.94,3.87,3.92,33629285
2016-03-15,3.89,3.92,3.86,3.9,21278029
2016-03-16,3.87,3.95,3.86,3.95,29691421
2016-03-17,3.93,3.97,3.92,3.94,23687148
2016-03-18,3.96,3.97,3.91,3.95,32072726
