Date,Open,High,Low,Close,Volume
2016-01-04,1100.0,1100.0,1082.0,1087.0,2510317
2016-01-05,1096.0,1102.0,1085.0,1098.0,1932623
2016-01-06,1098.0,1105.0,1080.0,1097.0,3087013
2016-01-07,1078.0,1089.0,1066.0,1084.0,2765326
2016-01-08,1086.0,1100.6,1084.0,1088.0,2194491
2016-01-11,1089.0,1096.0,1078.0,1086.0,2602899
2016-01-12,1092.0,1118.0,1086.91,1103.0,2602498
2016-01-13,1110.0,1112.32,1082.0,1083.0,2711113
2016-01-14,1072.0,1075.0,1052.44,1057.0,3841910
2016-01-15,1056.0,1061.0,1034.0,1047.0,3759464
2016-01-18,1043.0,1047.0,1031.0,1032.0,2501199
2016-01-19,1044.0,1049.0,1035.0,1049.0,3204143
2016-01-20,1035.0,1036.0,1013.5,1022.0,3676289
2016-01-21,1021.0,1030.0,999.0,1012.0,4845997
2016-01-22,1023.0,1051.0,1022.0,1048.0,2994309
2016-01-25,1050.0,1055.0,1042.0,1050.0,2488427
2016-01-26,1039.0,1050.0,1024.0,1046.0,2401988
2016-01-27,1049.0,1062.0,1043.0,1062.0,2646699
2016-01-28,1055.0,1059.0,1034.0,1041.0,2560821
2016-01-29,1065.0,1082.0,1047.0,1082.0,3992906
2016-02-01,1134.0,1134.0,1088.0,1097.0,4359356
2016-02-02,1094.0,1097.0,1071.0,1077.0,2829122
2016-02-03,1078.0,1082.0,1059.0,1062.0,3315635
2016-02-04,1072.0,1080.0,1057.0,1066.0,3337066
2016-02-05,1062.0,1070.0,1027.0,1028.0,3075011
2016-02-08,1028.0,1032.0,973.0,978.0,4705946
2016-02-09,984.5,992.78,959.0,980.0,3313932
2016-02-10,985.0,991.5,969.0,976.5,3024200
2016-02-11,972.0,980.0,953.5,959.55,5820564
2016-02-12,976.5,980.0,970.0,977.5,3328303
2016-02-15,987.0,1003.0,982.0,995.0,1940878
2016-02-16,997.0,1008.74,989.5,1006.0,2285335
2016-02-17,1010.0,1029.0,1006.0,1024.0,2771590
2016-02-18,1025.0,1033.0,1013.0,1020.0,2201683
2016-02-19,1019.0,1026.0,1013.0,1018.0,2049494
2016-02-22,1025.0,1032.0,1017.0,1022.0,1781308
2016-02-23,1016.0,1029.0,1014.0,1017.0,1587946
2016-02-24,1014.0,1017.0,1000.0,1006.0,2042891
2016-02-25,1020.0,1026.0,1009.0,1026.0,2749899
2016-02-26,1035.0,1040.0,1027.0,1034.0,2797555
2016-02-29,1050.0,1051.0,1034.0,1043.0,3370546
2016-03-01,1053.0,1062.0,1038.1,1056.0,3283097
2016-03-02,1063.0,1069.0,1039.71,1042.0,3009121
2016-03-03,1042.0,1045.5,1030.0,1030.0,3014836
2016-03-04,1031.0,1037.0,1022.0,1023.0,2865506
2016-03-07,1020.0,1023.0,1009.0,1014.0,2520610
2016-03-08,1009.0,1011.0,996.5,1007.0,2072843
2016-03-09,1010.0,1013.0,1001.0,1008.0,2351453
2016-03-10,1009.0,1009.0,984.4,984.5,3785097
2016-03-11,998.0,1017.0,993.5,1007.0,2818829
2016-03-14,1009.0,1027.0,1009.0,1017.0,2168825
2016-03-15,1015.0,1024.0,1014.0,1021.0,2246441
2016-03-16,1023.0,1025.0,1017.32,1023.0,1965214
2016-03-17,1029.0,1033.0,1009.0,1013.0,2632362
2016-03-18,1010.0,1019.0,1006.0,1012.0,2550030
2016-03-21,1013.0,1024.0,1009.0,1016.0,1573613
2016-03-22,1014.0,1017.0,1002.0,1013.0,2801928
2016-03-23,1036.0,1043.0,1023.0,1037.0,3158231
2016-03-24,1022.0,1028.0,1015.0,1016.0,2271509
2016-03-29,1023.0,1035.0,1020.0,1028.0,1495322
2016-03-30,1032.0,1037.0,1020.0,1034.0,1835770
2016-03-31,1034.0,1036.53,1019.0,1024.0,3072337
2016-04-01,1012.0,1013.7,994.0,1011.0,2898178
2016-04-04,1010.0,1014.0,1002.0,1012.0,2181787
2016-04-05,1008.0,1008.0,995.84,997.5,2231422
2016-04-06,998.5,1011.0,993.0,1009.0,1610398
2016-04-07,1012.0,1022.0,1011.0,1019.0,2352249
2016-04-08,1022.0,1029.0,1014.0,1018.0,2128359
2016-04-11,1016.0,1020.0,1008.0,1011.0,1999701
2016-04-12,1013.0,1017.3,1001.0,1010.0,2332961
2016-04-13,1018.0,1029.0,1013.0,1023.0,2245206
2016-04-14,1026.0,1030.0,1005.0,1008.0,3223976
2016-04-15,1008.0,1011.0,997.0,999.5,2952455
2016-04-18,994.0,1007.0,994.0,1002.0,2069100
2016-04-19,1001.0,1030.0,1000.0,1020.0,2742270
2016-04-20,1020.0,1034.0,1011.36,1028.0,2922159
2016-04-21,1030.0,1030.0,967.5,985.0,8564236
2016-04-22,989.5,990.0,962.98,963.0,4127186
2016-04-25,964.0,970.5,956.0,963.5,2745633
2016-04-26,968.5,979.0,964.0,965.5,2550108
2016-04-27,960.5,963.78,949.5,953.0,2980075
2016-04-28,942.5,950.5,938.5,944.0,3709193
2016-04-29,936.5,942.0,930.0,938.5,3382037
2016-05-03,945.5,945.5,930.5,936.5,2780646
2016-05-04,940.0,943.5,931.0,936.5,3437163
2016-05-05,940.0,940.0,929.84,933.5,1439273
2016-05-06,933.0,940.0,930.0,937.5,2162522
2016-05-09,944.0,953.5,939.22,945.5,1692491
2016-05-10,948.5,951.5,938.5,941.5,1531665
2016-05-11,937.5,939.5,928.0,930.0,2179229
2016-05-12,924.0,939.0,917.97,926.0,1993471
2016-05-13,922.5,933.0,919.0,933.0,1905464
2016-05-16,927.5,939.0,926.5,931.0,1724932
2016-05-17,932.0,943.5,931.5,933.5,2412479
2016-05-18,929.5,936.5,923.5,927.5,1704547
2016-05-19,921.5,930.0,919.83,921.0,1745467
2016-05-20,928.0,943.0,928.0,943.0,1996595
2016-05-23,944.5,947.1,937.0,946.0,2157678
