Date,Open,High,Low,Close,Volume
2016-01-04,926.0,938.0,914.0,922.0,1396684
2016-01-05,930.0,933.5,917.0,922.5,1152490
2016-01-06,917.0,921.8,900.13,907.0,1003363
2016-01-07,886.5,889.5,874.0,888.0,1471160
2016-01-08,890.0,910.0,887.5,896.5,1235935
2016-01-11,895.5,906.0,887.94,888.0,1030754
2016-01-12,892.5,908.5,883.5,890.0,1051809
2016-01-13,899.5,910.0,891.5,892.5,1063312
2016-01-14,884.0,923.0,878.0,920.0,1921936
2016-01-15,921.0,922.0,892.82,896.0,1568576
2016-01-18,897.5,907.0,881.0,882.0,1164040
2016-01-19,893.5,904.0,885.5,889.5,780786
2016-01-20,871.5,872.0,858.0,863.5,1106176
2016-01-21,869.0,886.0,864.0,881.5,1044393
2016-01-22,899.0,910.5,892.5,908.0,1498357
2016-01-25,916.0,916.0,885.0,891.5,794970
2016-01-26,883.0,905.5,874.0,894.5,1880737
2016-01-27,895.0,916.5,884.0,909.5,1714413
2016-01-28,903.0,929.0,900.0,923.0,1356533
2016-01-29,931.5,943.5,924.5,943.5,1428011
2016-02-01,946.0,948.5,924.5,939.0,1198572
2016-02-02,931.0,931.0,902.0,907.0,1724116
2016-02-03,910.0,913.5,872.5,886.5,1239308
2016-02-04,903.5,921.5,886.0,917.0,1368923
2016-02-05,915.0,952.0,913.5,950.04,1673068
2016-02-08,941.5,945.0,905.5,907.5,1212157
2016-02-09,912.5,917.5,885.5,898.5,920816
2016-02-10,910.0,923.0,892.5,914.5,1038815
2016-02-11,906.5,906.5,864.0,880.0,1549328
2016-02-12,890.0,917.0,874.42,916.0,1090763
2016-02-15,931.5,949.5,928.5,944.0,803757
2016-02-16,946.0,953.5,934.5,945.5,1258792
2016-02-17,950.5,986.0,947.0,982.5,1099749
2016-02-18,990.5,990.5,973.5,980.0,731884
2016-02-19,982.5,986.0,962.5,973.0,858843
2016-02-22,986.0,989.5,978.0,984.5,420911
2016-02-23,976.0,987.5,970.0,973.0,746533
2016-02-24,973.0,973.0,944.5,949.0,1050162
2016-02-25,954.5,981.5,954.5,973.0,941298
2016-02-26,976.0,1004.0,976.0,999.5,985628
2016-02-29,991.0,1008.0,989.5,1002.0,1120065
2016-03-01,1002.0,1015.0,1001.0,1005.0,1303568
2016-03-02,1010.0,1013.0,991.0,998.0,985145
2016-03-03,998.0,1029.0,997.0,1029.0,1465122
2016-03-04,1037.0,1061.0,1032.0,1060.0,1389911
2016-03-07,1058.0,1066.0,1040.0,1047.0,1116464
2016-03-08,1038.0,1059.0,1032.0,1040.0,1041646
2016-03-09,1046.0,1063.0,1041.74,1043.0,1507840
2016-03-10,1045.0,1065.0,1027.0,1027.0,1236280
2016-03-11,1043.0,1064.0,1039.45,1057.0,1015766
2016-03-14,1059.0,1088.0,1059.0,1079.0,1048489
2016-03-15,1078.0,1078.0,1062.0,1077.0,1063277
2016-03-16,1062.0,1091.06,1024.0,1050.0,2252401
2016-03-17,1058.0,1076.0,1052.0,1076.0,1535425
2016-03-18,1080.0,1122.0,1078.0,1106.0,9969248
2016-03-21,1110.0,1127.0,1097.0,1121.0,1632130
2016-03-22,1114.0,1123.0,1089.0,1112.0,1430004
2016-03-23,1112.0,1117.0,1084.5,1094.0,1477558
2016-03-24,1078.0,1081.0,1060.0,1066.0,975691
2016-03-29,1074.0,1080.25,1058.0,1068.0,1287868
2016-03-30,1074.0,1096.0,1072.0,1087.0,866969
2016-03-31,1084.0,1084.0,1070.0,1076.0,1273292
2016-04-01,1067.0,1072.0,1052.2,1062.0,802239
2016-04-04,1063.0,1073.0,1057.0,1066.0,614367
2016-04-05,1060.0,1061.0,1042.0,1051.0,819478
2016-04-06,1047.0,1060.0,1046.0,1060.0,1116501
2016-04-07,1062.0,1074.0,1053.1,1056.0,734759
2016-04-08,1056.0,1088.0,1056.0,1082.0,906761
2016-04-11,1082.0,1105.0,1078.0,1104.0,1353881
2016-04-12,1104.0,1104.0,1090.63,1099.0,835050
2016-04-13,1108.0,1119.1,1106.0,1113.0,706309
2016-04-14,1118.0,1118.0,1099.0,1107.0,654845
2016-04-15,1109.0,1109.0,1092.0,1093.0,950842
2016-04-18,1088.0,1094.0,1075.0,1091.0,555823
2016-04-19,1091.0,1121.0,1091.0,1117.0,813018
2016-04-20,1112.0,1118.0,1106.0,1108.0,680823
2016-04-21,1149.0,1171.0,1140.0,1152.0,2079179
2016-04-22,1149.0,1158.64,1134.0,1152.0,1204799
2016-04-25,1155.0,1155.0,1129.0,1132.0,1223356
2016-04-26,1150.0,1150.0,1128.0,1138.0,1154570
2016-04-27,1136.0,1143.0,1133.0,1140.0,748976
2016-04-28,1145.0,1145.0,1123.0,1137.0,772686
2016-04-29,1134.0,1144.0,1107.0,1108.0,1311457
2016-05-03,1114.0,1115.0,1089.0,1089.0,1010796
