Date,Open,High,Low,Close,Volume
2016-01-04,573.0,576.5,552.5,564.94,1746387
2016-01-05,555.5,560.0,547.5,552.0,1544671
2016-01-06,549.5,551.0,531.5,533.0,1542802
2016-01-07,526.0,528.0,510.5,512.0,2485810
2016-01-08,512.0,527.0,424.0,471.0,8021270
2016-01-11,431.0,433.9,403.0,425.09,4105420
2016-01-12,400.9,419.05,381.6,403.61,6773207
2016-01-13,419.0,431.3,413.2,420.43,4746862
2016-01-14,428.0,430.5,418.6,424.17,4127098
2016-01-15,420.3,423.5,407.6,409.4,2533740
2016-01-18,409.2,412.6,390.0,396.53,2461410
2016-01-19,391.9,402.0,391.9,394.8,1629597
2016-01-20,386.2,405.96,386.2,395.12,2762906
2016-01-21,403.6,409.5,392.2,397.8,2447457
2016-01-22,408.2,424.0,402.9,422.0,2529151
2016-01-25,426.8,428.2,415.2,418.53,2000457
2016-01-26,413.4,419.5,408.7,417.5,1861079
2016-01-27,415.2,418.0,403.6,414.0,2596132
2016-01-28,414.3,416.1,404.09,404.5,1550834
2016-01-29,408.5,415.8,406.0,415.68,2003977
2016-02-01,415.1,421.1,410.7,416.4,1412588
2016-02-02,426.0,427.78,399.4,406.03,2566864
2016-02-03,405.2,413.1,397.1,404.13,2388488
2016-02-04,400.4,407.7,392.5,400.58,1481981
2016-02-05,397.0,403.5,390.0,399.77,2189112
2016-02-08,394.0,395.7,364.3,371.88,3022380
2016-02-09,368.0,373.1,359.1,367.3,2287526
2016-02-10,367.5,380.5,364.2,375.8,1415580
2016-02-11,375.0,377.5,366.3,374.2,2651038
2016-02-12,375.0,381.2,371.7,375.87,1997853
2016-02-15,384.7,394.3,382.86,389.3,1144186
2016-02-16,391.9,403.68,388.6,394.1,2038089
2016-02-17,396.4,422.6,394.3,419.6,2133563
2016-02-18,422.7,423.8,404.3,409.0,2581257
2016-02-19,410.7,410.7,396.9,399.46,2032925
2016-02-22,401.5,408.1,399.8,400.2,1293406
2016-02-23,400.8,406.8,397.4,401.7,1222448
2016-02-24,402.8,402.8,378.7,382.1,2613256
2016-02-25,385.0,400.5,385.0,399.4,1601650
2016-02-26,402.3,402.3,385.0,397.4,2117944
2016-02-29,385.6,407.0,385.6,404.6,1762521
2016-03-01,406.1,415.3,402.9,410.3,1476304
2016-03-02,410.5,426.0,410.5,419.8,1460277
2016-03-03,420.9,420.9,409.0,410.0,1607551
2016-03-04,409.6,411.0,403.8,407.2,1595341
2016-03-07,404.1,407.8,398.7,403.1,1555967
2016-03-08,399.1,407.0,397.93,401.0,2091743
2016-03-09,403.0,409.2,393.1,396.9,1218043
2016-03-10,400.0,400.0,383.3,383.3,1354815
2016-03-11,390.3,392.94,384.6,390.3,1154745
2016-03-14,391.2,397.5,388.5,389.4,1036030
2016-03-15,387.9,393.6,385.1,392.5,1698626
2016-03-16,394.2,397.7,388.9,395.1,1438360
2016-03-17,398.2,403.16,387.28,401.5,1374582
2016-03-18,401.5,440.6,400.9,425.1,9387247
2016-03-21,430.6,432.8,418.9,423.8,2028953
2016-03-22,405.0,410.0,367.0,379.2,4741215
2016-03-23,381.0,388.1,350.8,357.8,5140406
2016-03-24,353.9,356.1,344.59,348.0,2864958
2016-03-29,348.0,364.0,348.0,364.0,3345972
2016-03-30,367.4,385.3,366.1,378.0,2218910
2016-03-31,376.3,379.6,373.64,378.1,1438970
2016-04-01,373.5,376.0,359.0,370.9,1851962
2016-04-04,368.9,374.3,365.4,373.2,1319184
2016-04-05,371.8,382.12,369.5,378.8,1454312
2016-04-06,381.6,381.6,370.95,374.9,1448751
2016-04-07,376.4,383.3,373.8,379.1,1076785
2016-04-08,378.9,389.5,378.0,379.7,874094
2016-04-11,378.4,387.7,376.1,383.8,1162016
2016-04-12,383.8,391.3,380.65,388.1,1573878
2016-04-13,393.9,401.1,383.1,398.6,1815352
2016-04-14,400.0,402.4,394.3,397.3,975893
2016-04-15,400.0,400.0,386.6,394.5,999335
2016-04-18,389.9,397.0,383.5,386.5,1270628
2016-04-19,388.6,399.8,387.4,398.4,1271466
2016-04-20,397.5,407.47,394.4,401.2,1477515
2016-04-21,403.9,410.43,397.6,402.0,1354227
