Date,Open,High,Low,Close,Volume
2016-01-04,993.5,998.88,965.5,977.0,998032
2016-01-05,984.5,993.0,966.0,970.0,1268128
2016-01-06,960.0,967.75,940.0,952.0,1136239
2016-01-07,930.0,933.25,910.5,921.32,1499871
2016-01-08,926.5,943.0,921.44,931.06,1062473
2016-01-11,912.0,920.5,900.75,907.0,1487283
2016-01-12,906.0,922.5,898.5,906.43,1914416
2016-01-13,929.0,958.5,925.5,936.09,2206691
2016-01-14,924.5,925.5,906.5,907.79,1342495
2016-01-15,915.5,925.0,880.0,889.88,1439232
2016-01-18,888.0,906.5,888.0,899.79,1037957
2016-01-19,916.0,928.0,899.79,925.0,1089976
2016-01-20,903.0,911.5,868.0,880.38,1890989
2016-01-21,884.0,906.0,880.16,886.68,2514589
2016-01-22,910.0,915.52,899.5,908.03,1659585
2016-01-25,915.0,917.0,902.5,909.19,922913
2016-01-26,903.0,915.5,893.0,907.45,1507842
2016-01-27,914.0,929.5,907.5,929.5,1322410
2016-01-28,922.5,932.5,910.5,920.98,962517
2016-01-29,924.5,953.0,923.5,953.0,1469348
2016-02-01,959.0,959.0,934.0,942.86,1136844
2016-02-02,943.5,943.5,908.5,926.08,1243829
2016-02-03,910.0,925.5,885.5,902.05,1916387
2016-02-04,915.5,922.0,884.5,892.88,1510498
2016-02-05,898.0,901.5,871.0,872.5,1146040
2016-02-08,877.0,883.5,824.92,831.0,1906846
2016-02-09,832.5,837.5,804.5,811.5,1753965
2016-02-10,818.5,852.5,809.5,844.0,1597170
2016-02-11,839.0,839.5,800.5,801.0,1311709
2016-02-12,809.0,830.0,802.5,813.73,1843456
2016-02-15,851.5,865.5,844.46,858.94,1227783
2016-02-16,867.0,867.0,847.0,857.5,1270404
2016-02-17,862.0,899.0,860.0,892.35,1185662
2016-02-18,908.0,916.5,893.5,896.5,1224730
2016-02-19,892.0,900.5,885.0,892.0,850768
2016-02-22,899.0,910.0,899.0,900.5,634523
2016-02-23,890.0,897.0,876.5,878.0,1303134
2016-02-24,874.5,881.5,855.0,856.5,1579848
2016-02-25,852.0,884.0,839.0,874.5,1498799
2016-02-26,884.5,887.0,868.5,870.0,1196089
2016-02-29,862.5,863.56,837.5,858.0,1621120
2016-03-01,856.0,865.0,845.5,855.5,1530176
2016-03-02,861.0,862.0,835.5,847.5,1521844
2016-03-03,849.0,856.0,842.5,856.0,1287972
2016-03-04,858.0,867.0,851.0,859.0,1235547
2016-03-07,875.0,913.5,873.5,888.0,2071030
2016-03-08,883.5,886.5,871.5,880.0,1331850
2016-03-09,849.5,882.0,849.5,865.0,1376514
2016-03-10,864.0,891.0,853.5,853.5,1344387
2016-03-11,877.5,902.5,862.0,894.0,1167900
2016-03-14,899.0,910.0,895.03,903.5,1140515
2016-03-15,900.0,905.0,897.5,900.0,1358906
2016-03-16,903.5,939.5,900.0,934.5,2217533
2016-03-17,938.5,938.5,918.0,928.5,1121106
2016-03-18,926.5,950.5,926.0,940.0,1355676
2016-03-21,933.5,949.0,933.5,940.5,635448
2016-03-22,938.0,942.0,921.0,940.0,1146009
2016-03-23,938.5,944.0,929.0,935.5,942590
2016-03-24,926.5,929.5,906.0,910.0,1000475
2016-03-29,911.5,924.0,910.5,922.0,666415
