Date,Open,High,Low,Close,Volume
2016-01-04,2158.0,2163.0,2136.0,2151.0,528783
2016-01-05,2169.0,2190.0,2144.0,2155.0,468785
2016-01-06,2150.0,2163.0,2132.25,2152.0,397690
2016-01-07,2111.0,2152.0,2107.0,2147.0,542550
2016-01-08,2155.0,2163.81,2140.0,2140.0,458256
2016-01-11,2136.0,2146.88,2119.0,2130.0,404169
2016-01-12,2131.0,2136.0,2113.0,2129.0,769122
2016-01-13,2149.0,2151.0,2127.0,2134.0,781201
2016-01-14,2121.0,2124.0,2103.0,2105.0,800373
2016-01-15,2100.0,2124.0,2062.0,2084.0,1079443
2016-01-18,2080.0,2099.0,2065.0,2071.0,486871
2016-01-19,2100.0,2123.0,2085.0,2117.0,647270
2016-01-20,2090.0,2107.88,2062.0,2073.0,789528
2016-01-21,2070.0,2091.0,2041.6,2088.0,602624
2016-01-22,2111.0,2131.0,2108.21,2124.0,457354
2016-01-25,2139.0,2143.0,2120.0,2129.0,320923
2016-01-26,2107.0,2134.0,2103.0,2126.0,417558
2016-01-27,2123.0,2152.0,2118.0,2152.0,402108
2016-01-28,2143.0,2156.0,2118.0,2130.0,511451
2016-01-29,2147.0,2189.0,2135.0,2189.0,824597
2016-02-01,2190.0,2223.0,2183.03,2211.0,554658
2016-02-02,2205.0,2215.0,2178.0,2198.0,420601
2016-02-03,2188.0,2213.0,2173.0,2186.0,479550
2016-02-04,2205.0,2205.0,2165.0,2181.0,413194
2016-02-05,2171.0,2178.0,2134.0,2140.0,409224
2016-02-08,2145.0,2151.0,2072.0,2079.0,559052
2016-02-09,2095.0,2104.0,2056.0,2070.0,724354
2016-02-10,2076.0,2093.0,2060.0,2079.0,431193
2016-02-11,2073.0,2073.0,2034.0,2048.0,409264
2016-02-12,2063.0,2070.0,2047.0,2060.0,531437
2016-02-15,2084.0,2114.0,2084.0,2111.0,379748
2016-02-16,2121.0,2125.0,2097.0,2124.0,319659
2016-02-17,2124.0,2132.0,2101.0,2113.0,648344
2016-02-18,2115.0,2142.0,2113.88,2134.0,364945
2016-02-19,2143.0,2144.0,2127.0,2144.0,331330
2016-02-22,2162.0,2179.0,2155.38,2178.0,250060
2016-02-23,2161.0,2173.0,2152.0,2153.0,277032
2016-02-24,2146.0,2150.0,2117.0,2125.0,431453
2016-02-25,2140.0,2164.0,2140.0,2158.0,268888
2016-02-26,2177.0,2183.0,2125.0,2130.0,409513
2016-02-29,2123.0,2140.0,2108.0,2136.0,522116
2016-03-01,2128.0,2153.0,2128.0,2143.0,317263
2016-03-02,2146.0,2154.0,2120.0,2131.0,374223
2016-03-03,2131.0,2145.0,2117.0,2119.0,320146
2016-03-04,2123.0,2130.8,2102.0,2104.0,324928
2016-03-07,2098.0,2110.67,2086.0,2088.0,263936
2016-03-08,2074.0,2089.0,2071.0,2088.0,360061
2016-03-09,2068.0,2107.0,2063.0,2065.0,648961
2016-03-10,2074.0,2074.0,2024.0,2024.0,819399
2016-03-11,2051.0,2074.0,2041.0,2063.0,358058
2016-03-14,2069.0,2073.0,2050.0,2064.0,364741
2016-03-15,2062.0,2082.0,2056.0,2078.0,382271
2016-03-16,2082.0,2108.0,2080.0,2102.0,531148
2016-03-17,2112.0,2134.0,2096.0,2133.0,467283
2016-03-18,2131.0,2161.0,2127.0,2141.0,897835
2016-03-21,2127.0,2163.0,2122.0,2162.0,424752
2016-03-22,2161.0,2161.0,2136.0,2145.0,585213
2016-03-23,2140.0,2163.0,2140.0,2150.0,539690
2016-03-24,2145.0,2158.0,2137.0,2140.0,393132
2016-03-29,2157.0,2165.0,2144.0,2162.0,397512
2016-03-30,2183.0,2194.0,2170.0,2194.0,491658
2016-03-31,2182.0,2191.42,2167.0,2173.0,432494
2016-04-01,2152.0,2157.0,2131.0,2143.0,578653
2016-04-04,2136.0,2179.0,2136.0,2162.0,298837
2016-04-05,2154.0,2184.0,2144.17,2152.0,426793
2016-04-06,2150.0,2188.0,2150.0,2184.0,579407
2016-04-07,2188.0,2218.0,2181.0,2217.0,485600
2016-04-08,2219.0,2245.27,2214.0,2239.0,412772
2016-04-11,2233.0,2241.0,2217.0,2235.0,281481
2016-04-12,2235.0,2243.0,2214.0,2243.0,356854
2016-04-13,2257.0,2259.0,2215.0,2239.0,489382
2016-04-14,2239.0,2255.0,2231.94,2253.0,375354
2016-04-15,2248.0,2261.0,2236.47,2257.0,525451
2016-04-18,2250.0,2260.0,2239.0,2259.0,216413
2016-04-19,2264.0,2264.0,2230.0,2236.0,556186
2016-04-20,2222.0,2241.0,2212.0,2219.0,405222
2016-04-21,2211.0,2212.22,2160.0,2177.0,473729
2016-04-22,2164.0,2188.0,2151.0,2157.0,433904
2016-04-25,2157.0,2179.0,2154.0,2171.0,339347
2016-04-26,2199.0,2206.0,2185.0,2196.0,439136
2016-04-27,2190.0,2228.0,2184.0,2228.0,562409
2016-04-28,2219.0,2230.0,2203.0,2230.0,532425
2016-04-29,2214.0,2231.0,2207.0,2227.0,611939
2016-05-03,2241.0,2250.0,2220.0,2239.0,587968
2016-05-04,2237.0,2240.0,2207.0,2220.0,439025
2016-05-05,2220.0,2249.0,2220.0,2229.0,338460
2016-05-06,2229.0,2244.0,2225.0,2240.0,400040
2016-05-09,2247.0,2257.0,2241.0,2250.0,320320
2016-05-10,2262.0,2266.0,2247.0,2249.0,289169
2016-05-11,2243.0,2249.0,2224.57,2230.0,333380
2016-05-12,2225.0,2269.0,2222.0,2252.0,385152
2016-05-13,2250.0,2259.0,2237.64,2253.0,305506
2016-05-16,2239.0,2244.0,2218.0,2231.0,249471
2016-05-17,2244.0,2249.0,2223.0,2225.0,463063
2016-05-18,2217.0,2217.0,2190.0,2210.0,822320
2016-05-19,2195.0,2200.0,2170.0,2173.0,611129
2016-05-20,2183.0,2217.0,2180.0,2210.0,525621
2016-05-23,2200.0,2219.0,2198.0,2213.0,459389
2016-05-24,2201.0,2288.0,2201.0,2265.0,813816
2016-05-25,2299.0,2299.38,2256.0,2268.0,629608
2016-05-26,2268.0,2282.0,2261.0,2282.0,542181
2016-05-27,2282.0,2300.36,2273.0,2291.0,383352
2016-05-31,2287.0,2308.0,2287.0,2292.0,805896
2016-06-01,2290.0,2297.0,2254.0,2264.0,603468
2016-06-02,2265.0,2273.0,2239.0,2245.0,596914
2016-06-03,2256.0,2267.0,2241.0,2263.0,425886
2016-06-09,2272.0,2293.0,2271.0,2283.0,352426
2016-06-10,2274.0,2284.0,2235.84,2240.0,451179
2016-06-13,2232.0,2251.0,2231.0,2236.0,480374
2016-06-14,2225.0,2234.34,2199.0,2199.0,653769
2016-06-15,2204.0,2228.33,2191.0,2191.0,516648
2016-06-16,2128.0,2141.0,2115.0,2124.0,748293
2016-06-17,2138.0,2183.4,2119.0,2131.0,985074
2016-06-20,2169.0,2224.0,2161.0,2221.0,729666
2016-06-21,2222.0,2240.0,2214.0,2236.0,691078
2016-06-22,2251.0,2265.0,2222.0,2240.0,739668
2016-06-23,2256.0,2262.42,2220.0,2240.0,598635
2016-06-24,2075.0,2248.0,2070.0,2221.0,1054784
2016-06-27,2209.0,2268.0,2208.0,2229.0,1189336
2016-06-28,2270.0,2309.0,2259.0,2296.0,571000
2016-06-29,2321.0,2376.0,2321.0,2376.0,845554
2016-06-30,2380.0,2435.0,2351.0,2435.0,1040121
2016-07-01,2448.0,2456.0,2420.0,2429.0,773391
2016-07-04,2443.0,2457.0,2433.0,2448.0,460323
