Date,Open,High,Low,Close,Volume
2016-01-04,20.55,20.85,20.36,20.84,5253821
2016-01-05,20.84,20.99,20.62,20.88,7229893
2016-01-06,20.65,20.88,20.53,20.85,6014819
2016-01-07,20.48,20.9,20.34,20.5,8246937
2016-01-08,20.52,20.67,20.37,20.49,7120915
2016-01-11,20.54,20.62,20.17,20.36,8073515
2016-01-12,20.51,20.77,20.34,20.65,5953096
2016-01-13,20.76,20.92,20.18,20.25,6952126
2016-01-14,20.3,20.55,20.19,20.48,7959577
2016-01-15,21.04,21.04,19.63,19.73,14541906
2016-01-19,20.1,20.14,18.84,19.03,14045340
2016-01-20,18.6,18.91,18.31,18.82,11772215
2016-01-21,18.93,19.12,18.79,18.98,5699262
2016-01-22,19.26,19.47,19.16,19.47,5319865
2016-01-25,19.44,19.44,18.81,18.82,6454013
2016-01-26,18.9,19.26,18.9,19.23,4751488
2016-01-27,19.22,19.55,19.09,19.22,5597227
2016-01-28,19.44,19.66,19.24,19.5,6069569
2016-01-29,19.68,19.87,19.56,19.84,14990824
2016-02-01,19.68,19.84,19.46,19.75,9578290
2016-02-02,19.6,19.61,19.21,19.27,4210749
2016-02-03,19.44,19.49,18.96,19.28,6545529
2016-02-04,19.19,19.31,18.92,19.18,9696793
2016-02-05,20.74,21.07,19.65,19.76,23814738
2016-02-08,19.44,19.57,18.9,19.24,9715891
2016-02-09,19.06,19.19,18.56,18.72,8129246
2016-02-10,18.95,19.2,18.76,18.9,6859315
2016-02-11,18.61,18.9,18.48,18.77,8269603
2016-02-12,18.81,19.25,18.56,19.15,6519956
2016-02-16,19.4,19.65,19.12,19.55,11450254
2016-02-17,19.71,20.05,19.64,19.97,7106973
2016-02-18,19.85,19.97,19.74,19.81,4560485
2016-02-19,19.8,19.98,19.58,19.93,4574810
2016-02-22,20.1,20.35,20.04,20.13,5500052
2016-02-23,20.01,20.09,19.52,19.56,5697213
2016-02-24,19.41,19.5,19.02,19.29,7440142
2016-02-25,19.38,19.69,19.19,19.67,5882659
2016-02-26,19.84,19.9,19.32,19.44,5783322
2016-02-29,19.38,19.48,19.18,19.31,6557000
2016-03-01,19.47,20.34,19.4,20.28,11192851
2016-03-02,20.34,20.58,20.09,20.41,11373630
2016-03-03,20.47,20.59,19.85,20.52,9726924
2016-03-04,16.73,16.91,16.14,16.62,16270429
2016-03-07,16.81,17.18,16.54,17.09,11848578
2016-03-08,17.04,17.12,16.87,16.95,11141683
2016-03-09,16.99,17.67,16.74,17.59,11231726
2016-03-10,17.76,17.82,17.44,17.7,8269233
2016-03-11,18.23,18.5,18.15,18.39,11741380
2016-03-14,18.3,18.64,18.27,18.54,15701256
2016-03-15,18.29,18.54,18.25,18.46,7046146
2016-03-16,18.34,18.66,18.32,18.58,5318807
2016-03-17,18.66,18.83,18.57,18.73,8797602
2016-03-18,18.84,18.84,18.58,18.6,18267449
2016-03-21,19.11,19.14,18.67,18.85,9839216
2016-03-22,18.99,19.14,18.75,18.82,11005709
2016-03-23,18.81,18.94,18.46,18.64,7570295
2016-03-24,18.55,18.72,18.47,18.71,7789984
2016-03-28,18.74,18.75,18.27,18.47,10514653
2016-03-29,18.36,18.48,18.18,18.39,8465140
2016-03-30,18.51,18.53,18.23,18.38,5868640
2016-03-31,18.34,18.42,18.22,18.38,6348031
2016-04-01,18.22,18.46,18.09,18.41,8804558
2016-04-04,18.46,18.64,18.38,18.6,7383498
2016-04-05,18.47,18.5,18.31,18.37,8698178
2016-04-06,18.35,18.51,18.16,18.5,5315314
2016-04-07,18.37,18.49,18.05,18.18,5565393
2016-04-08,18.28,18.39,18.04,18.15,8609372
2016-04-11,18.27,18.39,17.96,17.97,7535450
2016-04-12,17.94,18.02,17.83,17.97,8291233
2016-04-13,18.04,18.17,17.99,18.16,5811407
2016-04-14,17.99,18.06,17.8,17.89,7038661
2016-04-15,17.92,18.17,17.85,18.04,6306006
2016-04-18,17.99,18.2,17.94,18.11,4317989
2016-04-19,18.2,18.31,18.03,18.13,5999508
2016-04-20,18.14,18.28,18.03,18.07,4415716
2016-04-21,18.23,18.28,18.04,18.1,5299963
2016-04-22,18.02,18.07,17.87,18.01,7269277
2016-04-25,17.98,18.1,17.9,18.1,6056886
2016-04-26,18.11,18.21,17.99,18.04,7384574
2016-04-27,18.04,18.16,17.96,18.11,5223365
2016-04-28,16.89,17.32,16.59,16.86,23283973
2016-04-29,16.68,16.8,16.56,16.64,18403423
2016-05-02,17.1,17.2,16.54,16.75,14747275
2016-05-03,16.59,16.72,16.51,16.63,8453087
2016-05-04,16.53,16.71,16.52,16.67,5564097
2016-05-05,16.69,16.75,16.51,16.6,7305710
2016-05-06,16.58,16.76,16.48,16.61,5151547
2016-05-09,16.65,16.8,16.58,16.64,5095806
2016-05-10,16.69,16.8,16.58,16.78,4703119
2016-05-11,16.71,16.92,16.62,16.71,4578345
2016-05-12,16.79,16.93,16.63,16.9,11887705
2016-05-13,16.29,17.21,16.25,16.79,14145779
2016-05-16,16.88,17.17,16.75,16.91,13115737
2016-05-17,16.85,17.15,16.79,16.94,9280208
2016-05-18,16.97,17.19,16.82,17.0,6903984
2016-05-19,16.88,17.07,16.77,16.89,5963198
2016-05-20,16.95,17.08,16.89,16.92,5567144
2016-05-23,16.91,17.14,16.83,16.92,6664933
2016-05-24,17.02,17.14,16.98,17.07,7010196
2016-05-25,17.1,17.28,17.08,17.25,10105775
2016-05-26,17.14,17.37,17.06,17.19,7723933
2016-05-27,17.22,17.26,17.02,17.15,9728839
2016-05-31,17.22,17.44,17.1,17.36,14158549
2016-06-01,17.32,17.4,17.21,17.31,6833912
2016-06-02,17.16,17.42,17.04,17.37,7582357
2016-06-03,17.22,17.26,16.98,17.26,6358426
2016-06-06,17.24,17.29,17.13,17.18,6036419
2016-06-07,17.23,17.4,17.21,17.27,5895778
2016-06-08,17.28,17.46,17.27,17.43,4954090
2016-06-09,17.31,17.46,17.3,17.39,4960223
2016-06-10,17.17,17.37,17.13,17.3,5234949
2016-06-13,17.54,18.58,17.35,18.21,34033365
2016-06-14,18.14,18.82,18.14,18.77,21376616
2016-06-15,18.75,19.1,18.7,18.99,17875549
2016-06-16,19.01,19.86,19.01,19.78,24561501
2016-06-17,19.86,20.62,19.79,19.97,39377188
2016-06-20,20.6,20.96,20.42,20.47,24091130
2016-06-21,20.5,21.08,20.49,20.92,12586391
2016-06-22,20.87,21.01,20.77,20.78,15851672
2016-06-23,20.87,21.28,20.87,21.24,10549652
2016-06-24,20.41,20.92,20.34,20.43,15979446
2016-06-27,20.23,20.3,19.87,19.95,16397673
2016-06-28,20.07,20.26,19.96,20.13,8893304
2016-06-29,20.29,20.46,20.2,20.35,12874819
2016-06-30,20.29,20.64,20.29,20.54,7784720
2016-07-01,20.45,20.65,20.34,20.46,7711229
2016-07-05,20.39,20.54,20.16,20.35,7191505
2016-07-06,20.22,20.44,20.04,20.38,6038922
2016-07-07,20.37,20.59,20.37,20.44,4971504
2016-07-08,20.61,20.88,20.44,20.7,7467267
2016-07-11,20.85,20.92,20.76,20.8,3970507
2016-07-12,20.8,21.02,20.76,21.02,5752171
2016-07-13,21.05,21.17,21.0,21.1,5216624
2016-07-14,21.22,21.3,20.93,20.94,5181829
2016-07-15,21.11,21.11,20.88,20.94,4635085
2016-07-18,21.07,21.2,20.77,20.8,6581463
2016-07-19,20.79,20.93,20.58,20.69,15263212
2016-07-20,20.76,20.8,20.46,20.7,18257118
2016-07-21,20.79,20.95,20.24,20.28,11298880
2016-07-22,20.37,20.51,20.06,20.49,9802256
2016-07-25,20.42,20.48,20.29,20.35,5047801
2016-07-26,20.37,20.48,20.24,20.37,7726207
2016-07-27,20.3,20.41,20.2,20.29,4163009
2016-07-28,20.27,20.54,20.22,20.45,7087691
2016-07-29,20.47,20.51,20.29,20.43,6418758
2016-08-01,20.49,20.71,20.45,20.55,10240805
2016-08-02,20.5,20.74,20.38,20.68,10778619
2016-08-03,20.65,20.91,20.46,20.9,9366932
2016-08-04,20.95,21.22,20.8,21.03,12307264
2016-08-05,22.05,22.58,21.8,21.88,28066521
2016-08-08,21.75,22.14,21.67,21.78,9762661
2016-08-09,21.67,21.87,21.6,21.66,8522467
2016-08-10,21.64,21.76,21.5,21.73,5184299
2016-08-11,21.7,22.27,21.67,22.11,9891684
2016-08-12,22.0,22.57,21.98,22.54,11946804
2016-08-15,22.76,22.97,22.65,22.88,12762214
2016-08-16,22.75,23.06,22.64,22.98,9882511
2016-08-17,23.06,23.12,22.82,22.92,10893933
2016-08-18,22.86,23.17,22.69,23.11,8750376
2016-08-19,23.42,23.86,23.11,23.72,12978810
2016-08-22,23.59,23.87,23.59,23.74,10343164
2016-08-23,23.69,23.99,23.62,23.87,13292118
2016-08-24,23.83,23.87,23.56,23.76,8966713
2016-08-25,23.79,23.85,23.68,23.73,4449374
2016-08-26,23.8,23.95,23.62,23.72,6717706
2016-08-29,24.0,24.22,23.91,24.13,8469239
2016-08-30,24.08,24.15,23.85,23.98,5266793
2016-08-31,23.9,24.17,23.77,24.13,9406321
2016-09-01,24.14,24.17,23.89,24.15,6159544
2016-09-02,24.16,24.42,24.15,24.28,4329089
2016-09-06,24.3,24.9,24.28,24.81,11780510
2016-09-07,24.71,24.92,24.71,24.92,8123063
2016-09-08,24.83,25.19,24.75,24.95,9480770
2016-09-09,24.75,24.86,24.37,24.49,7107356
2016-09-12,24.27,24.85,24.12,24.85,9883437
2016-09-13,25.1,25.1,24.54,24.69,8780376
