Date,Open,High,Low,Close,Volume
2016-01-04,38.86,39.02,38.46,38.95,4592365
2016-01-05,38.9,40.5,38.76,40.22,5554070
2016-01-06,39.56,40.38,39.33,40.05,7243778
2016-01-07,39.38,40.68,39.27,40.51,8091327
2016-01-08,40.86,41.23,39.78,39.88,3512924
2016-01-11,39.96,39.98,39.17,39.68,3893059
2016-01-12,39.83,40.12,39.38,40.06,3859037
2016-01-13,40.16,40.45,38.83,38.85,3259543
2016-01-14,38.74,39.72,37.99,39.39,3411104
2016-01-15,37.99,38.9,36.79,37.79,5125424
2016-01-19,38.13,38.23,37.44,37.65,3046062
2016-01-20,37.15,37.66,35.49,37.36,4814243
2016-01-21,37.4,37.96,36.77,37.1,3827351
2016-01-22,37.86,38.06,37.49,37.85,3955755
2016-01-25,37.97,38.97,37.5,37.89,3012091
2016-01-26,38.17,39.68,37.96,39.43,2718228
2016-01-27,39.42,39.49,38.35,38.5,2273376
2016-01-28,38.64,38.9,38.16,38.67,1418550
2016-01-29,39.44,40.17,38.85,40.15,3552587
2016-02-01,40.04,40.65,39.46,40.59,3615789
2016-02-02,40.03,40.25,38.99,39.27,2974748
2016-02-03,39.55,39.99,37.23,38.34,5139654
2016-02-04,38.82,39.0,37.75,38.7,3778786
2016-02-05,39.05,39.08,35.39,35.66,7518501
2016-02-08,35.42,35.53,33.53,33.96,6622592
2016-02-09,33.75,34.39,33.23,33.89,8129041
2016-02-10,34.31,35.2,33.72,34.57,3776156
2016-02-11,33.78,34.42,33.6,34.03,3960539
2016-02-12,34.59,35.27,34.01,35.11,3165399
2016-02-16,35.78,36.54,35.05,36.45,4404564
2016-02-17,38.31,38.31,35.86,36.85,9663266
2016-02-18,37.11,37.45,36.45,36.63,3960246
2016-02-19,36.33,36.64,34.86,34.95,5286907
2016-02-22,35.56,35.98,35.28,35.83,4944468
2016-02-23,35.8,36.4,35.52,36.2,2826565
2016-02-24,36.16,37.0,35.82,36.78,7954498
2016-02-25,37.0,38.44,36.9,38.36,4302760
2016-02-26,37.36,37.78,36.57,37.47,4714902
2016-02-29,37.48,38.02,37.09,37.1,4383251
2016-03-01,37.03,38.69,37.0,38.65,4223442
2016-03-02,38.54,38.82,37.69,38.77,2544095
2016-03-03,39.5,39.79,38.77,38.97,6974775
2016-03-04,39.12,39.51,38.38,38.48,3435250
2016-03-07,38.24,39.2,38.24,38.64,4463352
2016-03-08,38.62,39.1,38.33,38.95,4854249
2016-03-09,39.0,39.03,38.16,38.2,6058677
2016-03-10,38.48,38.75,37.47,37.57,5178938
2016-03-11,37.84,38.15,37.47,37.75,6587085
2016-03-14,37.5,37.57,36.7,37.09,4344079
2016-03-15,36.76,36.93,36.26,36.77,3537235
2016-03-16,36.8,37.24,36.48,37.18,4920658
2016-03-17,37.18,37.52,36.96,37.16,4757038
2016-03-18,37.34,37.62,36.75,36.93,5394379
2016-03-21,37.43,37.49,36.91,37.35,2737929
2016-03-22,36.9,37.41,36.85,37.28,3129193
2016-03-23,37.17,37.26,36.27,37.07,3275540
2016-03-24,36.85,37.1,36.44,37.0,6766806
2016-03-28,36.98,37.2,36.75,37.04,2608088
2016-03-29,37.14,38.61,36.82,38.43,4809637
2016-03-30,38.54,38.99,38.18,38.44,2693615
2016-03-31,38.52,38.64,38.01,38.3,3830488
2016-04-01,38.06,39.5,37.93,39.36,6229218
2016-04-04,39.24,39.96,39.06,39.66,4075431
2016-04-05,39.34,39.74,38.82,39.14,3926178
2016-04-06,39.31,39.48,38.95,39.1,2771220
2016-04-07,38.75,39.04,38.42,38.82,4532876
2016-04-08,38.98,39.11,38.45,38.7,1873153
2016-04-11,38.77,39.0,38.52,38.64,1818810
2016-04-12,38.6,39.19,38.45,38.89,3305729
2016-04-13,39.12,39.35,38.66,38.85,2653282
2016-04-14,38.81,38.99,38.44,38.81,2027330
2016-04-15,38.99,39.51,38.88,39.29,6091532
2016-04-18,39.12,39.61,38.99,39.25,8171407
2016-04-19,39.36,39.86,39.02,39.84,8717664
2016-04-20,39.96,40.82,39.67,40.15,6149679
2016-04-21,40.1,40.59,38.31,40.25,4132412
2016-04-22,40.22,40.85,40.11,40.22,3635999
2016-04-25,40.3,41.26,40.01,41.18,6977180
2016-04-26,41.84,42.2,39.17,39.33,14901420
2016-04-27,39.45,40.12,39.41,39.7,7510946
2016-04-28,39.62,40.1,39.4,39.76,4344395
2016-04-29,39.4,39.73,38.47,39.28,5388873
2016-05-02,39.36,40.1,39.29,39.99,3701968
2016-05-03,39.83,39.88,39.43,39.66,3298204
2016-05-04,39.51,39.91,39.08,39.1,3750410
2016-05-05,39.1,39.67,38.87,39.25,3883762
2016-05-06,39.0,39.62,38.67,39.49,2565999
2016-05-09,39.58,40.0,39.43,39.9,2118834
2016-05-10,39.97,40.9,39.89,40.81,6717294
2016-05-11,40.66,41.11,40.54,40.82,3992943
2016-05-12,40.83,41.06,40.49,40.72,3839533
2016-05-13,40.56,41.04,40.56,40.64,3428225
2016-05-16,40.55,40.9,40.3,40.62,2997693
2016-05-17,40.42,41.46,40.41,40.72,7527063
2016-05-18,40.72,41.12,40.28,40.68,5043542
