Date,Open,High,Low,Close,Volume
2016-01-04,1960.0,1969.0,1928.0,1937.63,370117
2016-01-05,1970.0,1997.0,1954.0,1973.4,732988
2016-01-06,1980.0,1997.02,1927.0,1944.31,775169
2016-01-07,1915.0,1924.0,1893.0,1905.0,621692
2016-01-08,1911.0,1964.0,1901.8,1923.0,817325
2016-01-11,1950.0,1954.0,1923.0,1930.0,631147
2016-01-12,1939.0,1944.0,1924.0,1930.0,696695
2016-01-13,1946.0,1955.0,1927.3,1929.0,648459
2016-01-14,1910.0,1912.0,1878.0,1892.3,747740
2016-01-15,1891.0,1893.0,1827.0,1852.85,712048
2016-01-18,1841.0,1859.0,1802.0,1805.86,593086
2016-01-19,1826.0,1841.0,1813.0,1820.0,621464
2016-01-20,1798.0,1802.0,1761.0,1765.0,524567
2016-01-21,1767.0,1788.0,1762.0,1786.0,597236
2016-01-22,1811.0,1819.0,1793.0,1808.0,806775
2016-01-25,1816.0,1816.0,1785.0,1789.0,494315
2016-01-26,1766.0,1797.0,1759.85,1791.0,478792
2016-01-27,1789.0,1820.0,1789.0,1804.5,691292
2016-01-28,1816.0,1834.92,1777.0,1785.0,395395
2016-01-29,1802.0,1825.0,1794.0,1825.0,511913
2016-02-01,1832.0,1839.0,1794.0,1820.0,501865
2016-02-02,1817.0,1817.0,1774.0,1783.41,327672
2016-02-03,1779.0,1785.0,1719.0,1748.19,783166
2016-02-04,1775.0,1793.0,1754.0,1784.0,683303
2016-02-05,1791.0,1800.0,1748.0,1752.0,471992
2016-02-08,1763.0,1763.0,1675.0,1696.75,547499
2016-02-09,1695.0,1718.0,1662.0,1699.0,663683
2016-02-10,1706.0,1740.0,1695.0,1715.0,582707
2016-02-11,1701.0,1708.0,1664.0,1680.0,687509
2016-02-12,1689.0,1724.0,1688.52,1724.0,726482
2016-02-15,1749.0,1775.0,1749.0,1772.3,346603
2016-02-16,1770.0,1770.0,1734.0,1750.0,556037
2016-02-17,1748.0,1804.0,1748.0,1804.0,439862
2016-02-18,1814.0,1814.0,1782.0,1799.0,398280
2016-02-19,1794.0,1806.0,1774.0,1786.0,299404
2016-02-22,1794.0,1819.0,1765.0,1772.0,315261
2016-02-23,1760.0,1762.56,1729.0,1734.0,806349
2016-02-24,1728.0,1736.0,1699.64,1715.0,668051
2016-02-25,1728.0,1750.0,1707.0,1744.0,607908
2016-02-26,1757.0,1784.0,1752.0,1774.0,522246
2016-02-29,1767.0,1792.0,1753.1,1792.0,692526
2016-03-01,1784.0,1816.0,1779.0,1812.0,621864
2016-03-02,1817.0,1835.0,1795.0,1796.0,601881
2016-03-03,1807.0,1881.0,1768.0,1855.0,1040960
2016-03-04,1844.0,1846.0,1781.0,1783.0,1009503
2016-03-07,1777.0,1795.0,1746.0,1795.0,823556
2016-03-08,1779.0,1800.0,1778.0,1790.0,872884
2016-03-09,1790.0,1795.11,1768.0,1780.0,604347
2016-03-10,1777.0,1797.0,1754.0,1754.0,852930
2016-03-11,1778.0,1786.0,1763.0,1780.0,587877
2016-03-14,1781.0,1801.0,1772.0,1789.0,539164
2016-03-15,1786.0,1799.0,1781.0,1798.0,462176
2016-03-16,1803.0,1811.0,1787.0,1800.0,787325
2016-03-17,1808.0,1812.7,1776.0,1803.0,521428
2016-03-18,1810.0,1842.0,1803.3,1818.0,740120
2016-03-21,1808.0,1814.65,1792.0,1799.0,524036
2016-03-22,1793.0,1796.0,1756.0,1796.0,430690
2016-03-23,1793.0,1817.0,1793.0,1817.0,473362
2016-03-24,1804.0,1804.0,1762.0,1765.0,705559
2016-03-29,1771.0,1813.0,1770.0,1812.0,562760
2016-03-30,1825.0,1844.0,1824.0,1831.0,411337
2016-03-31,1828.0,1835.0,1814.0,1827.0,573375
2016-04-01,1820.0,1820.0,1795.0,1809.0,423348
2016-04-04,1806.0,1822.0,1804.0,1804.0,427296
2016-04-05,1796.0,1799.6,1775.0,1796.0,534898
2016-04-06,1800.0,1819.2,1789.0,1818.0,574031
2016-04-07,1820.0,1832.0,1807.0,1810.0,550862
2016-04-08,1813.0,1834.0,1813.0,1826.0,427980
2016-04-11,1824.0,1836.0,1814.0,1821.0,351055
2016-04-12,1827.0,1831.0,1801.0,1827.0,410256
2016-04-13,1841.0,1855.0,1836.0,1849.0,705438
2016-04-14,1851.0,1866.0,1842.0,1860.0,591816
2016-04-15,1858.0,1858.0,1773.88,1822.28,1291344
2016-04-18,1768.0,1802.0,1754.0,1781.0,886183
2016-04-19,1780.0,1825.36,1771.0,1824.0,785272
2016-04-20,1845.0,1859.0,1790.0,1818.0,1108483
2016-04-21,1823.0,1827.0,1780.0,1806.0,675047
2016-04-22,1803.0,1839.0,1800.0,1827.0,625344
2016-04-25,1821.0,1850.0,1821.0,1850.0,618450
2016-04-26,1853.0,1868.0,1839.0,1862.0,768817
