Date,Open,High,Low,Close,Volume
2016-01-04,83.64,83.76,82.02,82.98,1732605
2016-01-05,83.39,83.97,80.95,81.93,1450825
2016-01-06,81.34,81.74,79.23,80.1,2521661
2016-01-07,78.33,78.94,76.81,77.69,1945155
2016-01-08,77.77,78.6,75.92,76.18,1447745
2016-01-11,76.66,77.31,75.6,76.95,1357389
2016-01-12,77.18,78.8,76.34,77.36,1189363
2016-01-13,77.48,78.0,71.58,72.94,2882070
2016-01-14,73.21,73.36,69.27,71.92,2892281
2016-01-15,69.77,70.69,68.88,70.63,2906820
2016-01-19,71.34,72.34,70.07,71.19,2508432
2016-01-20,70.03,70.9,65.78,69.26,2479976
2016-01-21,69.29,72.46,68.17,69.51,1577910
2016-01-22,70.68,72.45,69.77,70.65,1009838
2016-01-25,70.76,71.01,69.23,69.49,1115987
2016-01-26,69.92,70.44,67.44,69.69,2445338
2016-01-27,65.81,69.14,65.42,67.54,3193348
2016-01-28,67.29,68.1,65.0,67.32,2710618
2016-01-29,67.31,68.12,66.37,66.76,2620851
2016-02-01,66.52,67.64,65.8,67.19,1790105
2016-02-02,66.47,66.84,62.1,63.0,3027195
2016-02-03,63.7,64.26,60.88,62.77,2068481
2016-02-04,62.89,64.52,62.31,63.81,1800245
2016-02-05,63.27,63.58,57.29,58.37,5099577
2016-02-08,57.01,57.84,55.28,55.88,4261188
2016-02-09,55.32,57.17,53.51,54.09,2528093
2016-02-10,54.9,55.99,53.48,54.35,4709044
2016-02-11,60.92,64.75,59.49,61.07,9473527
2016-02-12,61.0,61.07,57.85,59.9,4204472
2016-02-16,60.39,63.47,59.95,63.32,3086193
2016-02-17,65.02,67.0,64.07,65.35,3330068
2016-02-18,65.41,65.99,62.39,63.07,2278665
2016-02-19,62.7,63.77,61.38,63.42,1769038
2016-02-22,61.8,63.51,61.37,63.11,2022395
2016-02-23,63.0,63.21,60.38,60.7,2529924
2016-02-24,60.0,61.16,58.53,60.66,2502986
2016-02-25,60.83,62.07,59.76,62.05,1241908
2016-02-26,62.19,62.95,61.68,62.38,1676879
2016-02-29,62.28,63.3,61.81,62.6,2246642
2016-03-01,63.21,66.39,62.73,66.1,2970459
2016-03-02,66.07,66.42,64.53,65.32,1806647
2016-03-03,65.05,66.62,64.45,65.57,1594075
2016-03-04,65.85,65.91,64.22,65.1,1549922
2016-03-07,65.04,66.23,63.7,65.5,1983023
2016-03-08,65.11,65.95,62.49,62.57,2083342
2016-03-09,62.65,63.61,60.02,60.98,2732496
2016-03-10,61.45,61.86,59.33,61.02,2228865
2016-03-11,61.81,63.75,61.38,63.7,1597513
2016-03-14,63.08,68.28,63.05,66.54,5466787
2016-03-15,66.43,66.97,65.55,66.8,2353624
2016-03-16,66.82,67.74,66.01,67.48,1865364
2016-03-17,67.22,68.22,65.25,65.31,2077672
2016-03-18,65.25,65.27,63.45,64.31,4860762
2016-03-21,64.4,65.79,64.36,65.71,1518356
2016-03-22,64.0,65.08,63.65,64.04,2059483
2016-03-23,64.16,64.34,61.51,61.74,2093817
2016-03-24,61.72,62.44,60.5,62.23,1681359
2016-03-28,62.61,63.14,61.53,62.51,1309222
2016-03-29,62.79,65.91,62.02,65.58,2549599
2016-03-30,65.93,68.07,65.83,66.58,2249809
2016-03-31,66.0,66.84,65.33,66.5,1700944
2016-04-01,66.05,67.39,65.1,67.23,1725255
2016-04-04,67.44,67.5,64.93,65.09,1153972
2016-04-05,64.09,64.79,63.09,63.96,1801446
2016-04-06,64.39,65.76,63.85,65.53,1136622
2016-04-07,65.23,65.51,62.58,63.35,2370370
2016-04-08,64.07,64.58,61.7,62.24,2388562
2016-04-11,62.48,62.86,60.55,60.59,2042365
2016-04-12,60.56,61.49,60.2,61.44,1801018
2016-04-13,61.96,63.86,61.8,63.79,2267219
2016-04-14,63.85,64.27,63.03,63.51,1031408
2016-04-15,63.6,63.77,62.29,63.0,1349591
2016-04-18,63.06,65.64,62.69,65.44,1903114
2016-04-19,65.88,65.88,63.99,64.54,2299217
2016-04-20,64.7,64.84,63.64,64.39,1059518
2016-04-21,64.65,65.0,63.39,63.81,1193035
2016-04-22,63.47,64.55,62.97,63.34,1439628
2016-04-25,63.17,63.47,62.0,62.55,1048479
2016-04-26,62.53,63.59,62.02,62.5,1247969
2016-04-27,62.5,63.74,61.96,63.69,1520329
2016-04-28,64.12,65.0,63.44,63.6,2883268
2016-04-29,64.0,64.98,62.38,64.59,1797234
2016-05-02,64.42,65.24,63.9,64.89,1831481
2016-05-03,64.27,65.99,63.19,65.83,3943205
2016-05-04,64.28,64.82,62.67,63.13,4461500
2016-05-05,61.0,65.8,60.56,62.04,7307166
2016-05-06,61.6,62.09,59.64,62.07,3181418
2016-05-09,62.38,64.95,62.15,63.09,3448871
2016-05-10,63.57,66.89,63.56,66.1,3416520
2016-05-11,66.21,66.4,65.22,65.67,2262803
2016-05-12,66.05,66.05,63.16,63.78,2494882
2016-05-13,63.71,64.91,63.67,64.46,1963792
2016-05-16,64.51,65.25,64.24,64.9,1187434
2016-05-17,64.95,66.8,64.91,65.79,2774016
2016-05-18,65.28,65.65,63.41,64.17,2143061
2016-05-19,64.07,64.53,62.57,63.25,1593290
2016-05-20,63.54,65.19,63.41,64.53,1798674
2016-05-23,64.81,68.43,64.53,66.87,3467322
2016-05-24,66.92,67.83,66.02,66.07,2302084
2016-05-25,66.18,67.22,65.7,66.9,1655699
2016-05-26,66.84,67.35,65.8,66.6,1000845
2016-05-27,66.54,68.53,66.39,67.32,1297170
2016-05-31,67.5,68.08,67.18,67.74,1566651
2016-06-01,67.41,67.68,66.06,67.06,863413
2016-06-02,66.79,68.76,66.27,68.63,1284927
2016-06-03,68.3,68.41,67.16,68.16,1404108
2016-06-06,68.63,71.61,67.92,71.46,3407673
2016-06-07,69.78,69.95,68.05,68.63,4475517
2016-06-08,69.03,69.87,68.76,69.24,1676216
2016-06-09,69.02,70.51,68.85,69.47,1151695
2016-06-10,68.76,69.15,66.9,67.22,1738379
2016-06-13,67.02,68.59,66.01,66.11,1579391
2016-06-14,65.65,66.37,64.22,65.07,1649849
2016-06-15,65.43,66.22,64.7,64.84,1574055
2016-06-16,63.99,64.63,62.52,64.39,1814719
2016-06-17,64.06,64.77,62.85,63.08,2014676
2016-06-20,63.98,65.75,63.62,64.66,2160949
2016-06-21,64.91,64.91,63.63,64.51,1026670
2016-06-22,64.34,65.3,64.16,64.74,912839
2016-06-23,65.32,66.44,65.02,65.98,1442855
2016-06-24,62.71,64.37,61.36,61.87,4606873
2016-06-27,61.2,61.66,58.96,60.03,3190199
2016-06-28,60.69,61.6,60.3,61.15,1538798
2016-06-29,61.97,64.23,61.87,63.89,1966191
2016-06-30,64.02,64.85,63.4,64.3,1321134
2016-07-01,64.3,65.36,64.28,64.61,1066335
2016-07-05,64.15,64.58,63.75,64.3,1430042
2016-07-06,63.88,65.12,63.81,64.98,1512486
2016-07-07,65.13,66.17,65.0,65.61,1456693
2016-07-08,66.09,67.46,66.08,67.13,1495881
2016-07-11,67.19,68.53,67.18,68.2,1310539
2016-07-12,68.59,70.38,68.33,69.72,2220535
2016-07-13,69.89,70.36,68.2,68.59,2552370
2016-07-14,69.36,69.91,68.38,68.53,1197262
2016-07-15,68.91,68.91,67.75,68.26,990690
2016-07-18,68.06,69.11,67.87,68.74,1086966
2016-07-19,68.49,68.73,68.08,68.55,734202
2016-07-20,68.58,69.8,68.11,69.29,1228833
2016-07-21,69.36,69.69,68.22,68.69,1029809
2016-07-22,69.14,70.23,68.49,70.09,1254142
2016-07-25,70.02,70.31,69.45,70.06,1099133
2016-07-26,70.05,71.06,69.66,69.94,1338425
2016-07-27,70.05,70.22,69.48,69.85,1544054
2016-07-28,71.1,71.69,69.67,71.23,1568938
2016-07-29,69.5,70.44,69.17,69.97,2420622
2016-08-01,70.09,70.7,69.4,70.45,2078481
2016-08-02,70.28,70.28,68.24,69.41,2607137
2016-08-03,69.31,70.37,68.8,69.49,3674489
2016-08-04,64.0,66.13,62.69,63.59,8795389
2016-08-05,63.04,63.6,60.73,60.81,5439567
2016-08-08,61.0,61.86,60.68,61.84,3592672
2016-08-09,62.02,62.3,60.74,61.1,3539224
2016-08-10,61.18,61.66,60.94,61.25,2396124
