Date,Open,High,Low,Close,Volume
2016-01-04,230.72,231.38,219.0,223.41,6819737
2016-01-05,226.36,226.89,220.0,223.43,3186752
2016-01-06,220.0,220.05,215.98,219.04,3779128
2016-01-07,214.19,218.44,213.67,215.65,3554251
2016-01-08,217.86,220.44,210.77,211.0,3628058
2016-01-11,214.01,214.45,203.0,207.85,4091422
2016-01-12,211.6,213.74,205.31,209.97,3091917
2016-01-13,212.01,212.65,200.0,200.31,4039093
2016-01-14,202.21,210.0,193.38,206.18,6452623
2016-01-15,198.97,205.07,197.25,204.99,5322235
2016-01-19,208.71,210.47,200.78,204.72,3997509
2016-01-20,199.4,201.28,191.25,198.7,5825431
2016-01-21,201.55,203.23,195.02,199.97,3163432
2016-01-22,204.8,205.5,199.03,202.55,3120106
2016-01-25,200.06,203.57,195.88,196.38,2694564
2016-01-26,196.7,197.82,188.88,193.56,4946841
2016-01-27,192.38,193.26,185.77,188.07,3565378
2016-01-28,190.79,191.28,182.41,189.7,4581652
2016-01-29,189.95,193.74,188.08,191.2,2841003
2016-02-01,188.76,199.52,182.75,196.94,5293766
2016-02-02,192.42,193.12,180.23,182.78,5762855
2016-02-03,183.59,183.94,170.18,173.48,7879454
2016-02-04,170.7,175.98,166.99,175.33,4363924
2016-02-05,171.3,173.0,157.74,162.6,9426933
2016-02-08,157.1,157.15,146.0,147.99,9297941
2016-02-09,142.32,159.79,141.05,148.25,8575099
2016-02-10,150.5,154.97,141.74,143.67,9067292
2016-02-11,152.0,163.26,147.0,150.47,14231392
2016-02-12,155.0,157.01,143.7,151.04,7202970
2016-02-16,158.7,162.95,154.11,155.17,5556314
2016-02-17,159.0,169.34,156.68,168.68,5807071
2016-02-18,172.42,172.95,164.77,166.77,3785336
2016-02-19,163.66,167.49,162.5,166.58,2952880
2016-02-22,170.12,178.91,169.85,177.74,5051180
2016-02-23,176.16,181.73,173.68,177.21,5968028
2016-02-24,172.75,179.5,167.84,179.0,5380712
2016-02-25,178.65,188.52,175.2,187.43,5720514
2016-02-26,188.7,192.0,185.0,190.34,6052910
2016-02-29,192.4,196.35,189.22,191.93,4479719
2016-03-01,194.25,195.95,182.7,186.35,6701674
2016-03-02,183.73,188.52,181.5,188.34,4832986
