Date,Open,High,Low,Close,Volume
2016-01-04,201.0,204.2,197.8,199.3,10631247
2016-01-05,201.8,201.8,198.4,199.2,6163857
2016-01-06,199.3,199.5,194.9,197.0,6581304
2016-01-07,192.3,193.98,190.05,192.2,10658460
2016-01-08,193.2,195.8,192.56,193.7,9731961
2016-01-11,193.1,197.7,191.08,194.9,12029937
2016-01-12,196.5,200.02,196.13,198.9,9009073
2016-01-13,200.2,201.3,197.3,199.0,7396214
2016-01-14,196.5,197.08,188.7,189.0,12314070
2016-01-15,188.5,190.9,183.5,183.9,13703390
2016-01-18,183.2,185.0,179.3,179.8,6973733
2016-01-19,183.0,185.8,181.0,184.8,9326041
2016-01-20,181.4,183.9,178.6,179.6,11428076
2016-01-21,180.5,181.59,174.91,179.4,10717202
2016-01-22,181.7,182.8,179.5,181.5,8219855
2016-01-25,183.2,183.9,180.9,183.7,5551886
2016-01-26,182.9,185.3,181.3,184.3,6459411
2016-01-27,183.5,189.0,183.48,189.0,10280805
2016-01-28,187.8,189.41,184.4,186.1,7734775
2016-01-29,187.9,192.4,185.6,192.4,9915883
2016-02-01,194.8,195.8,191.9,195.2,7038515
2016-02-02,194.8,194.9,191.9,192.7,7916386
2016-02-03,192.7,194.7,190.63,191.3,8321016
2016-02-04,194.2,194.2,188.0,189.1,8183157
2016-02-05,188.7,191.1,182.8,182.8,11102510
2016-02-08,183.7,184.09,169.5,170.3,14449607
2016-02-09,170.1,173.48,166.74,169.8,14909425
2016-02-10,170.8,178.5,168.9,175.6,11091090
2016-02-11,173.6,174.1,167.2,168.8,12298414
2016-02-12,170.0,171.1,166.01,170.8,12261832
2016-02-15,175.1,175.5,171.5,171.6,9734815
2016-02-16,172.9,174.7,171.5,173.4,8581548
2016-02-17,174.0,180.1,173.5,179.6,7246041
2016-02-18,180.9,185.1,179.4,183.1,10492178
2016-02-19,182.4,185.1,182.0,183.7,5810349
2016-02-22,185.5,187.06,174.5,175.0,8511799
2016-02-23,175.0,178.7,174.89,176.5,11699970
2016-02-24,176.6,179.67,175.2,177.6,8043307
2016-02-25,179.0,181.8,175.27,181.8,7697891
2016-02-26,184.5,187.06,183.75,185.6,7669010
2016-02-29,184.0,188.97,184.0,186.2,9869607
2016-03-01,183.1,189.6,183.1,187.2,9909299
2016-03-02,189.5,190.5,179.91,182.3,10476268
2016-03-03,182.2,182.5,177.1,178.2,10942628
2016-03-04,178.4,179.2,173.8,176.8,12524084
2016-03-07,176.2,179.8,174.4,175.9,9757367
2016-03-08,174.8,174.8,171.93,173.2,8728064
2016-03-09,173.9,177.9,172.5,176.3,11928770
