Date,Open,High,Low,Close,Volume
2016-01-04,53.55,54.34,53.37,54.34,7835496
2016-01-05,54.27,54.47,53.55,53.77,6131951
2016-01-06,52.95,53.89,52.72,53.42,8520820
2016-01-07,52.39,52.94,51.37,51.7,10526686
2016-01-08,51.52,51.98,50.24,50.36,9619993
2016-01-11,50.83,51.5,50.48,51.21,7000577
2016-01-12,51.73,51.84,50.82,51.53,5075810
2016-01-13,51.52,51.81,49.8,49.82,6753118
2016-01-14,49.98,50.67,49.53,50.03,10401034
2016-01-15,47.89,48.69,46.73,48.03,15786760
2016-01-19,48.62,48.93,47.81,48.22,9025942
2016-01-20,47.91,49.28,47.4,49.01,13410113
2016-01-21,49.66,50.86,49.01,49.83,10093922
2016-01-22,50.84,51.23,50.14,50.3,6335553
2016-01-25,50.35,51.0,50.0,50.08,7622117
2016-01-26,50.38,51.06,50.03,50.7,7708294
2016-01-27,50.41,51.56,49.97,50.67,9661007
2016-01-28,50.68,52.0,50.39,51.13,10033274
2016-01-29,51.32,52.94,50.99,52.93,10426791
2016-02-01,52.3,53.27,52.3,52.83,6300341
2016-02-02,52.12,52.5,50.64,50.64,9395133
2016-02-03,50.15,50.71,49.1,50.25,11309446
2016-02-04,50.46,51.62,50.01,51.26,9765151
2016-02-05,51.2,51.41,49.5,49.88,7802608
2016-02-08,49.26,51.23,49.1,50.9,15723146
2016-02-09,50.53,51.63,50.09,50.68,7302573
2016-02-10,51.33,51.7,50.59,50.75,7319154
2016-02-11,49.85,50.78,49.74,50.38,6077665
2016-02-12,51.06,51.4,49.99,51.14,7977286
2016-02-16,51.14,52.77,51.14,52.54,6435391
2016-02-17,52.96,53.72,52.73,53.69,6037314
2016-02-18,53.64,53.82,53.0,53.06,5919439
2016-02-19,52.83,52.94,52.41,52.76,6279745
2016-02-22,53.29,53.58,53.05,53.3,4326315
2016-02-23,53.03,53.36,52.12,52.24,3815123
2016-02-24,51.83,52.58,51.31,52.46,4919995
2016-02-25,52.81,53.11,51.86,53.11,3872622
2016-02-26,53.49,53.5,53.11,53.3,3523149
2016-02-29,53.4,53.82,52.97,53.02,4419882
2016-03-01,53.47,54.22,53.0,54.22,4900876
2016-03-02,54.34,54.63,53.98,54.42,4100879
2016-03-03,54.59,54.93,54.07,54.87,4044253
2016-03-04,55.0,55.27,54.4,54.89,4233177
2016-03-07,54.54,55.54,54.49,55.49,3747606
2016-03-08,54.99,55.15,54.42,54.53,4264051
2016-03-09,54.7,55.14,54.54,54.75,3631850
2016-03-10,55.45,55.64,54.62,55.49,4821684
2016-03-11,55.93,56.21,55.75,56.06,4871678
2016-03-14,55.8,56.0,55.26,55.61,3453219
2016-03-15,55.42,55.74,55.07,55.73,3407503
2016-03-16,55.7,56.28,55.35,56.14,3319675
2016-03-17,55.93,56.81,55.92,56.6,4501872
2016-03-18,56.79,57.25,56.52,57.09,7888466
2016-03-21,56.9,57.06,56.38,57.02,3072474
2016-03-22,56.74,57.2,56.52,56.9,3498208
2016-03-23,56.97,56.99,56.55,56.6,3100980
2016-03-24,56.49,56.73,56.19,56.7,2262375
