Date,Open,High,Low,Close,Volume
2016-01-04,2900.0,2900.0,2808.0,2821.0,2383061
2016-01-05,2830.0,2854.5,2797.5,2850.5,1565812
2016-01-06,2840.0,2844.0,2785.5,2818.0,2355624
2016-01-07,2757.5,2802.5,2741.5,2792.0,2327673
2016-01-08,2805.0,2813.5,2777.5,2778.5,2292670
2016-01-11,2783.5,2800.61,2755.0,2763.0,1479952
2016-01-12,2768.0,2836.0,2751.5,2827.5,2711661
2016-01-13,2870.0,2882.0,2850.5,2860.5,2619410
2016-01-14,2840.0,2840.0,2792.5,2820.0,2275233
2016-01-15,2816.0,2833.0,2767.5,2798.5,2857691
2016-01-18,2794.5,2850.5,2789.5,2843.0,2684749
2016-01-19,2897.5,2934.9,2865.0,2934.0,3044438
2016-01-20,2889.0,2899.5,2812.0,2832.0,3643482
2016-01-21,2835.0,2896.0,2835.0,2877.0,3486498
2016-01-22,2910.5,2936.5,2896.5,2919.0,2354202
2016-01-25,2947.0,2967.0,2931.5,2950.5,2050464
2016-01-26,2919.5,2959.0,2901.5,2955.5,2616435
2016-01-27,2945.0,3005.0,2936.0,3005.0,2726940
2016-01-28,2991.5,3003.5,2942.0,2966.5,1919981
2016-01-29,3001.5,3085.0,2987.0,3085.0,3410856
2016-02-01,3089.0,3098.0,3048.0,3071.5,2626959
2016-02-02,3064.0,3078.0,3027.29,3078.0,2965250
2016-02-03,3059.5,3078.21,3007.0,3020.0,3232187
2016-02-04,3037.5,3038.0,2936.0,2953.5,3356066
2016-02-05,2971.5,2999.0,2959.0,2981.07,3528702
2016-02-08,2987.5,2987.5,2923.0,2939.5,4027197
2016-02-09,2952.5,2979.0,2915.0,2931.5,3875889
2016-02-10,2965.0,2989.0,2925.5,2940.5,3050201
2016-02-11,2905.0,2926.5,2869.5,2905.0,3862333
2016-02-12,2911.0,2944.5,2893.5,2944.5,3279643
2016-02-15,2984.5,3030.0,2944.0,3012.0,1857655
2016-02-16,3022.5,3058.0,2998.46,3015.0,2258158
2016-02-17,3029.0,3050.0,3029.0,3050.0,2161200
2016-02-18,3062.0,3070.5,3013.0,3025.5,2274576
2016-02-19,3031.5,3041.5,3018.0,3036.6,2103395
2016-02-22,3070.5,3103.5,3066.0,3082.0,1866894
2016-02-23,3063.5,3090.0,3049.0,3066.0,1878260
2016-02-24,3069.5,3073.0,3028.5,3038.0,2003102
2016-02-25,3070.0,3116.5,3069.5,3092.95,2056115
2016-02-26,3128.5,3150.0,3096.78,3097.0,1726657
2016-02-29,3069.0,3093.55,3041.7,3092.0,2249432
2016-03-01,3081.0,3150.18,3071.0,3148.5,1573326
2016-03-02,3154.5,3155.0,3047.5,3073.5,2402514
2016-03-03,3072.0,3078.5,3034.0,3057.5,1860285
2016-03-04,3077.0,3132.5,3056.4,3109.0,1946511
2016-03-07,3098.0,3110.0,3069.5,3087.0,1594589
2016-03-08,3058.5,3113.0,3036.5,3110.0,1656456
2016-03-09,3107.0,3140.0,3097.5,3119.5,1517088
2016-03-10,3126.5,3190.5,3081.5,3081.5,2911765
2016-03-11,3112.0,3125.0,3086.5,3096.0,1815788
2016-03-14,3099.0,3125.0,3088.5,3110.5,1516312
2016-03-15,3088.0,3158.0,3086.5,3143.5,1887352
2016-03-16,3154.0,3162.0,3117.6,3124.5,1296010
2016-03-17,3137.0,3145.5,3064.6,3110.0,2137002
2016-03-18,3122.5,3123.33,3088.5,3098.5,3176453
2016-03-21,3090.0,3108.5,3078.5,3100.0,1570615
2016-03-22,3077.5,3102.5,3041.0,3102.5,2043595
2016-03-23,3115.0,3169.5,3110.73,3165.0,2081352
2016-03-24,3148.0,3164.5,3134.5,3141.0,1653267
2016-03-29,3138.5,3175.5,3138.5,3167.4,1612652
2016-03-30,3172.0,3215.6,3170.5,3190.0,1781992
2016-03-31,3181.0,3183.0,3146.0,3152.5,1824321
2016-04-01,3110.0,3169.0,3082.5,3165.0,1981358
2016-04-04,3171.0,3222.0,3159.0,3178.0,1702733
2016-04-05,3169.5,3200.0,3158.5,3189.0,2053531
2016-04-06,3198.5,3242.0,3170.75,3242.0,1804431
2016-04-07,3248.0,3268.0,3227.64,3241.0,1734490
2016-04-08,3258.5,3266.0,3217.0,3238.5,1395354
2016-04-11,3234.5,3251.0,3209.84,3235.5,1854465
2016-04-12,3232.0,3247.0,3208.5,3239.5,2189463
2016-04-13,3267.5,3272.5,3242.8,3263.5,2806726
2016-04-14,3221.0,3304.0,3203.0,3284.5,2625345
2016-04-15,3270.5,3300.5,3258.05,3279.5,2461266
2016-04-18,3263.0,3293.0,3258.5,3279.0,1789674
2016-04-19,3279.0,3334.5,3271.56,3331.0,2671003
2016-04-20,3309.0,3333.0,3295.1,3330.0,2466798
2016-04-21,3326.0,3329.5,3243.0,3269.0,2933554
2016-04-22,3255.0,3265.5,3167.0,3191.0,2209498
2016-04-25,3180.0,3212.0,3159.0,3187.0,2529833
2016-04-26,3192.5,3219.0,3137.93,3147.5,2209526
2016-04-27,3133.5,3137.5,3114.5,3131.0,2132410
2016-04-28,3097.5,3107.62,3050.0,3107.0,2295297
2016-04-29,3087.5,3096.0,3039.5,3054.5,1872988
2016-05-03,3075.0,3100.0,3041.0,3083.5,2333397
2016-05-04,3081.5,3092.38,3048.5,3083.0,1882116
2016-05-05,3094.0,3110.0,3070.5,3095.5,1248950
2016-05-06,3090.0,3109.0,3056.0,3107.5,1519731
2016-05-09,3132.5,3160.85,3121.0,3154.5,1547209
2016-05-10,3177.0,3213.21,3144.5,3157.0,1507201
2016-05-11,3150.0,3163.0,3131.5,3150.5,1418784
2016-05-12,3142.5,3180.0,3123.0,3139.0,1794164
2016-05-13,3134.5,3176.0,3113.5,3165.5,1282642
2016-05-16,3138.5,3169.5,3115.0,3163.0,1225277
2016-05-17,3152.0,3194.71,3105.0,3106.5,1662672
