Date,Open,High,Low,Close,Volume
2016-01-04,219.5,219.65,215.38,216.0,69177710
2016-01-05,220.0,221.4,216.0,219.7,50963238
2016-01-06,219.75,220.75,218.05,219.15,52533087
2016-01-07,215.05,219.2,214.5,218.2,68180382
2016-01-08,219.95,225.75,218.15,223.05,84101262
2016-01-11,224.95,225.5,220.7,220.8,51867219
2016-01-12,220.45,223.0,219.5,221.3,43857437
2016-01-13,223.9,224.55,221.3,222.5,31683637
2016-01-14,220.05,221.0,215.8,220.2,48759921
2016-01-15,219.45,221.0,214.35,216.25,73614987
2016-01-18,215.45,218.3,212.22,213.45,37571789
2016-01-19,215.4,217.15,213.45,216.8,46869604
2016-01-20,214.05,214.18,208.4,209.85,66333303
2016-01-21,209.85,213.75,208.4,213.75,59108983
2016-01-22,217.2,220.1,213.75,217.8,50897127
2016-01-25,221.1,221.15,217.35,218.5,39515958
2016-01-26,215.95,219.44,213.25,218.65,47260483
2016-01-27,219.3,223.2,217.9,223.2,45292871
2016-01-28,222.9,223.15,213.8,215.3,64317506
2016-01-29,218.55,223.9,217.4,223.9,74072367
2016-02-01,223.7,226.5,221.15,225.45,52574487
2016-02-02,225.45,233.1,220.5,221.55,97656574
2016-02-03,220.25,221.35,211.9,212.9,72894764
2016-02-04,217.0,217.55,208.5,210.6,92177441
2016-02-05,211.5,214.3,206.3,207.0,69023485
2016-02-08,208.05,209.35,199.0,200.2,70221595
2016-02-09,201.15,204.45,199.15,201.15,65905245
2016-02-10,203.25,204.4,200.0,202.1,50855289
2016-02-11,201.25,203.4,197.7,200.6,65691695
2016-02-12,202.6,205.5,200.6,205.45,53596976
2016-02-15,209.4,211.4,208.37,209.45,35782684
2016-02-16,209.5,211.0,208.0,211.0,56433082
2016-02-17,212.4,217.85,211.35,217.3,54570189
2016-02-18,215.0,216.9,214.3,215.55,61538506
2016-02-19,215.95,217.35,211.85,212.95,42248981
2016-02-22,215.15,216.7,214.5,215.65,46417096
2016-02-23,215.5,216.4,213.25,213.9,41632123
2016-02-24,214.0,215.0,210.8,210.85,47090445
2016-02-25,214.0,218.1,213.9,218.0,40702677
2016-02-26,220.0,220.75,217.0,218.85,35825648
2016-02-29,217.05,220.2,216.45,219.7,46437390
2016-03-01,220.2,222.8,218.55,222.6,35477358
2016-03-02,224.0,224.0,220.0,221.7,28501860
2016-03-03,222.0,223.25,220.12,221.25,27660748
2016-03-04,221.95,223.75,220.65,221.25,33593712
2016-03-07,220.3,220.3,215.65,218.3,38926825
2016-03-08,216.15,219.05,215.1,217.65,31370799
2016-03-09,218.95,219.5,215.35,215.4,44588219
2016-03-10,216.4,218.0,212.3,212.65,55185671
