Date,Open,High,Low,Close,Volume
2016-01-04,75.36,75.36,74.41,75.3,1342780
2016-01-05,75.21,75.58,74.73,75.03,1027121
2016-01-06,74.01,75.2,73.75,74.64,961934
2016-01-07,73.3,73.81,72.48,73.04,1274635
2016-01-08,73.39,73.96,72.78,73.37,1255595
2016-01-11,73.7,74.35,73.54,74.04,1081602
2016-01-12,74.3,74.88,73.71,74.53,873881
2016-01-13,74.52,74.69,71.87,71.89,1785852
2016-01-14,72.02,73.0,71.51,72.35,1284691
2016-01-15,70.53,72.3,70.22,72.06,1669502
2016-01-19,72.71,73.68,70.54,71.53,1392228
2016-01-20,70.76,71.67,69.1,70.97,1531178
2016-01-21,71.32,71.7,69.99,70.44,1453271
2016-01-22,71.56,71.94,70.75,71.14,1128232
2016-01-25,70.78,71.35,69.5,69.95,1495790
2016-01-26,70.19,71.31,69.97,71.2,781695
2016-01-27,71.24,72.25,70.59,70.84,763386
2016-01-28,71.15,71.97,70.69,71.21,1109229
2016-01-29,71.63,73.67,71.28,73.0,1541952
2016-02-01,72.33,72.48,71.66,72.11,1475778
2016-02-02,71.15,71.23,70.34,70.72,1431538
2016-02-03,70.84,71.3,68.08,68.87,1822342
2016-02-04,68.95,69.62,68.52,68.93,1437947
2016-02-05,68.69,69.2,67.65,67.93,1009286
2016-02-08,67.37,67.74,64.79,65.95,1413557
2016-02-09,65.68,68.35,65.68,67.77,1287573
2016-02-10,68.19,68.94,66.81,66.89,1435805
2016-02-11,65.54,66.72,65.02,66.35,1525263
2016-02-12,67.2,68.27,66.97,68.06,1149685
2016-02-16,68.41,69.19,67.97,68.22,1598826
2016-02-17,68.71,69.81,68.04,68.39,1778986
2016-02-18,68.64,69.55,68.26,68.45,976391
2016-02-19,68.27,68.59,67.6,67.95,1373867
2016-02-22,68.49,69.36,68.41,68.48,1978768
2016-02-23,68.07,68.65,67.61,68.01,1769274
2016-02-24,67.1,72.08,67.07,71.65,3287900
2016-02-25,72.36,73.93,71.89,73.9,1744552
2016-02-26,74.12,74.55,73.64,74.03,989637
2016-02-29,74.02,74.25,72.8,72.84,987139
2016-03-01,73.23,74.56,72.7,74.34,927161
2016-03-02,74.46,74.7,73.63,74.66,1044865
2016-03-03,74.43,76.21,74.17,76.15,1062627
2016-03-04,76.4,77.23,75.51,76.7,912639
2016-03-07,75.82,76.62,75.72,76.14,614496
2016-03-08,75.86,76.41,75.01,75.65,1056726
2016-03-09,75.92,76.82,75.57,76.48,652614
2016-03-10,76.68,76.81,74.9,75.74,486081
2016-03-11,76.65,76.75,75.45,76.3,677309
2016-03-14,76.15,76.79,75.43,76.59,625221
2016-03-15,76.15,76.83,75.02,76.46,744129
2016-03-16,75.98,77.15,75.24,76.91,500428
2016-03-17,76.93,77.35,76.27,77.19,624449
2016-03-18,77.55,78.03,76.77,77.48,1013853
2016-03-21,77.4,78.06,76.86,78.0,578869
2016-03-22,77.47,78.46,77.16,77.87,824114
2016-03-23,77.62,77.93,77.11,77.52,502440
2016-03-24,76.48,78.22,76.41,77.61,391129
2016-03-28,78.01,78.36,77.3,77.76,638969
2016-03-29,77.55,78.79,77.55,78.63,691153
2016-03-30,79.13,79.17,78.22,78.73,336062
2016-03-31,78.94,80.44,78.75,79.92,972172
2016-04-01,79.64,80.26,79.29,80.19,690397
2016-04-04,80.01,81.59,79.19,79.45,691402
2016-04-05,78.8,79.4,78.48,78.71,479262
2016-04-06,78.55,79.8,78.42,79.75,467048
2016-04-07,79.11,79.74,78.17,78.27,754691
2016-04-08,78.05,78.12,77.28,77.58,644745
2016-04-11,77.97,77.99,76.76,76.84,536837
2016-04-12,76.98,77.84,76.93,77.74,450005
2016-04-13,78.0,78.7,77.76,78.57,554963
2016-04-14,78.55,78.69,77.44,77.86,653947
2016-04-15,77.86,78.29,77.43,78.15,475486
2016-04-18,78.19,78.9,77.86,78.61,523253
2016-04-19,78.72,79.01,78.31,78.6,435806
2016-04-20,78.61,78.96,78.16,78.59,481959
2016-04-21,78.44,78.77,78.01,78.06,516070
2016-04-22,77.81,78.61,77.81,78.19,566527
2016-04-25,78.18,78.54,77.93,78.43,389319
2016-04-26,78.11,78.94,78.06,78.79,431677
2016-04-27,78.88,79.16,78.06,78.7,664407
2016-04-28,78.41,79.43,78.34,78.68,581637
2016-04-29,78.07,78.46,77.07,77.58,799631
2016-05-02,77.68,78.17,77.4,77.78,500689
2016-05-03,77.3,77.44,76.41,77.13,949637
2016-05-04,76.42,78.0,76.29,77.49,1006715
2016-05-05,77.42,77.95,77.06,77.23,733973
2016-05-06,76.89,78.01,76.8,77.85,674011
2016-05-09,78.01,78.44,77.46,77.77,512338
2016-05-10,78.13,78.84,77.89,78.76,411603
2016-05-11,78.63,78.7,77.35,77.46,488479
2016-05-12,77.8,78.1,76.96,77.81,580076
2016-05-13,77.6,77.78,77.06,77.08,563787
2016-05-16,77.12,78.23,77.03,77.9,527524
2016-05-17,77.79,77.98,76.75,76.86,477354
2016-05-18,76.63,76.96,75.89,76.66,852951
2016-05-19,75.96,76.52,75.76,76.34,648166
2016-05-20,76.49,77.25,76.29,77.04,1123685
2016-05-23,77.06,77.29,76.84,76.99,371740
2016-05-24,77.26,79.02,77.06,78.79,473332
2016-05-25,78.9,79.49,78.62,79.18,490482
2016-05-26,79.0,79.28,78.68,78.98,324155
2016-05-27,78.93,79.57,78.93,79.26,473209
2016-05-31,79.57,79.62,78.91,79.39,952625
2016-06-01,79.06,79.44,78.94,79.44,539008
2016-06-02,79.1,79.99,79.0,79.98,480951
2016-06-03,79.43,80.03,79.03,79.78,1349671
2016-06-06,79.72,80.16,79.38,79.9,704011
2016-06-07,79.9,80.11,79.38,79.62,759079
2016-06-08,79.77,80.13,79.17,79.92,537299
2016-06-09,79.82,79.93,79.21,79.58,573098
2016-06-10,78.73,79.77,78.43,78.76,534372
2016-06-13,78.81,79.56,78.81,79.1,779219
2016-06-14,78.88,79.86,78.54,78.86,499706
2016-06-15,78.92,79.11,78.31,78.39,522847
2016-06-16,78.26,78.62,77.56,78.42,673607
2016-06-17,78.46,78.48,77.53,77.8,967243
2016-06-20,78.51,79.25,78.5,78.92,475722
2016-06-21,78.95,80.36,78.78,80.16,958288
2016-06-22,79.94,80.5,78.84,78.96,659802
2016-06-23,79.56,80.16,79.01,80.13,440715
2016-06-24,77.25,78.76,76.35,77.96,1596000
2016-06-27,77.31,78.0,75.72,76.0,730946
2016-06-28,76.6,77.91,76.1,77.47,597117
2016-06-29,77.83,79.18,77.02,79.16,571706
2016-06-30,79.37,81.09,78.02,81.08,863054
2016-07-01,81.08,81.43,80.58,80.93,462050
2016-07-05,80.64,81.72,80.64,81.62,664723
2016-07-06,81.26,81.76,80.74,81.66,545139
2016-07-07,81.57,82.15,81.27,81.85,465733
2016-07-08,82.21,83.4,82.07,83.4,659968
2016-07-11,83.48,84.44,83.18,84.02,805274
2016-07-12,84.5,84.62,83.85,84.48,570865
2016-07-13,85.0,85.0,84.35,84.71,492047
2016-07-14,85.2,85.71,84.96,85.6,614553
2016-07-15,86.0,86.0,85.08,85.24,476294
2016-07-18,85.47,85.54,84.98,85.06,474276
2016-07-19,84.75,85.56,84.66,85.54,397404
2016-07-20,85.6,85.88,85.35,85.4,393455
2016-07-21,85.17,85.34,84.54,84.8,460122
2016-07-22,85.15,85.89,84.84,85.75,524250
2016-07-25,85.72,85.75,85.16,85.52,308490
2016-07-26,85.44,85.73,85.02,85.36,365574
2016-07-27,85.26,85.42,84.84,85.17,420110
2016-07-28,85.2,85.71,84.59,85.54,332356
2016-07-29,85.58,85.61,84.95,85.28,617031
2016-08-01,85.15,85.45,84.76,84.86,522130
2016-08-02,84.83,84.94,83.71,83.72,839135
2016-08-03,81.6,81.94,78.27,79.43,2014394
2016-08-04,79.65,81.31,79.6,81.13,1166947
2016-08-05,81.27,82.63,81.19,82.17,875503
2016-08-08,82.2,82.52,81.32,81.51,643598
2016-08-09,81.68,82.15,81.2,81.73,412570
2016-08-10,81.6,81.6,81.02,81.45,445663
2016-08-11,81.73,82.02,81.51,81.57,274135
2016-08-12,81.25,81.57,80.65,81.42,386211
2016-08-15,81.77,81.77,81.28,81.63,524186
2016-08-16,81.6,81.79,81.05,81.59,619938
2016-08-17,81.89,81.9,80.98,81.76,887161
2016-08-18,81.75,81.99,81.22,81.69,587476
2016-08-19,81.42,81.96,81.15,81.95,465616
2016-08-22,81.46,82.63,81.44,82.27,545269
2016-08-23,82.47,82.47,82.03,82.29,463424
2016-08-24,82.22,82.7,82.0,82.11,418023
2016-08-25,82.12,83.05,82.0,83.0,784017
2016-08-26,83.36,84.04,82.8,83.14,619590
2016-08-29,83.07,83.44,83.0,83.1,476519
2016-08-30,82.94,83.25,82.8,83.0,583598
2016-08-31,83.1,83.28,82.79,83.05,780252
2016-09-01,83.27,83.55,82.84,83.3,728884
2016-09-02,83.94,84.22,83.05,83.84,596513
2016-09-06,83.7,84.08,83.39,84.06,643377
2016-09-07,83.92,84.16,83.52,83.62,526765
2016-09-08,83.44,83.72,82.82,82.82,539453
2016-09-09,82.03,82.83,81.95,81.96,1054277
2016-09-12,81.98,83.98,81.49,82.75,786599
2016-09-13,81.99,82.16,81.26,81.81,840775
2016-09-14,81.84,82.18,80.96,81.14,495695
2016-09-15,81.12,81.76,80.69,81.49,627989
2016-09-16,80.99,81.32,80.43,80.64,1402721
2016-09-19,80.98,81.35,80.42,80.72,437433
2016-09-20,81.06,81.32,80.53,80.57,560046
2016-09-21,80.73,81.14,80.15,80.86,426943
2016-09-22,81.21,81.31,80.81,81.05,1059062
2016-09-23,81.08,81.66,80.57,81.32,1638351
2016-09-26,80.78,81.47,80.34,81.12,654112
2016-09-27,80.99,81.73,80.92,81.39,767840
2016-09-28,81.55,81.9,81.0,81.87,839778
2016-09-29,81.89,82.18,80.84,81.05,523952
2016-09-30,81.49,81.72,81.22,81.28,947556
2016-10-03,80.93,81.5,80.54,81.23,634740
2016-10-04,81.24,81.31,80.56,80.65,881305
2016-10-05,80.88,81.06,80.19,80.3,553290
2016-10-06,80.32,80.5,79.27,79.75,729679
2016-10-07,79.71,79.96,79.25,79.61,521985
2016-10-10,79.8,80.42,79.8,80.1,373454
2016-10-11,79.82,80.07,79.16,79.4,648135
2016-10-12,79.25,79.8,79.05,79.52,546100
2016-10-13,79.05,79.66,78.6,79.36,560580
2016-10-14,79.47,80.14,79.3,79.37,580196
2016-10-17,79.42,79.82,79.32,79.47,385374
2016-10-18,79.97,81.49,79.71,80.34,926937
2016-10-19,80.18,81.25,80.18,80.45,739507
2016-10-20,80.5,80.92,79.75,80.08,651052
2016-10-21,79.84,81.28,79.31,81.26,877967
2016-10-24,81.82,82.43,81.76,82.22,830350
2016-10-25,82.23,82.28,81.76,82.09,670990
2016-10-26,82.02,82.58,81.4,81.43,1298854
2016-10-27,81.58,81.93,81.05,81.25,1233271
2016-10-28,81.43,82.19,81.26,81.35,718815
2016-10-31,81.68,82.1,81.54,81.55,813209
2016-11-01,81.68,81.68,80.67,80.94,1130995
2016-11-02,81.4,83.29,81.12,82.21,1829029
2016-11-03,82.57,82.99,82.08,82.41,1092256
2016-11-04,81.83,82.85,81.73,81.76,780158
2016-11-07,82.86,83.2,82.48,83.1,1228458
2016-11-08,82.95,83.23,82.58,82.89,676408
2016-11-09,80.88,83.4,80.88,83.33,933323
2016-11-10,83.58,84.29,82.65,83.12,979419
2016-11-11,82.83,83.71,82.83,83.13,1231396
2016-11-14,83.39,83.6,82.73,82.83,1291181
2016-11-15,83.01,83.58,82.5,82.69,2155447
2016-11-16,82.68,83.06,82.06,82.3,852902
2016-11-17,82.5,83.02,82.44,83.0,1277355
2016-11-18,82.83,83.53,82.82,83.16,1905749
2016-11-21,83.4,83.91,83.16,83.75,791019
2016-11-22,84.0,84.0,83.68,83.96,845041
