Date,Open,High,Low,Close,Volume
2016-01-04,83.7,83.77,82.12,83.05,6334633
2016-01-05,82.79,83.08,80.83,80.87,7603141
2016-01-06,80.54,81.26,79.43,79.63,11659237
2016-01-07,82.4,82.4,79.03,81.17,11361954
2016-01-08,81.88,83.0,80.92,81.05,9767884
2016-01-11,81.77,82.35,79.86,81.02,5354945
2016-01-12,81.58,81.98,80.81,81.82,4143791
2016-01-13,81.83,82.19,79.62,79.93,4972239
2016-01-14,80.0,82.74,79.78,81.87,5352912
2016-01-15,79.48,80.75,78.95,79.93,7487530
2016-01-19,80.92,81.64,79.86,80.7,5432627
2016-01-20,79.2,80.22,77.0,79.45,5380164
2016-01-21,79.45,79.92,78.53,78.98,4446509
2016-01-22,80.63,81.09,79.61,80.84,3447707
2016-01-25,80.62,80.94,78.56,78.71,3390817
2016-01-26,78.8,79.8,78.8,79.44,3557156
2016-01-27,79.98,80.46,77.97,78.45,3426136
2016-01-28,78.85,78.93,76.62,77.61,4435747
2016-01-29,78.58,79.74,77.14,79.72,4856945
2016-02-01,78.89,80.71,78.32,80.07,4934869
2016-02-02,79.09,79.29,77.71,78.0,4301196
2016-02-03,78.43,78.7,76.05,76.81,4465353
2016-02-04,76.76,77.33,75.11,77.19,5404087
2016-02-05,76.59,77.39,74.79,75.2,6150333
2016-02-08,74.18,74.18,71.5,72.91,8765122
2016-02-09,72.55,75.69,72.14,74.93,7167476
2016-02-10,75.66,77.5,75.0,76.01,4141072
2016-02-11,74.85,76.12,73.88,75.53,5035598
2016-02-12,76.59,77.11,75.84,77.08,4167495
2016-02-16,78.2,78.2,76.17,76.55,4751847
2016-02-17,77.19,78.24,76.63,78.16,4198065
2016-02-18,77.5,77.99,76.44,76.55,4001219
2016-02-19,76.44,77.59,75.95,77.57,4074426
2016-02-22,78.4,78.88,77.75,78.8,3340399
2016-02-23,78.47,78.94,77.7,78.73,3815642
2016-02-24,78.05,79.43,77.91,79.43,3578927
2016-02-25,79.48,79.94,78.56,79.92,3138238
2016-02-26,80.0,80.05,78.87,79.57,4505437
2016-02-29,79.35,79.93,78.79,78.94,3216483
2016-03-01,79.92,80.55,79.52,80.35,4244175
2016-03-02,80.3,80.49,78.63,79.46,4127949
2016-03-03,79.36,79.98,78.33,79.92,2542503
2016-03-04,80.0,80.09,79.04,79.45,2113345
2016-03-07,78.88,80.03,78.61,79.15,3586747
2016-03-08,78.94,81.45,78.71,80.39,3938451
2016-03-09,80.94,83.1,80.63,81.6,5018368
2016-03-10,81.6,81.85,79.47,80.66,3582147
2016-03-11,81.44,81.58,80.82,81.41,2540858
2016-03-14,81.12,81.86,81.0,81.52,1874226
2016-03-15,80.91,81.82,80.9,81.32,1974838
2016-03-16,81.21,82.22,80.94,82.1,3212093
2016-03-17,81.41,83.44,81.41,83.3,3832560
2016-03-18,83.76,84.58,83.06,83.94,8398477
2016-03-21,83.86,84.06,83.49,83.55,2596374
2016-03-22,83.16,83.34,82.26,82.8,2777827
2016-03-23,82.82,83.05,82.08,82.34,2088670
2016-03-24,82.24,82.34,81.72,82.33,1934369
