Date,Open,High,Low,Close,Volume
2016-01-04,59.32,60.52,58.86,60.4,3019952
2016-01-05,60.75,60.97,59.79,60.14,1563237
2016-01-06,59.73,59.84,58.12,58.8,2910897
2016-01-07,57.42,59.04,57.03,57.83,3030842
2016-01-08,57.96,58.06,54.79,55.39,3829431
2016-01-11,55.88,56.23,52.25,52.8,5479528
2016-01-12,53.19,54.23,51.5,52.36,5217010
2016-01-13,52.38,53.08,49.47,49.99,7333753
2016-01-14,50.33,50.43,48.14,49.25,5993090
2016-01-15,47.84,48.22,45.9,47.24,7166352
2016-01-19,48.13,48.26,45.54,46.45,4621440
2016-01-20,45.58,46.05,43.11,45.79,6382494
2016-01-21,46.09,46.09,43.14,43.94,7290647
2016-01-22,45.23,45.88,43.94,44.75,5538850
2016-01-25,44.74,44.74,42.28,42.47,5463065
2016-01-26,42.69,46.5,42.47,45.34,7893521
2016-01-27,45.62,45.91,43.5,43.67,6012447
2016-01-28,44.19,46.05,43.96,45.69,6411583
2016-01-29,46.15,51.09,46.01,47.98,11053296
2016-02-01,47.61,49.86,47.0,49.19,6411277
2016-02-02,48.85,49.25,46.6,46.89,3656590
2016-02-03,47.25,48.14,46.47,48.04,4072897
2016-02-04,47.92,51.16,47.89,49.14,6374369
2016-02-05,48.89,49.31,45.79,45.86,5215242
2016-02-08,45.37,45.45,40.94,41.91,7395209
2016-02-09,41.81,41.93,39.61,40.18,6509043
2016-02-10,40.48,41.03,39.7,40.23,4507708
2016-02-11,39.77,40.97,38.64,40.1,4894342
2016-02-12,40.51,41.3,39.15,41.08,3812082
2016-02-16,41.61,42.96,41.58,42.78,4180871
2016-02-17,43.08,44.19,42.69,43.29,4506193
2016-02-18,43.46,44.84,42.52,44.41,4592619
2016-02-19,44.23,44.35,42.63,44.12,3949139
2016-02-22,44.73,46.35,44.67,46.1,4247731
2016-02-23,43.31,45.5,42.6,42.77,8423512
2016-02-24,42.57,43.97,41.58,43.92,5514986
2016-02-25,43.68,44.26,42.18,43.99,4801961
2016-02-26,44.32,44.94,43.68,43.89,3387225
2016-02-29,43.07,44.13,42.62,43.53,5375590
2016-03-01,44.14,46.13,43.23,46.1,6966754
2016-03-02,46.18,47.48,45.32,47.35,5748252
2016-03-03,47.34,49.01,47.27,48.66,4404200
2016-03-04,48.62,49.75,47.69,48.86,5012510
2016-03-07,48.21,51.27,48.17,50.07,6167688
2016-03-08,50.0,50.07,46.35,46.44,6842400
2016-03-09,46.77,48.28,46.41,47.44,4792458
2016-03-10,47.88,48.37,46.2,47.89,4641024
2016-03-11,48.87,49.93,48.71,49.88,5183731
2016-03-14,49.43,49.8,47.39,48.19,4357960
2016-03-15,47.89,48.1,45.54,45.61,5349182
2016-03-16,45.52,46.5,44.74,46.13,4982324
2016-03-17,45.82,46.99,45.7,46.0,4225945
2016-03-18,46.29,49.09,46.0,49.02,11772657
2016-03-21,49.15,49.69,48.5,49.29,4093267
2016-03-22,48.53,51.68,48.51,51.34,6939749
2016-03-23,51.2,51.35,48.62,48.72,6571525
2016-03-24,48.63,48.7,46.71,48.12,5930071
2016-03-28,47.61,48.64,47.42,48.08,4257058
2016-03-29,48.0,48.58,46.78,48.32,4850616
2016-03-30,48.22,48.34,44.9,46.14,9772359
2016-03-31,46.11,47.4,45.59,47.24,5199450
2016-04-01,46.88,47.0,45.8,46.6,4007902
2016-04-04,46.41,47.0,45.97,46.27,3540940
2016-04-05,45.75,45.9,43.82,44.13,6059531
2016-04-06,44.03,44.78,42.41,44.72,6529442
2016-04-07,44.13,44.45,42.42,43.25,7548350
2016-04-08,43.4,44.32,42.78,43.1,4687102
2016-04-11,43.8,45.49,43.52,44.23,5016282
2016-04-12,44.94,44.94,43.03,43.97,4190732
2016-04-13,43.84,45.04,43.84,44.8,4679909
2016-04-14,42.35,42.35,40.71,41.82,14665665
2016-04-15,41.65,41.7,39.83,40.49,8106780
2016-04-18,40.5,41.32,40.1,41.03,4455066
2016-04-19,41.37,42.27,41.04,41.32,5378940
2016-04-20,41.51,43.93,41.33,43.28,6499191
2016-04-21,44.07,44.07,42.7,43.35,4493244
2016-04-22,43.36,44.84,43.21,43.66,4434031
