Date,Open,High,Low,Close,Volume
2016-01-04,3658.0,3673.0,3577.0,3587.0,469867
2016-01-05,3612.0,3659.0,3592.0,3634.0,327007
2016-01-06,3636.0,3637.0,3567.0,3593.0,342722
2016-01-07,3514.0,3532.83,3423.0,3444.0,811385
2016-01-08,3458.0,3480.0,3435.0,3446.0,627286
2016-01-11,3432.0,3467.0,3413.0,3424.0,309352
2016-01-12,3418.0,3467.0,3418.0,3450.0,510617
2016-01-13,3471.0,3502.0,3455.0,3459.0,357918
2016-01-14,3427.0,3427.0,3325.0,3403.0,809186
2016-01-15,3377.0,3403.0,3330.0,3354.0,795688
2016-01-18,3344.0,3402.0,3293.0,3295.0,371246
2016-01-19,3364.0,3401.0,3345.0,3367.0,606736
2016-01-20,3304.0,3322.0,3255.0,3272.0,701201
2016-01-21,3269.0,3373.0,3268.0,3364.0,848406
2016-01-22,3421.0,3521.0,3403.0,3486.0,897859
2016-01-25,3501.0,3508.0,3409.0,3426.0,649551
2016-01-26,3381.0,3417.0,3369.0,3411.0,658731
2016-01-27,3430.0,3460.0,3387.0,3444.0,645508
2016-01-28,3429.0,3439.0,3337.0,3354.0,626550
2016-01-29,3390.0,3463.0,3384.0,3463.0,746233
2016-02-01,3483.0,3489.0,3404.0,3451.0,401352
2016-02-02,3429.0,3432.0,3331.0,3351.0,387785
2016-02-03,3330.0,3333.0,3251.0,3282.0,814471
2016-02-04,3325.0,3351.0,3231.0,3325.0,961829
2016-02-05,3338.0,3399.0,3311.0,3317.0,642033
2016-02-08,3326.0,3349.0,3214.0,3230.0,587763
2016-02-09,3247.0,3308.0,3241.0,3303.0,1105744
2016-02-10,3322.0,3367.0,3276.0,3307.0,691776
2016-02-11,3280.0,3312.0,3236.0,3255.0,793298
2016-02-12,3285.0,3392.0,3281.0,3392.0,847418
2016-02-15,3451.0,3526.0,3425.0,3505.0,491689
2016-02-16,3520.0,3530.0,3461.0,3497.0,649677
2016-02-17,3502.0,3611.0,3502.0,3611.0,481913
2016-02-18,3616.0,3624.0,3551.0,3606.0,610600
2016-02-19,3605.0,3626.0,3567.0,3603.0,488018
2016-02-22,3625.0,3665.0,3608.0,3642.0,260014
2016-02-23,3639.0,3653.0,3601.0,3612.0,579397
2016-02-24,3607.0,3616.0,3546.0,3564.0,510425
2016-02-25,3614.0,3672.0,3606.0,3629.0,464188
2016-02-26,3664.0,3699.0,3644.0,3688.0,336631
2016-02-29,3668.0,3708.0,3644.0,3706.0,812525
2016-03-01,3683.0,3755.0,3679.0,3743.0,490882
2016-03-02,3764.0,3774.38,3711.0,3738.0,382764
2016-03-03,3738.0,3837.0,3731.0,3820.0,629628
2016-03-04,3826.0,3888.0,3809.0,3888.0,583380
2016-03-07,3874.0,3874.0,3800.0,3842.0,424903
2016-03-08,3802.0,3826.0,3748.0,3762.0,635575
2016-03-09,3766.0,3804.0,3750.0,3784.0,518179
2016-03-10,3778.0,3819.0,3706.0,3706.0,624865
2016-03-11,3758.0,3777.0,3742.0,3753.0,499321
2016-03-14,3759.0,3821.0,3754.0,3810.0,323037
2016-03-15,3794.0,3828.0,3777.0,3815.0,357648
2016-03-16,3834.0,3861.5,3820.0,3842.0,528124
2016-03-17,3863.0,3878.0,3785.0,3878.0,501039
2016-03-18,3895.0,3907.0,3830.0,3843.0,891498
2016-03-21,3833.0,3889.0,3814.0,3864.0,563976
2016-03-22,3820.0,3944.0,3759.0,3928.0,991857
2016-03-23,3917.0,3933.0,3887.0,3931.0,571492
2016-03-24,3902.0,3930.0,3878.0,3920.5,745890
2016-03-29,3888.0,3912.0,3850.0,3906.0,620658
2016-03-30,3923.0,3995.0,3923.0,3995.0,617329
2016-03-31,3965.0,3965.0,3924.0,3939.0,730711
2016-04-01,3925.0,3987.0,3920.0,3980.0,625928
2016-04-04,3968.0,4003.0,3955.0,3959.0,481404
2016-04-05,3935.0,3980.15,3915.0,3940.0,597847
2016-04-06,3954.0,3971.0,3911.0,3949.0,675071
2016-04-07,3952.0,3963.0,3862.37,3880.0,659315
2016-04-08,3896.0,3963.0,3893.11,3950.0,575991
2016-04-11,3945.0,3945.0,3898.0,3900.0,484280
2016-04-12,3912.0,3922.0,3878.0,3915.0,533350
2016-04-13,3943.0,3979.5,3936.0,3975.0,516675
2016-04-14,3979.0,3991.0,3918.0,3941.0,520366
2016-04-15,3946.0,3946.0,3843.0,3850.0,727995
2016-04-18,3818.0,3871.0,3810.0,3862.0,420051
2016-04-19,3870.0,3913.5,3869.0,3886.0,638398
2016-04-20,3867.0,3892.0,3854.0,3861.0,474499
2016-04-21,3863.0,3887.0,3836.0,3877.0,513272
2016-04-22,3874.0,3901.23,3851.0,3863.0,428470
2016-04-25,3907.0,3954.0,3902.0,3904.0,752134
2016-04-26,3903.0,3930.0,3890.0,3896.0,655396
2016-04-27,3896.0,3941.0,3894.24,3935.0,388159
2016-04-28,3907.0,3928.0,3866.3,3915.0,353636
2016-04-29,3875.0,3893.0,3821.0,3821.0,531034
2016-05-03,3827.0,3855.0,3817.0,3851.0,620622
2016-05-04,3855.0,3887.0,3832.0,3868.0,507256
2016-05-05,3884.0,3891.0,3843.45,3851.0,348168
2016-05-06,3851.0,3890.0,3818.0,3890.0,366362
2016-05-09,3905.0,3936.5,3901.0,3920.0,388743
2016-05-10,3946.0,3957.0,3883.0,3914.0,417356
2016-05-11,3907.0,3915.0,3887.0,3913.0,395800
2016-05-12,3895.0,3953.0,3866.0,3874.0,614393
2016-05-13,3864.0,3879.0,3819.0,3873.0,403299
2016-05-16,3845.0,3913.0,3845.0,3913.0,239583
2016-05-17,3925.0,3952.0,3900.0,3940.0,609006
2016-05-18,3929.0,3966.0,3929.0,3960.0,527048
2016-05-19,3942.0,3958.0,3911.0,3922.0,470804
2016-05-20,3950.0,3981.0,3931.06,3972.0,402952
2016-05-23,3986.0,4016.0,3962.0,4014.0,387208
