Date,Open,High,Low,Close,Volume
2016-01-04,304.9,306.1,301.4,302.9,3112180
2016-01-05,302.9,305.5,302.0,304.14,2193649
2016-01-06,303.2,312.8,302.2,309.8,2968262
2016-01-07,304.5,308.9,301.96,307.0,3656013
2016-01-08,308.5,315.0,307.0,309.48,4100787
2016-01-11,306.3,312.3,305.02,311.45,3141091
2016-01-12,311.5,315.2,309.7,315.0,5151421
2016-01-13,318.0,320.3,315.5,316.8,4032892
2016-01-14,314.4,316.44,307.1,310.01,2675428
2016-01-15,313.6,315.0,300.3,303.5,3786761
2016-01-18,303.0,306.1,299.8,302.11,1852229
2016-01-19,304.6,304.6,299.8,302.2,2979599
2016-01-20,297.7,298.1,287.7,287.8,6647933
2016-01-21,291.6,300.9,291.0,299.9,6545293
2016-01-22,303.3,304.0,299.7,303.5,3834760
2016-01-25,304.4,308.0,303.1,304.8,3103108
2016-01-26,301.2,304.0,296.91,302.59,3695786
2016-01-27,302.1,304.1,299.3,302.0,3622836
2016-01-28,301.1,306.0,299.1,305.5,4756905
2016-01-29,307.4,313.2,307.4,311.25,3861829
2016-02-01,313.0,314.4,307.8,312.8,3991204
2016-02-02,310.0,312.9,308.4,310.7,2516657
2016-02-03,309.2,313.9,306.0,310.0,3223343
2016-02-04,312.7,312.8,305.2,307.69,3886749
2016-02-05,305.7,306.6,299.1,301.95,3220864
2016-02-08,302.0,302.9,274.8,275.6,6350734
2016-02-09,275.0,277.9,250.3,264.21,11318245
2016-02-10,265.8,279.6,265.7,279.1,6274861
2016-02-11,279.7,279.7,266.79,270.0,7208344
2016-02-12,274.0,290.1,274.0,287.3,7471153
2016-02-15,290.7,302.1,289.3,299.0,3765270
2016-02-16,300.5,304.1,295.0,300.6,4264082
2016-02-17,301.9,307.3,301.2,305.2,4517712
2016-02-18,307.6,307.6,302.0,304.48,3631972
2016-02-19,304.0,304.0,292.9,296.7,4462225
2016-02-22,295.5,303.1,291.31,299.2,2900694
2016-02-23,298.2,300.4,294.6,294.8,2514669
2016-02-24,295.3,296.7,287.0,291.5,5065420
2016-02-25,293.2,296.7,290.3,291.8,3795319
2016-02-26,294.2,296.5,289.0,293.1,6762394
2016-02-29,292.1,300.8,277.06,286.84,70481931
2016-03-01,286.1,298.6,284.7,298.6,4529937
2016-03-02,299.1,302.7,298.8,300.4,4734548
2016-03-03,302.1,303.1,295.5,297.3,2235051
2016-03-04,298.2,301.5,294.9,300.1,3159713
2016-03-07,299.2,300.0,289.5,291.9,2682179
2016-03-08,286.1,290.48,254.8,277.8,13357639
2016-03-09,276.9,280.4,272.6,279.7,5592055
2016-03-10,279.1,281.4,275.5,279.1,3654989
2016-03-11,281.2,285.7,279.0,284.6,1909658
2016-03-14,286.2,288.4,282.12,287.7,2230017
2016-03-15,287.2,291.5,286.9,289.4,2975714
2016-03-16,290.3,290.5,279.3,282.1,2086143
2016-03-17,282.4,284.0,272.4,275.1,2340958
2016-03-18,276.0,279.0,273.4,273.4,6287768
2016-03-21,272.8,277.2,270.6,276.9,2393462
2016-03-22,276.1,277.2,272.5,277.0,2220209
2016-03-23,276.5,282.2,273.1,275.0,1715553
2016-03-24,273.3,276.9,270.53,272.8,1993923
2016-03-29,274.9,275.4,272.48,275.2,1942441
2016-03-30,277.3,278.5,271.0,272.0,2347510
2016-03-31,271.8,276.5,270.8,275.1,2422301
2016-04-01,273.1,277.2,269.1,275.1,2312287
2016-04-04,275.1,282.7,274.0,278.0,2470761
2016-04-05,276.5,281.6,274.2,280.5,3157430
2016-04-06,281.1,283.9,279.3,282.8,2915119
2016-04-07,275.0,279.2,273.0,274.7,34153601
2016-04-08,273.8,277.2,272.9,276.7,9544511
2016-04-11,277.2,279.0,275.0,275.0,18671244
2016-04-12,277.5,278.5,272.6,275.3,5276129
2016-04-13,277.8,278.3,272.7,275.0,4877423
2016-04-14,275.9,277.4,270.2,273.2,5632118
2016-04-15,273.0,273.1,268.9,269.0,15844812
2016-04-18,268.7,273.7,268.36,270.8,7153626
2016-04-19,271.6,273.2,269.6,271.0,5165288
2016-04-20,271.1,272.0,266.9,268.6,3694365
2016-04-21,267.7,268.93,260.8,264.0,5237926
2016-04-22,263.1,263.48,257.3,258.3,4705272
2016-04-25,258.2,259.8,255.6,255.9,4657699
2016-04-26,256.1,258.6,255.0,258.3,3415381
2016-04-27,261.6,269.8,261.6,269.4,6018509
2016-04-28,268.6,270.8,265.6,270.8,5973373
2016-04-29,269.0,269.8,266.2,266.9,5102392
2016-05-03,275.9,276.1,267.7,269.5,4517159
2016-05-04,268.7,269.8,264.4,266.2,3089951
2016-05-05,266.8,267.7,261.4,261.9,3822431
2016-05-06,261.9,261.9,255.0,259.5,5047324
2016-05-09,261.4,264.0,259.7,261.1,3468658
2016-05-10,263.0,264.1,259.6,261.6,3038403
2016-05-11,262.2,263.9,261.4,263.2,2593772
2016-05-12,262.9,265.5,261.15,262.5,2623137
2016-05-13,262.4,265.2,260.7,264.0,3417188
2016-05-16,263.1,263.36,258.6,262.5,2032311
2016-05-17,264.0,264.3,261.6,261.8,2206842
2016-05-18,261.1,261.8,259.0,260.9,3941254
2016-05-19,259.7,262.3,259.1,260.0,2797525
2016-05-20,262.2,266.1,260.1,264.1,2457505
2016-05-23,264.2,265.7,263.2,264.3,2496338
2016-05-24,264.3,265.7,262.0,265.6,3036294
2016-05-25,268.3,269.36,266.2,268.5,2523802
2016-05-26,269.1,273.1,267.5,272.7,1980661
2016-05-27,273.3,275.9,270.8,272.2,2648252
2016-05-31,272.0,278.0,272.0,277.1,8377107
2016-06-01,276.8,279.2,275.6,276.5,3510727
2016-06-02,275.9,279.0,275.2,278.2,3371356
2016-06-03,279.0,281.9,277.9,280.0,3498772
2016-06-09,277.5,281.2,277.0,279.2,2021826
2016-06-10,277.9,278.2,274.5,275.8,3664133
2016-06-13,274.5,276.8,272.8,274.8,2819282
2016-06-14,273.9,276.3,264.6,265.88,4806625
2016-06-15,266.0,268.5,264.9,265.9,4219513
2016-06-16,262.6,266.9,261.7,265.36,4422631
2016-06-17,266.0,274.2,265.6,273.9,36711403
2016-06-20,280.6,295.1,278.6,287.2,10626053
2016-06-21,287.4,289.4,286.1,287.5,4736069
2016-06-22,289.1,292.8,286.8,289.8,5679633
2016-06-23,291.8,296.1,289.9,294.7,5436896
2016-06-24,280.0,282.7,247.6,280.3,12612660
2016-06-27,277.1,279.6,257.2,257.5,11946053
2016-06-28,262.8,267.82,254.7,256.2,7288034
2016-06-29,259.6,268.3,255.0,268.3,6704807
2016-06-30,267.6,271.8,263.0,271.7,7439523
2016-07-01,272.3,274.8,267.6,274.3,4065203
2016-07-04,276.1,276.4,266.3,266.6,3198976
2016-07-05,266.1,268.5,263.5,265.8,4268772
2016-07-06,267.6,268.7,260.2,262.7,4978950
2016-07-07,263.9,276.7,260.0,264.9,4824580
2016-07-08,263.6,269.2,263.6,268.0,5337649
2016-07-11,271.0,279.7,266.8,279.7,4891303
2016-07-12,280.4,280.8,276.2,280.0,4359201
2016-07-13,280.0,281.0,261.43,277.8,3487288
2016-07-14,279.4,280.7,276.2,278.5,4282400
2016-07-15,279.0,286.0,278.1,282.1,4011492
2016-07-18,281.4,287.9,281.2,286.9,3947876
2016-07-19,284.7,289.9,283.6,289.9,3529837
2016-07-20,290.2,295.5,290.2,290.8,4678770
2016-07-21,290.8,292.3,286.3,288.2,4859811
2016-07-22,288.5,292.0,286.0,290.9,3162330
2016-07-25,291.4,295.7,290.6,294.2,2919683
2016-07-26,295.7,296.7,291.7,292.9,3563088
2016-07-27,294.2,298.8,291.9,292.1,3476917
2016-07-28,293.8,294.4,291.5,291.5,4200774
2016-07-29,292.8,294.1,290.74,293.4,3608447
2016-08-01,295.5,297.3,292.6,294.2,3085066
2016-08-02,294.5,298.1,293.8,295.9,3655260
2016-08-03,295.7,298.68,292.2,293.8,3412177
2016-08-04,293.5,298.3,291.3,297.9,2451334
2016-08-05,297.1,300.6,296.2,298.4,3043021
2016-08-08,298.1,304.8,298.1,301.4,3283670
2016-08-09,310.0,320.8,305.9,312.98,15604431
2016-08-10,309.6,314.21,308.8,311.5,7488405
2016-08-11,310.8,312.21,304.8,307.0,6764819
2016-08-12,307.6,308.4,305.6,308.0,4369947
2016-08-15,309.0,309.5,307.7,309.0,3621446
2016-08-16,308.5,309.2,306.7,307.5,2901376
2016-08-17,308.5,311.1,304.5,306.1,4279975
2016-08-18,308.0,308.8,304.5,305.0,3724594
2016-08-19,305.0,305.0,299.5,300.6,4821431
2016-08-22,300.9,301.1,299.1,300.0,3223285
2016-08-23,300.8,302.3,298.8,300.32,2519454
2016-08-24,297.2,303.6,296.7,302.6,2832022
2016-08-25,300.9,300.9,297.7,297.7,2133623
2016-08-26,297.2,301.1,296.4,299.6,2727194
2016-08-30,300.1,300.3,298.2,299.0,2472017
2016-08-31,298.3,300.7,298.3,298.8,4710255
2016-09-01,298.7,300.5,294.9,295.8,3669536
2016-09-02,294.2,300.1,289.8,296.9,6677031
2016-09-05,298.4,300.87,291.8,293.4,2593871
2016-09-06,292.1,295.2,291.3,294.4,3709149
2016-09-07,285.0,287.43,281.4,287.16,27042142
2016-09-08,286.0,289.4,282.42,289.0,10573657
2016-09-09,288.9,291.4,282.28,287.6,22262170
2016-09-12,285.0,288.1,284.0,288.1,5832661
2016-09-13,289.9,291.8,286.23,291.0,9004508
2016-09-14,294.0,295.8,290.98,295.0,7455881
2016-09-15,293.1,298.8,292.9,298.1,5921184
2016-09-16,298.0,300.4,294.8,295.6,27217859
2016-09-19,298.3,299.2,295.0,298.0,4008188
2016-09-20,298.3,304.2,297.9,303.5,9416834
2016-09-21,306.7,307.7,299.75,304.0,6671504
2016-09-22,307.0,308.7,304.1,304.1,3396768
2016-09-23,302.9,303.8,297.6,298.2,6456975
2016-09-26,297.5,298.0,292.3,293.7,3900000
2016-09-27,296.1,296.8,291.4,296.6,4120640
2016-09-28,298.0,300.6,291.9,292.4,6064636
2016-09-29,294.3,295.0,291.2,292.3,4811897
2016-09-30,290.6,296.8,287.5,295.11,5990741
2016-10-03,297.0,301.6,295.9,300.5,3672721
2016-10-04,301.9,305.1,300.3,303.2,8377613
2016-10-05,302.9,303.6,295.4,295.9,3849595
2016-10-06,298.1,298.8,296.0,296.4,3164699
2016-10-07,297.9,298.24,295.1,297.5,4979284
2016-10-10,298.7,299.8,296.6,299.0,3524765
2016-10-11,299.0,301.0,296.8,298.6,3291657
2016-10-12,298.6,298.8,293.3,293.8,3597376
2016-10-13,293.7,293.7,289.5,290.5,4089403
2016-10-14,291.9,294.6,291.8,292.9,2972558
2016-10-17,293.2,294.4,288.7,289.0,5672109
2016-10-18,289.8,292.9,285.4,288.0,6829964
2016-10-19,288.5,291.1,287.4,288.2,3628725
2016-10-20,287.7,287.7,281.6,281.6,5073847
2016-10-21,282.4,284.4,281.5,283.2,5173372
2016-10-24,284.7,285.5,282.8,283.3,4444499
2016-10-25,284.7,285.1,281.1,281.9,3891166
2016-10-26,281.0,281.5,278.3,280.5,3743545
2016-10-27,280.0,283.1,279.6,281.1,4261389
2016-10-28,280.5,281.6,276.75,281.6,3567648
2016-10-31,280.3,285.15,279.5,284.8,4336369
2016-11-01,284.8,286.6,281.9,282.2,5212863
2016-11-02,280.8,282.7,279.86,281.71,3297655
2016-11-03,280.6,284.47,280.2,282.81,3978541
2016-11-04,282.2,283.7,278.2,282.0,5817946
2016-11-07,285.6,287.1,279.2,279.8,3529966
2016-11-08,279.0,280.7,278.4,279.4,2174610
2016-11-09,273.0,281.7,270.5,281.3,3641346
2016-11-10,283.5,286.2,274.7,275.2,4030370
2016-11-11,276.8,276.8,265.2,267.7,4852223
2016-11-14,270.7,271.9,265.6,266.4,5080319
2016-11-15,268.1,269.4,262.9,264.5,5356629
2016-11-16,266.6,267.8,264.2,265.3,3953645
2016-11-17,264.8,271.4,264.3,271.1,3868217
2016-11-18,271.7,277.43,270.5,275.7,3755318
2016-11-21,275.3,276.2,272.8,273.9,3765840
2016-11-22,275.1,276.2,271.5,272.3,3397907
2016-11-23,273.1,273.74,266.6,267.7,2839347
2016-11-24,268.5,269.8,266.9,269.4,1943031
2016-11-25,268.6,270.2,266.7,269.1,2101844
2016-11-28,267.6,270.5,266.4,269.6,3992566
2016-11-29,270.0,271.8,268.2,271.5,3425001
2016-11-30,272.0,274.4,267.8,269.2,7170861
