Date,Open,High,Low,Close,Volume
2016-01-04,46.12,46.13,45.36,45.8,3464879
2016-01-05,45.81,46.76,45.61,46.48,3895832
2016-01-06,45.77,45.98,45.17,45.63,2748012
2016-01-07,44.74,45.32,43.74,43.83,3939038
2016-01-08,43.67,44.12,42.84,42.93,4067028
2016-01-11,43.36,43.75,42.76,43.12,3612195
2016-01-12,43.53,43.53,42.76,43.36,2941432
2016-01-13,43.52,43.7,41.85,41.91,3801438
2016-01-14,42.13,42.56,41.52,42.41,4689968
2016-01-15,41.05,42.96,40.44,42.81,7627909
2016-01-19,43.42,43.51,42.1,42.79,4494299
2016-01-20,42.58,43.59,41.69,43.08,5718577
2016-01-21,47.1,48.3,45.96,46.78,11717802
2016-01-22,47.51,47.79,47.19,47.72,3714936
2016-01-25,47.32,48.31,47.32,47.5,3563987
2016-01-26,47.58,48.4,47.37,48.35,3506660
2016-01-27,48.35,49.14,47.87,48.14,2590328
2016-01-28,47.97,48.4,47.71,48.0,2419382
2016-01-29,48.42,50.3,48.35,50.27,4459965
2016-02-01,49.91,50.26,49.43,49.9,3137800
2016-02-02,49.12,49.68,48.24,48.5,3514534
2016-02-03,48.88,48.88,47.17,48.55,4171856
2016-02-04,48.69,49.49,48.43,49.36,2244993
2016-02-05,49.01,49.15,47.84,48.07,3529576
2016-02-08,47.85,47.85,46.56,47.38,4179971
2016-02-09,47.0,47.89,46.86,47.22,2988379
2016-02-10,47.37,47.8,46.83,46.87,2381275
2016-02-11,46.06,47.6,45.85,47.25,3250324
2016-02-12,47.53,47.75,46.27,47.65,2817293
2016-02-16,48.04,48.38,47.56,48.08,3360684
2016-02-17,48.44,49.03,48.08,48.82,2779800
2016-02-18,48.82,48.96,47.89,47.94,2436476
2016-02-19,47.86,48.57,47.86,48.43,2006147
2016-02-22,48.82,49.25,48.56,48.89,1848753
2016-02-23,48.57,48.93,48.3,48.46,2009278
2016-02-24,47.35,47.87,46.33,47.58,6967085
2016-02-25,47.73,48.26,47.22,48.25,2381839
2016-02-26,48.51,48.72,48.26,48.39,2403448
2016-02-29,48.26,48.47,47.22,47.22,2408336
2016-03-01,47.8,48.32,47.24,48.21,2270694
2016-03-02,48.19,48.24,47.33,48.16,2571313
2016-03-03,47.95,48.29,47.43,47.86,1411040
2016-03-04,47.84,47.84,46.84,47.0,4373030
2016-03-07,46.65,47.22,45.91,47.12,3872185
2016-03-08,46.64,46.81,45.94,45.95,2048055
2016-03-09,46.09,46.72,46.0,46.43,2585580
2016-03-10,46.58,47.06,45.91,46.38,2416564
2016-03-11,46.88,47.03,46.58,46.72,2875531
2016-03-14,46.93,47.58,46.53,47.0,3774022
2016-03-15,47.18,47.22,46.81,47.06,2572624
2016-03-16,46.7,47.68,46.7,47.65,3367682
2016-03-17,47.36,47.5,46.81,47.04,2414873
2016-03-18,47.17,47.68,46.91,47.47,3487858
2016-03-21,47.19,47.51,46.99,47.49,4145459
2016-03-22,47.46,47.91,47.22,47.57,2075626
2016-03-23,47.6,47.65,47.16,47.33,1658959
2016-03-24,47.08,47.22,46.9,47.02,2097543
2016-03-28,47.18,47.5,46.98,47.04,2187563
2016-03-29,47.0,47.32,46.91,47.25,1800773
2016-03-30,47.55,47.95,47.25,47.87,2172278
2016-03-31,47.84,47.98,47.4,47.43,2245449
2016-04-01,46.99,47.7,46.63,47.62,1927719
2016-04-04,47.64,47.64,46.91,47.14,2278141
2016-04-05,46.9,47.14,46.81,46.91,2204154
2016-04-06,46.79,47.32,46.42,47.25,1871020
2016-04-07,46.96,47.06,46.03,46.14,2645344
2016-04-08,46.48,46.75,45.98,46.3,1761638
2016-04-11,46.41,46.75,46.18,46.21,1504574
2016-04-12,46.11,46.32,45.4,45.87,1768675
2016-04-13,46.11,46.74,45.92,46.65,1403456
2016-04-14,46.51,46.55,45.69,46.55,1809248
2016-04-15,46.49,46.5,45.93,46.01,1677829
2016-04-18,46.05,46.31,45.86,46.26,1912363
2016-04-19,46.5,46.5,45.7,45.9,1994223
2016-04-20,45.79,46.73,45.69,46.46,2952059
2016-04-21,46.31,46.35,45.95,46.03,2124858
2016-04-22,46.03,46.47,45.75,45.87,2078982
2016-04-25,45.76,46.09,45.47,45.79,1571141
2016-04-26,45.93,47.08,45.93,46.95,4198077
2016-04-27,46.83,47.36,46.35,47.35,3193108
2016-04-28,45.0,45.75,41.53,43.23,18924329
2016-04-29,42.99,43.9,42.71,43.08,4504811
2016-05-02,43.21,43.87,43.09,43.74,3138507
2016-05-03,43.3,43.49,42.96,43.48,2920564
2016-05-04,43.34,43.71,42.84,42.98,2638127
2016-05-05,42.97,43.38,42.74,43.09,3030206
2016-05-06,42.77,43.22,42.61,43.2,1673754
2016-05-09,43.35,43.58,43.01,43.07,2234588
2016-05-10,43.15,43.55,42.93,43.24,1873368
2016-05-11,43.13,43.43,42.88,43.06,2310173
2016-05-12,43.26,43.3,42.37,42.92,2588776
2016-05-13,42.84,43.54,42.67,43.24,2935053
2016-05-16,42.98,43.82,42.98,43.51,2847561
2016-05-17,43.43,44.15,43.3,43.53,3293398
2016-05-18,43.36,44.22,43.24,43.93,2729936
2016-05-19,43.79,44.06,43.46,43.84,4265752
2016-05-20,44.12,44.79,44.02,44.75,2555688
2016-05-23,44.89,45.08,44.81,44.89,2789408
2016-05-24,45.05,47.89,44.9,47.45,13203766
2016-05-25,47.46,47.55,46.47,47.12,5303831
2016-05-26,47.14,47.31,46.73,47.11,2513188
2016-05-27,46.48,48.0,46.48,47.36,2523844
2016-05-31,47.45,47.45,46.86,47.39,2316432
2016-06-01,47.15,47.45,47.01,47.37,1814724
2016-06-02,46.79,47.38,46.54,47.12,3452017
2016-06-03,47.53,47.97,46.92,47.41,2963891
2016-06-06,47.41,47.47,46.85,46.87,2768521
2016-06-07,47.07,47.26,46.82,47.17,1633160
2016-06-08,47.1,47.35,46.9,47.18,1269371
2016-06-09,46.97,47.12,46.8,47.03,1826689
2016-06-10,46.53,47.05,46.49,46.73,1400641
2016-06-13,46.64,46.9,46.27,46.32,2125781
2016-06-14,46.28,47.07,46.28,46.96,2434490
2016-06-15,47.03,47.24,46.66,46.69,1824569
2016-06-16,46.33,46.91,46.19,46.84,1285647
2016-06-17,46.86,46.88,46.14,46.4,3527268
2016-06-20,47.01,47.24,46.44,46.5,2020087
2016-06-21,46.56,46.73,46.26,46.68,1805032
2016-06-22,46.74,46.77,46.37,46.42,1804226
2016-06-23,46.9,47.45,46.7,47.44,1522413
2016-06-24,45.71,46.4,45.27,45.31,3328251
2016-06-27,44.82,45.21,43.5,43.84,3007594
2016-06-28,44.23,44.87,44.0,44.75,1730389
2016-06-29,45.0,45.8,44.77,45.47,2492867
2016-06-30,45.49,46.18,45.29,46.13,1593119
2016-07-01,45.87,46.26,45.61,46.19,1482004
2016-07-05,45.89,46.0,45.37,45.57,1730243
2016-07-06,45.35,45.54,44.95,45.48,1738568
2016-07-07,45.47,46.08,45.47,45.71,1471554
2016-07-08,46.13,47.0,45.9,46.97,1770474
2016-07-11,46.97,47.42,46.75,47.22,1233377
2016-07-12,47.32,47.63,47.12,47.48,1703701
2016-07-13,47.64,47.77,47.47,47.62,1597662
2016-07-14,48.0,48.0,47.62,47.84,1294225
2016-07-15,48.04,48.06,47.69,47.9,1543397
2016-07-18,48.47,48.58,48.05,48.37,1904451
2016-07-19,48.14,48.35,47.84,47.98,2153250
2016-07-20,48.12,48.34,47.77,48.08,1709517
2016-07-21,47.99,48.25,47.62,47.79,1368772
2016-07-22,47.87,48.36,47.53,48.35,1231038
2016-07-25,48.39,48.62,48.16,48.45,1518851
2016-07-26,48.65,49.83,48.52,49.7,4023071
2016-07-27,49.89,49.89,49.35,49.84,3185049
2016-07-28,50.0,51.44,49.76,51.09,5761425
2016-07-29,51.19,51.48,50.89,51.08,2735018
2016-08-01,51.0,51.42,50.92,51.2,2660179
2016-08-02,51.01,51.12,50.45,50.76,1936357
2016-08-03,50.54,50.89,50.05,50.84,2162142
2016-08-04,50.87,51.44,50.69,51.43,1487303
2016-08-05,51.59,51.77,51.53,51.77,1491436
2016-08-08,51.95,51.96,51.49,51.57,1690269
2016-08-09,51.41,52.28,51.41,51.99,2434101
2016-08-10,51.94,51.94,51.57,51.65,1221271
2016-08-11,51.5,51.9,51.49,51.83,1035346
2016-08-12,51.83,52.18,51.67,51.84,1151938
2016-08-15,52.02,52.43,52.0,52.04,1702605
2016-08-16,51.85,52.03,51.31,51.74,1182212
2016-08-17,51.76,52.3,51.61,52.19,1568886
2016-08-18,52.38,53.02,52.32,53.01,2500354
2016-08-19,52.93,53.33,52.93,53.14,3980118
2016-08-22,53.19,53.77,53.16,53.66,2036449
2016-08-23,53.85,54.13,53.75,54.03,1931604
2016-08-24,54.0,54.2,53.8,53.98,2062601
2016-08-25,53.91,54.1,53.8,54.09,1524933
2016-08-26,54.03,54.54,53.68,54.18,1707400
2016-08-29,54.2,54.62,54.07,54.15,2075770
2016-08-30,54.33,54.69,54.08,54.19,2380003
2016-08-31,54.2,54.3,53.73,54.21,3029574
