Date,Open,High,Low,Close,Volume
2016-01-04,59.21,59.87,58.29,58.86,1383234
2016-01-05,59.25,60.29,58.9,60.06,1611309
2016-01-06,59.57,60.07,58.85,59.19,1179656
2016-01-07,58.3,58.97,58.04,58.67,1140379
2016-01-08,58.89,59.39,56.89,56.99,1233715
2016-01-11,57.1,57.55,55.46,55.88,1867598
2016-01-12,56.1,56.86,55.94,56.49,1533967
2016-01-13,56.61,56.83,55.48,55.52,1051070
2016-01-14,55.93,56.72,55.5,56.46,1341947
2016-01-15,55.47,56.81,55.32,56.49,1672169
2016-01-19,57.22,57.22,56.15,56.36,1582494
2016-01-20,55.76,57.05,55.0,56.6,2017803
2016-01-21,56.74,56.82,55.93,56.35,1639922
2016-01-22,56.82,57.57,56.37,57.52,811766
2016-01-25,57.45,57.83,57.22,57.43,836693
2016-01-26,57.52,59.26,57.32,59.22,1512854
2016-01-27,59.1,59.88,58.39,58.82,1442445
2016-01-28,59.26,59.45,57.84,58.13,1162232
2016-01-29,58.23,59.33,57.73,58.89,1556727
2016-02-01,58.45,60.29,58.38,60.03,1620214
2016-02-02,59.7,59.97,58.93,59.28,1111970
2016-02-03,59.86,60.37,58.06,58.95,1232078
2016-02-04,59.22,59.38,58.52,59.32,1224121
2016-02-05,59.36,59.6,57.82,58.99,1321977
2016-02-08,58.7,59.36,56.29,57.2,2673289
2016-02-09,56.7,57.58,56.54,56.99,1424501
2016-02-10,57.22,58.24,57.22,57.73,1642904
2016-02-11,56.88,57.28,56.0,56.51,1627412
2016-02-12,56.25,57.96,53.43,54.73,2436375
2016-02-16,54.05,57.54,54.05,55.7,1958707
2016-02-17,56.08,56.47,55.36,55.91,1917220
2016-02-18,56.03,56.38,55.49,55.6,1296043
2016-02-19,55.52,56.74,55.11,56.37,1046457
2016-02-22,56.71,57.02,56.24,56.66,662600
2016-02-23,56.42,57.02,55.51,56.63,980595
2016-02-24,56.3,58.1,55.76,57.88,1120703
2016-02-25,59.14,60.9,58.84,60.74,3223700
2016-02-26,61.21,61.8,60.55,60.67,3649326
2016-02-29,60.33,61.68,59.9,60.96,16274975
2016-03-01,61.1,61.5,58.98,60.43,4456111
2016-03-02,59.75,60.74,59.19,60.2,5805405
2016-03-03,60.12,60.9,59.76,60.62,3246556
2016-03-04,60.22,61.37,59.94,60.16,2532407
2016-03-07,59.73,61.26,59.68,61.0,2715841
2016-03-08,60.84,62.42,60.84,61.53,3186574
2016-03-09,61.79,62.42,61.03,62.11,2531285
2016-03-10,62.1,62.87,61.43,62.44,2419296
2016-03-11,62.8,63.68,62.45,63.49,2101911
2016-03-14,62.5,62.93,60.75,61.41,3152280
2016-03-15,60.98,61.79,60.28,60.9,2225446
2016-03-16,61.13,61.53,60.76,61.29,2078962
2016-03-17,61.26,61.47,60.23,60.82,2896552
2016-03-18,60.9,61.62,60.5,60.72,3379763
2016-03-21,60.45,60.83,59.95,60.0,2997555
2016-03-22,59.6,61.06,59.5,60.91,2488031
2016-03-23,60.68,61.33,60.22,60.55,1688627
2016-03-24,58.77,59.86,58.44,59.62,3080964
2016-03-28,59.99,60.76,59.56,60.38,1839848
2016-03-29,60.54,62.15,60.4,61.98,1507458
2016-03-30,62.19,62.42,61.78,62.06,1100602
2016-03-31,62.16,62.34,61.49,61.63,1656580
2016-04-01,61.41,61.88,61.02,61.49,1647571
2016-04-04,61.53,62.13,61.18,61.4,1182682
2016-04-05,61.13,61.32,60.33,60.67,1625329
2016-04-06,60.54,61.06,60.29,61.01,1313139
2016-04-07,60.78,61.03,59.95,60.2,1173309
2016-04-08,60.54,60.54,59.39,59.72,1281168
2016-04-11,59.79,60.16,59.36,59.5,1359956
2016-04-12,59.46,60.06,59.22,59.71,1084563
2016-04-13,59.92,60.0,59.41,59.8,840320
2016-04-14,59.68,60.26,59.29,60.03,1051768
2016-04-15,60.0,60.11,59.68,60.09,713348
2016-04-18,59.92,61.09,59.86,60.88,1066117
2016-04-19,61.06,61.24,60.81,61.03,955326
2016-04-20,61.1,61.46,60.59,61.27,720003
2016-04-21,61.34,61.52,60.26,60.54,1041034
2016-04-22,60.7,61.0,60.19,60.72,1230062
2016-04-25,60.79,61.3,60.7,61.11,1061669
2016-04-26,61.26,61.4,60.46,60.58,987998
2016-04-27,60.56,61.1,59.93,60.95,922740
2016-04-28,60.73,61.23,60.12,60.33,997159
2016-04-29,59.97,60.15,59.08,59.6,1234322
2016-05-02,59.78,60.61,59.45,60.25,1107511
2016-05-03,59.83,60.27,59.46,59.97,969690
2016-05-04,59.66,60.03,59.26,59.87,1059899
2016-05-05,59.96,61.12,59.91,60.49,1858992
2016-05-06,61.5,62.0,60.6,61.75,3166291
2016-05-09,61.56,61.95,60.44,60.52,1645218
2016-05-10,60.78,61.32,60.71,61.32,1337446
2016-05-11,61.15,62.04,61.15,61.88,1785269
2016-05-12,62.23,62.23,61.26,61.9,1561332
2016-05-13,61.81,61.96,61.09,61.16,1064504
2016-05-16,61.07,62.58,60.99,62.26,1591621
2016-05-17,62.19,62.46,60.45,60.7,2006386
2016-05-18,60.46,61.22,60.08,61.07,1638845
2016-05-19,60.62,61.04,59.91,60.31,1287255
2016-05-20,60.66,61.44,60.38,60.96,3626972
2016-05-23,60.98,61.32,60.33,60.36,1446257
2016-05-24,60.54,61.82,60.53,61.73,1135486
2016-05-25,61.94,62.15,61.7,61.77,1114733
2016-05-26,61.67,61.99,61.45,61.72,1069865
2016-05-27,63.04,63.04,61.87,62.47,1322183
2016-05-31,62.69,62.69,61.85,62.16,1670869
2016-06-01,62.16,62.92,61.96,62.48,1398789
2016-06-02,62.21,63.02,62.21,63.0,1013569
2016-06-03,62.85,62.94,62.41,62.65,803700
2016-06-06,62.64,62.97,62.46,62.75,843980
2016-06-07,62.84,63.2,62.67,62.79,1006012
2016-06-08,62.58,64.36,62.37,64.34,1673858
2016-06-09,64.04,64.59,63.84,64.43,965906
2016-06-10,64.12,64.25,63.41,63.61,1215671
2016-06-13,64.22,65.83,64.13,64.73,2704824
2016-06-14,64.41,64.55,63.7,64.28,1387142
2016-06-15,64.3,64.52,63.29,63.33,1266019
2016-06-16,63.2,63.56,62.49,63.5,1763353
2016-06-17,63.14,63.47,62.5,63.21,6418705
2016-06-20,63.99,64.42,63.31,63.32,1815764
2016-06-21,63.33,63.66,63.02,63.4,1257270
2016-06-22,63.46,63.75,63.29,63.47,1023503
2016-06-23,63.9,64.84,63.55,64.21,2059591
2016-06-24,62.39,63.08,61.27,61.3,7121596
2016-06-27,60.7,61.29,58.84,59.36,2270090
2016-06-28,59.8,60.55,59.41,60.55,1810190
2016-06-29,60.56,61.56,60.08,61.46,1695495
2016-06-30,61.72,62.05,61.36,62.04,1642697
2016-07-01,62.15,62.42,61.84,62.33,1370706
2016-07-05,62.18,62.47,61.45,62.15,1394857
2016-07-06,62.0,62.87,61.55,62.74,1630419
2016-07-07,62.58,62.82,62.03,62.5,1157059
2016-07-08,63.16,63.44,62.56,63.39,1428193
2016-07-11,63.45,63.9,63.31,63.74,987036
2016-07-12,64.14,64.4,63.07,63.13,1385413
2016-07-13,63.22,63.7,62.86,62.98,1359637
2016-07-14,63.53,63.75,63.19,63.26,1077509
2016-07-15,63.67,63.75,62.89,62.96,998276
2016-07-18,63.02,63.22,62.39,62.77,945627
2016-07-19,62.71,62.86,62.49,62.81,633931
2016-07-20,63.05,63.47,62.99,63.23,826673
2016-07-21,63.07,63.45,62.29,62.47,643524
2016-07-22,62.71,62.83,62.32,62.73,886465
2016-07-25,62.71,62.94,62.29,62.45,505779
2016-07-26,62.48,63.08,62.2,63.07,741260
2016-07-27,63.07,63.26,62.51,62.59,1112882
2016-07-28,62.6,63.36,62.59,63.1,743752
2016-07-29,63.23,64.18,63.22,64.04,2190152
2016-08-01,64.0,64.49,63.73,64.23,1823711
2016-08-02,64.2,64.75,63.7,64.63,2281681
2016-08-03,64.47,65.16,64.02,65.14,1782765
2016-08-04,64.89,64.9,63.22,63.69,2605449
2016-08-05,64.08,64.54,61.96,61.99,1886124
2016-08-08,61.89,62.17,60.74,60.9,2145574
2016-08-09,60.74,61.2,60.45,61.13,1190276
2016-08-10,61.16,61.55,60.84,61.26,844440
2016-08-11,61.46,61.61,60.97,61.44,1009031
2016-08-12,60.94,61.42,60.83,61.02,802110
2016-08-15,61.15,61.46,60.88,60.97,814200
2016-08-16,60.94,60.94,60.09,60.09,972824
2016-08-17,59.93,60.08,59.47,59.72,1481094
2016-08-18,59.75,60.17,59.61,60.01,1029488
2016-08-19,59.88,60.81,59.51,60.77,1336211
2016-08-22,60.81,60.82,59.93,60.47,988507
2016-08-23,60.55,60.76,60.07,60.21,1196202
2016-08-24,60.2,60.37,59.91,59.97,1261987
2016-08-25,60.0,60.94,59.51,60.78,1901767
2016-08-26,60.41,61.58,60.41,61.36,2032147
2016-08-29,61.49,62.03,61.46,61.87,983630
2016-08-30,61.78,61.9,61.27,61.5,816672
2016-08-31,61.5,61.68,61.15,61.46,1059788
2016-09-01,61.64,61.9,61.12,61.65,994841
2016-09-02,62.98,62.98,61.32,61.7,869610
2016-09-06,61.64,61.66,60.86,61.2,1258908
2016-09-07,61.11,61.49,60.89,61.13,1008107
2016-09-08,61.08,61.47,60.31,60.35,1155393
2016-09-09,59.86,60.3,59.02,59.03,1327313
2016-09-12,59.98,60.84,59.13,60.78,1371903
2016-09-13,60.16,60.38,59.29,59.38,929496
2016-09-14,59.28,59.83,58.93,59.23,1476724
2016-09-15,58.97,60.35,58.97,60.03,1043498
2016-09-16,60.1,60.15,59.24,59.63,1827971
2016-09-19,59.96,60.3,59.64,59.72,1266763
2016-09-20,59.94,60.08,59.44,59.57,1126097
2016-09-21,59.76,60.18,59.34,59.89,1487296
2016-09-22,59.99,60.1,59.11,60.01,2069028
2016-09-23,60.11,60.36,59.35,59.36,1749097
2016-09-26,59.02,59.1,58.57,58.83,1624543
2016-09-27,58.89,59.61,58.75,59.55,927946
2016-09-28,59.42,59.66,59.05,59.64,1053203
2016-09-29,59.36,59.62,58.76,59.1,1646609
2016-09-30,59.36,59.66,59.01,59.43,1505778
2016-10-03,59.07,59.67,58.6,59.04,1681803
2016-10-04,58.98,59.44,58.57,58.9,1502697
2016-10-05,58.91,59.12,58.74,58.94,1286882
2016-10-06,58.71,59.11,58.26,59.08,1449841
2016-10-07,59.33,59.76,59.0,59.67,1351238
2016-10-10,59.93,60.27,59.73,59.79,789596
2016-10-11,59.65,59.65,57.65,57.89,1334463
2016-10-12,57.9,57.96,57.59,57.8,1133115
2016-10-13,57.44,57.86,57.02,57.82,1797555
2016-10-14,58.21,58.9,57.98,58.7,2110450
2016-10-17,58.59,59.02,58.28,58.33,1697584
2016-10-18,58.92,59.47,58.82,59.06,1061503
2016-10-19,59.1,59.59,58.67,59.41,1193775
2016-10-20,59.2,59.98,58.63,59.05,1264613
2016-10-21,58.63,58.63,57.84,58.3,994430
2016-10-24,58.64,58.76,57.88,57.98,802568
2016-10-25,58.09,58.09,56.7,56.76,1721163
2016-10-26,56.47,56.61,55.58,55.85,1524182
2016-10-27,56.09,56.19,55.39,55.83,1172481
2016-10-28,55.62,57.65,55.62,57.05,2109549
2016-10-31,56.93,57.72,56.22,57.57,2060169
2016-11-01,58.63,59.58,57.82,58.4,2461041
2016-11-02,58.65,60.61,58.65,59.74,2664983
2016-11-03,59.98,60.47,59.22,59.55,2487571
2016-11-04,55.19,61.75,55.01,60.6,3712587
2016-11-07,61.54,61.55,60.3,61.12,2983449
2016-11-08,61.05,61.28,59.52,61.0,1221346
2016-11-09,62.92,62.92,59.95,61.19,2048874
2016-11-10,61.95,62.17,60.85,61.08,1973560
2016-11-11,60.89,61.19,60.1,60.22,1407048
2016-11-14,60.31,60.41,58.45,58.68,2372042
2016-11-15,58.89,60.11,58.5,59.97,1411655
2016-11-16,59.97,60.68,59.19,60.57,1200051
2016-11-17,60.36,61.2,60.36,60.95,1366977
2016-11-18,60.74,60.95,60.04,60.16,1294559
2016-11-21,60.14,60.64,59.59,59.88,1390153
2016-11-22,58.57,59.97,58.57,59.85,2663838
2016-11-23,59.86,60.55,59.06,60.51,1346874
2016-11-25,59.04,60.88,59.04,60.75,434714
2016-11-28,60.66,60.79,60.05,60.44,1856353
2016-11-29,60.59,60.95,60.42,60.47,1021988
2016-11-30,60.15,60.35,58.14,58.18,2349029
2016-12-01,58.4,59.02,57.24,57.46,2290964
2016-12-02,57.24,58.21,56.71,56.91,2257277
2016-12-05,57.71,58.22,57.24,57.27,2162063
2016-12-06,57.09,57.94,57.03,57.92,1364104
2016-12-07,57.84,58.19,57.32,58.08,1544126
2016-12-08,58.07,58.84,57.6,58.8,1488758
2016-12-09,58.94,59.1,58.25,59.02,1336801
2016-12-12,58.87,59.63,58.87,59.25,1062443
2016-12-13,59.54,60.03,59.06,59.82,865302
2016-12-14,59.85,60.24,59.26,59.67,1205469
2016-12-15,59.81,60.64,59.38,60.4,1398180
2016-12-16,60.6,60.62,59.95,60.08,1884700
2016-12-19,60.24,60.4,59.6,59.68,779314
2016-12-20,59.89,60.27,59.44,59.94,1224121
2016-12-21,59.68,60.12,59.56,59.78,880821
2016-12-22,59.63,59.66,58.55,59.13,922426
2016-12-23,59.06,60.24,58.95,59.24,434649
2016-12-27,59.45,59.81,58.96,59.07,635112
2016-12-28,58.88,59.31,58.09,58.15,1034768
2016-12-29,58.25,58.56,58.06,58.25,734047
2016-12-30,58.29,58.36,57.54,57.73,949418
2017-01-03,58.02,58.73,57.4,58.62,1778161
2017-01-04,58.65,59.36,58.65,59.1,978281
2017-01-05,59.0,59.24,58.19,58.33,1114552
2017-01-06,58.34,58.55,57.8,58.29,1169582
2017-01-09,58.22,58.67,58.08,58.47,950590
2017-01-10,58.37,58.66,57.9,58.17,1596036
2017-01-11,58.15,58.59,56.7,57.65,1724262
2017-01-12,57.55,57.74,56.68,57.0,1950963
2017-01-13,57.0,57.92,56.47,57.82,1669993
2017-01-17,57.57,58.54,57.27,58.17,1765386
2017-01-18,58.18,58.18,56.46,56.55,2612980
2017-01-19,56.45,56.73,55.45,55.67,2175946
2017-01-20,55.85,56.03,55.0,56.01,5266295
2017-01-23,55.93,56.48,55.18,55.59,2375759
2017-01-24,55.69,56.71,55.26,56.21,1868357
2017-01-25,56.44,57.04,56.25,56.91,1754250
2017-01-26,56.79,56.92,56.38,56.6,1458131
2017-01-27,56.69,56.78,55.79,56.57,2139586
2017-01-30,56.48,56.77,55.84,56.34,1459149
2017-01-31,56.24,56.72,55.96,56.7,2243569
2017-02-01,56.7,57.21,56.26,56.9,1602966
2017-02-02,56.59,56.87,56.21,56.52,1665138
2017-02-03,56.89,57.27,56.28,57.14,1168821
2017-02-06,56.9,57.26,56.67,57.26,1855737
2017-02-07,57.47,57.59,56.94,57.43,1520561
2017-02-08,57.14,57.35,56.63,57.32,1313868
2017-02-09,57.37,58.72,57.32,58.61,2242553
2017-02-10,58.59,58.75,58.26,58.39,1194735
2017-02-13,58.37,59.02,57.94,58.84,1344194
2017-02-14,59.47,59.9,59.39,59.74,2234772
